oyezId,volume,page,year,caseTitle,oldCite,usCite,dateDecision,docket,term,termId,issue,datesArgued,daysArgument,votesPetitioner,votesRespondent,advocateName,advocateRole,pdfSource,urlOyez
52092,448,555,1980,Richmond Newspapers Inc. v. Virginia,0,448 U.S. 555,1980-07-02,79-243,1979,1979-10,"First Amendment, miscellaneous (cf. comity: First Amendment)",1980-02-19,1,7,1,Laurence H. Tribe,0,loc,"https://www.oyez.org/cases/1979/79-243"
52349,452,640,1981,"Heffron v. International Soc. for Krishna Consciousness, Inc.",0,452 U.S. 640,1981-06-22,80-795,1980,1980-10,free exercise of religion,1981-04-20,1,5,4,Laurence H. Tribe,0,loc,"https://www.oyez.org/cases/1980/80-795"
52396,458,527,1982,Crawford v. Board of Education of City of Los Angeles,0,458 U.S. 527,1982-06-30,81-38,1981,1981-10,"desegregation, schools",1982-03-22,1,1,8,Laurence H. Tribe,0,loc,"https://www.oyez.org/cases/1981/81-38"
52704,459,116,1982,"Larkin v. Grendel's Den, Inc.",0,459 U.S. 116,1982-12-13,81-878,1982,1982-10,"establishment of religion (other than as pertains to parochiaid:)",1982-10-04,1,1,8,Laurence H. Tribe,0,loc,"https://www.oyez.org/cases/1982/81-878"
52667,460,204,1983,"White v. Massachusetts Council of Construction Employers, Inc.",0,460 U.S. 204,1983-02-28,81-1003,1982,1982-10,"state or local government regulation, especially of business (cf. federal pre-emption of state court jurisdiction, federal pre-emption of state legislation or regulation)",1982-11-01,1,7,2,Laurence H. Tribe,0,loc,"https://www.oyez.org/cases/1982/81-1003"
52603,461,190,1983,Pacific Gas & Electric Company v. State Energy Resources Conservation and Development Commission,0,461 U.S. 190,1983-04-20,81-1945,1982,1982-10,federal pre-emption of state legislation or regulation. cf. state regulation of business. rarely involves union activity. Does not involve constitutional interpretation unless the Court says it does.,1983-01-17,1,0,9,Laurence H. Tribe,0,loc,"https://www.oyez.org/cases/1982/81-1945"
52747,467,229,1984,Hawaii Housing Authority v. Midkiff,0,467 U.S. 229,1984-05-30,83-141,1983,1983-10,"due process: takings clause, or other non-constitutional governmental taking of property",1984-03-26,1,8,0,Laurence H. Tribe,0,loc,"https://www.oyez.org/cases/1983/83-141"
53030,470,903,1985,Board of Ed. of Oklahoma City v. National Gay Task Force,0,470 U.S. 903,1985-03-26,83-2030,1984,1984-10,"First Amendment, miscellaneous (cf. comity: First Amendment)",1985-01-14,1,4,4,Laurence H. Tribe,0,loc,"https://www.oyez.org/cases/1984/83-2030"
53039,472,159,1985,"Northeast Bancorp, Inc. v. Board of Governors of the Federal Reserve System",0,472 U.S. 159,1985-06-10,84-363,1984,1984-10,mergers,1985-04-15,1,0,8,Laurence H. Tribe,0,loc,"https://www.oyez.org/cases/1984/84-363"
53166,475,260,1986,Fisher v. City of Berkeley,0,475 U.S. 260,1986-02-26,84-1538,1985,1985-10,antitrust (except in the context of mergers and union antitrust),1985-11-12,1,1,8,Laurence H. Tribe,0,loc,"https://www.oyez.org/cases/1985/84-1538"
