oyezId,volume,page,year,caseTitle,oldCite,usCite,dateDecision,docket,term,termId,issue,datesArgued,daysArgument,votesPetitioner,votesRespondent,advocateName,advocateRole,pdfSource,urlOyez
53276,479,564,1987,Colorado v. Spring,0,479 U.S. 564,1987-01-27,85-1517,1986,1986-10,involuntary confession,1986-12-09,1,7,2,Lawrence S. Robbins,0,loc,"https://www.oyez.org/cases/1986/85-1517"
53356,481,200,1987,Richardson v. Marsh,0,481 U.S. 200,1987-04-21,85-1433,1986,1986-10,"confrontation (right to confront accuser, call and cross-examine witnesses)",1987-01-14,1,6,3,Lawrence S. Robbins,0,loc,"https://www.oyez.org/cases/1986/85-1433"
53390,483,171,1987,Bourjaily v. United States,0,483 U.S. 171,1987-06-23,85-6725,1986,1986-10,Federal Rules of Criminal Procedure,1987-04-01,1,3,6,Lawrence S. Robbins,0,loc,"https://www.oyez.org/cases/1986/85-6725"
53455,485,25,1988,United States v. Robinson,0,485 U.S. 25,1988-02-24,86-937,1987,1987-10,self-incrimination (other than as pertains to Miranda or immunity from prosecution),1987-11-03,1,5,3,Lawrence S. Robbins,0,loc,"https://www.oyez.org/cases/1987/86-937"
53471,485,360,1988,"Lyng v. International Union, United Automobile, Aerospace & Agricultural Implement Workers of America",0,485 U.S. 360,1988-03-23,86-1471,1987,1987-10,"poverty law, constitutional",1987-12-07,1,5,3,Lawrence S. Robbins,0,loc,"https://www.oyez.org/cases/1987/86-1471"
53473,485,409,1988,"FLRA v. Aberdeen Proving Ground, Dept. of Army",0,485 U.S. 409,1988-04-04,86-1715,1987,1987-10,"labor-management disputes: bargaining",1988-02-23,1,0,9,Lawrence S. Robbins,0,loc,"https://www.oyez.org/cases/1987/86-1715"
53623,489,426,1989,"Trans World Airlines, Inc. v. Independent Federation of Flight Attendants",0,489 U.S. 426,1989-02-28,87-548,1988,1988-10,"labor-management disputes: employee discharge",1988-11-07,1,6,3,Lawrence S. Robbins,0,loc,"https://www.oyez.org/cases/1988/87-548"
53664,489,794,1989,Midland Asphalt Corporation v. United States,0,489 U.S. 794,1989-03-28,87-1905,1988,1988-10,"judicial administration: review of non-final order",1989-01-17,1,0,9,Lawrence S. Robbins,0,loc,"https://www.oyez.org/cases/1988/87-1905"
53547,490,730,1989,Community for Creative Non-Violence v. Reid,0,490 U.S. 730,1989-06-05,88-293,1988,1988-10,"patents and copyrights: copyright",1989-03-29,1,0,9,Lawrence S. Robbins,0,loc,"https://www.oyez.org/cases/1988/88-293"
53766,494,259,1990,United States v. Verdugo-Urquidez,0,494 U.S. 259,1990-02-28,88-1353,1989,1989-10,search and seizure (other than as pertains to vehicles or Crime Control Act),1989-11-07,1,6,3,Lawrence S. Robbins,0,loc,"https://www.oyez.org/cases/1989/88-1353"
53778,494,325,1990,Maryland v. Buie,0,494 U.S. 325,1990-02-28,88-1369,1989,1989-10,search and seizure (other than as pertains to vehicles or Crime Control Act),1989-12-04,1,7,2,Lawrence S. Robbins,0,loc,"https://www.oyez.org/cases/1989/88-1369"
53721,497,199,1990,Kansas v. UtiliCorp United Inc.,0,497 U.S. 199,1990-06-21,88-2109,1989,1989-10,antitrust (except in the context of mergers and union antitrust),1990-04-16,1,4,5,Lawrence S. Robbins,0,loc,"https://www.oyez.org/cases/1989/88-2109"
54239,510,517,1994,"Fogerty v. Fantasy, Inc.",0,510 U.S. 517,1994-03-01,92-1750,1993,1993-10,attorneys' and governmental employees' or officials' fees or compensation or licenses,1993-12-08,1,9,0,Lawrence S. Robbins,0,loc,"https://www.oyez.org/cases/1993/92-1750"
54399,518,267,1996,United States v. Ursery,0,518 U.S. 267,1996-06-24,95-345,1995,1995-10,double jeopardy,1996-04-17,1,8,1,Lawrence S. Robbins,0,loc,"https://www.oyez.org/cases/1995/95-345"
54454,517,820,1996,Degen v. United States,0,517 U.S. 820,1996-06-10,95-173,1995,1995-10,"subconstitutional fair procedure: fugitive from justice",1996-04-22,1,9,0,Lawrence S. Robbins,0,loc,"https://www.oyez.org/cases/1995/95-173"
55022,536,181,2002,Barnes v. Gorman,0,536 U.S. 181,2002-06-17,01-682,2001,2001-10,"liability, punitive damages",2002-04-23,1,9,0,Lawrence S. Robbins,0,loc,"https://www.oyez.org/cases/2001/01-682"
55051,538,760,2003,Chavez v. Martinez,0,538 U.S. 760,2003-05-27,01-1444,2002,2002-10,self-incrimination (other than as pertains to Miranda or immunity from prosecution),2002-12-04,1,6,3,Lawrence S. Robbins,0,loc,"https://www.oyez.org/cases/2002/01-1444"
55634,561,139,2010,Monsanto Co. v. Geertson Seed Farms,0,561 U.S. 139,2010-06-21,09-475,2009,2009-10,"natural resources - environmental protection (cf. national supremacy: natural resources, national supremacy: pollution)",2010-04-27,1,7,1,Lawrence S. Robbins,0,scotusBound,"https://www.oyez.org/cases/2009/09-475"
63417,597,0,2022,Ruan v. United States,0,597 U.S. ___,2022-06-27,20-1410,2021,2021-10,0,2022-03-01,1,0,0,Lawrence S. Robbins,0,slipopinion/21,"https://www.oyez.org/cases/2021/20-1410"
63487,599,0,2023,Health and Hospital Corporation of Marion County v. Talevski,0,599 U.S. ___,2023-06-08,21-806,2022,2022-10,0,2022-11-08,1,0,0,Lawrence S. Robbins,0,slipopinion/22,"https://www.oyez.org/cases/2022/21-806"
