volume,page,year,caseTitle,oldCite,usCite,dateDecision,docket,term,issue,datesArgued,daysArgument,votesPetitioner,votesRespondent,advocateName,advocateRole,urlOyez,advocateMatched
391,224,0,"Joint Industry Board v. U.S.","","391 U.S. 224","","616",1967,"Federal Taxation, Priority of Federal Fiscal Claims (975)","1968-03-25",1,3,6,"Lawrence G. Wallace","argued the cause for the United States","https://www.oyez.org/cases/1967/616","false"
395,653,0,"Lear, Inc. v. Adkins","","395 U.S. 653","","56",1968,"Economic Activity, Patents (661)","1968-11-20",1,5,3,"Lawrence G. Wallace","argued the cause for the United States as amicus curiae urging reversal","https://www.oyez.org/cases/1968/56","false"
394,784,0,"United States v. Bacto-Unidisk","","394 U.S. 784","","343",1968,"Economic Activity, Consumer Protection (656)","1969-01-23",1,8,1,"Lawrence G. Wallace","argued the cause for the United States","https://www.oyez.org/cases/1968/343","false"
395,575,0,"NLRB v. Gissel Packing Co.","","395 U.S. 575","","573",1968,"Unions, Bargaining (575)","1969-03-26",2,8,0,"Lawrence G. Wallace","argued the cause for respondent in No. 585","https://www.oyez.org/cases/1968/573","false"
396,398,0,"Turner v. United States","","396 U.S. 398","","190",1969,"Due Process, Miscellaneous (501)","1969-10-15",1,2,6,"Lawrence G. Wallace","argued the cause for the United States","https://www.oyez.org/cases/1969/190","false"
397,1,0,"United States v. Kordel","","397 U.S. 1","","87",1969,"Criminal Procedure, Self-Incrimination (21)","1969-11-20",1,7,0,"Lawrence G. Wallace","argued the cause for the United States","https://www.oyez.org/cases/1969/87","false"
397,322,0,"United States v. Key","","397 U.S. 322","","402",1969,"Federal Taxation, Priority of Federal Fiscal Claims (975)","1970-01-21",1,8,0,"Lawrence G. Wallace","argued the cause for the United States","https://www.oyez.org/cases/1969/402","false"
397,586,0,"Standard Industries, Inc. v. Tigrett Industries, Inc.","","397 U.S. 586","","445",1969,"Economic Activity, Patents (661)","1970-03-02",1,4,4,"Lawrence G. Wallace","argued for the United States, as amicus curiae, by special leave of Court","https://www.oyez.org/cases/1969/445","false"
400,517,0,"Donaldson v. United States","","400 U.S. 517","","65",1970,"Federal Taxation (960)","1970-11-19",1,0,9,"Lawrence G. Wallace","argued the cause for the United States et al","https://www.oyez.org/cases/1970/65","false"
400,542,0,"Phillips v. Martin Marietta Corp.","","400 U.S. 542","","73",1970,"Civil Rights, Sex Discrimination in Employment (284)","1970-12-09",1,9,0,"Lawrence G. Wallace","argued the cause for the United States as amicus curiae urging reversal","https://www.oyez.org/cases/1970/73","false"
403,88,0,"Griffin v. Breckenridge","","403 U.S. 88","","144",1970,"Liability, Civil Rights Acts (391)","1971-01-13",1,9,0,"Lawrence G. Wallace","argued the cause for the United States as amicus curiae urging reversal","https://www.oyez.org/cases/1970/144","false"
402,159,0,"United States v. Southern Ute Indians","","402 U.S. 159","","515",1970,"Civil Rights, Indians (293)","1971-03-01",1,8,1,"Lawrence G. Wallace","argued the cause for the United States","https://www.oyez.org/cases/1970/515","false"
403,333,0,"Hodgson v. Steelworkers","","403 U.S. 333","","655",1970,"Unions, Union-Union Member Dispute (563)","1971-03-23",1,2,7,"Lawrence G. Wallace","argued the cause for petitioner","https://www.oyez.org/cases/1970/655","false"
402,689,0,"Dewey v. Reynolds Metals Co.","","402 U.S. 689","","835",1970,"First Amendment, Free Exercise of Religion (455)","1971-04-20",2,4,4,"Lawrence G. Wallace","argued the cause for the United States as amicus curiae urging reversal","https://www.oyez.org/cases/1970/835","false"
404,138,0,"NLRB v. Nash-Finch Co.","","404 U.S. 138","","70-93",1971,"Federalism, Federal Preemption of State Jurisdiction (910)","1971-10-19",1,5,2,"Lawrence G. Wallace","argued the cause for petitioner","https://www.oyez.org/cases/1971/70-93","true"
404,522,0,"Love v. Pullman Co.","","404 U.S. 522","","70-5033",1971,"Civil Rights, Employment Discrimination (222)","1971-11-16",1,7,0,"Lawrence G. Wallace","argued the cause for the United States et al","https://www.oyez.org/cases/1971/70-5033","true"
407,385,0,"Pipefitters v. United States","","407 U.S. 385","","70-74",1971,"Economic Activity, Corruption (650)","1972-01-11",1,6,2,"Lawrence G. Wallace","argued the cause for the United States","https://www.oyez.org/cases/1971/70-74","true"
407,484,0,"United States v. Scotland Neck Bd. Of Educ.","","407 U.S. 484","","70-130",1971,"Civil Rights, Desegregation, Schools (221)","1972-02-29",1,9,0,"Lawrence G. Wallace","argued the cause for petitioner in No. 70-130","https://www.oyez.org/cases/1971/70-130","true"
406,649,0,"United States v. Midwest Video Corp.","","406 U.S. 649","","71-506",1971,"Economic Activity, Cable Television Regulation (687)","1972-04-19",1,5,4,"Lawrence G. Wallace","argued the cause for the United States et al","https://www.oyez.org/cases/1971/71-506","true"
409,205,0,"Trafficante v. Metropolitan Life Ins.","","409 U.S. 205","","71-708",1972,"Judicial Power, Standing to Sue, Statutory Standing (808)","1972-11-07",1,9,0,"Lawrence G. Wallace","argued the cause for the United States as amicus curiae urging reversal","https://www.oyez.org/cases/1972/71-708","true"
409,322,0,"Couch v. United States","","409 U.S. 322","","71-889",1972,"Criminal Procedure, Self-Incrimination (21)","1972-11-14",1,2,7,"Lawrence G. Wallace","argued the cause for the United States et al","https://www.oyez.org/cases/1972/71-889","true"
410,366,0,"Otter Tail Power Co. v. United States","","410 U.S. 366","","71-991",1972,"Economic Activity, Antitrust (601)","1972-12-05",1,3,4,"Lawrence G. Wallace","argued the cause for the United States","https://www.oyez.org/cases/1972/71-991","true"
412,541,0,"Fri v. Sierra Club","","412 U.S. 541","","72-804",1972,"natural resources - environmental protection (cf. national supremacy: natural resources, national supremacy: pollution)","1972-12-13",1,4,4,"Lawrence G. Wallace","argued the cause for petitioner","https://www.oyez.org/cases/1972/72-804","true"
411,279,0,"Employees v. Missouri Public Health Dept.","","411 U.S. 279","","71-1021",1972,"Unions, Fair Labor Standards Act (559)","1973-01-15",1,1,8,"Lawrence G. Wallace","argued the cause for the United States as amicus curiae urging reversal","https://www.oyez.org/cases/1972/71-1021","true"
411,526,0,"Georgia v. United States","","411 U.S. 526","","72-75",1972,"Civil Rights, Voting Rights Act of 1965 (211)","1973-02-21",1,3,6,"Lawrence G. Wallace","argued the cause for the United States","https://www.oyez.org/cases/1972/72-75","true"
415,36,0,"Alexander v. Gardner-Denver Co.","","415 U.S. 36","","72-5847",1973,"Civil Rights, Employment Discrimination (222)","1973-11-05",1,9,0,"Lawrence G. Wallace","argued the cause for the United States as amicus curiae urging reversal","https://www.oyez.org/cases/1973/72-5847","true"
415,164,0,"United States v. Matlock","","415 U.S. 164","","72-1355",1973,"Criminal Procedure, Search and Seizure (16)","1973-12-10",1,6,3,"Lawrence G. Wallace","argued the cause for the United States","https://www.oyez.org/cases/1973/72-1355","true"
416,21,0,"California Bankers Assn. v. Shultz","","416 U.S. 21","","72-985",1973,"Criminal Procedure, Search and Seizure (16)","1974-01-16",1,6,3,"Lawrence G. Wallace","argued the cause for Shultz et al., appellants in No. 72-1073 and appellees in Nos. 72-985 and 72-1196","https://www.oyez.org/cases/1973/72-985","true"
417,85,0,"Bellis v. United States","","417 U.S. 85","","73-190",1973,"Criminal Procedure, Self-Incrimination (21)","1974-02-25",1,1,8,"Lawrence G. Wallace","argued the cause for the United States","https://www.oyez.org/cases/1973/73-190","true"
417,211,0,"Anderson v. United States","","417 U.S. 211","","73-346",1973,"Federal Rules of Criminal Procedure, Conspiracy (163)","1974-03-19",1,2,7,"Lawrence G. Wallace","argued the cause for the United States","https://www.oyez.org/cases/1973/73-346","true"
