oyezId,volume,page,year,caseTitle,oldCite,usCite,dateDecision,docket,term,termId,issue,datesArgued,daysArgument,votesPetitioner,votesRespondent,advocateName,advocateRole,pdfSource,urlOyez
59267,354,1,1957,Reid v. Covert,0,354 U.S. 1,"1956-06-11,1957-06-10",701,1955,1955-10,"military: active duty","1956-05-03,1957-02-27",2,2,6,J. Lee Rankin,0,loc,"https://www.oyez.org/cases/1955/701"
59369,352,1,1956,Mesarosh v. United States,0,352 U.S. 1,1956-11-05,20,1956,1956-10,"subconstitutional fair procedure: confession of error",1956-10-10,1,5,3,J. Lee Rankin,0,loc,"https://www.oyez.org/cases/1956/20"
59391,355,1,1957,Scales v. United States,0,355 U.S. 1,1957-10-14,3,1957,1957-10,"discovery and inspection (in the context of criminal litigation only, otherwise Freedom of Information Act and related federal or state statutes or regulations)","1956-10-10,1956-10-11",2,9,0,J. Lee Rankin,0,loc,"https://www.oyez.org/cases/1957/3"
59410,355,2,1957,Lightfoot v. United States,0,355 U.S. 2,1957-10-14,4,1957,1957-10,"discovery and inspection (in the context of criminal litigation only, otherwise Freedom of Information Act and related federal or state statutes or regulations)",1956-10-11,1,9,0,J. Lee Rankin,0,loc,"https://www.oyez.org/cases/1957/4"
59424,352,567,1957,United States v. Auto. Workers,0,352 U.S. 567,1957-03-11,44,1956,1956-10,"campaign spending (cf. governmental corruption):","1956-12-03,1956-12-04",2,5,3,J. Lee Rankin,0,loc,"https://www.oyez.org/cases/1956/44"
59476,353,112,1957,United States v. Union Pacific Railroad Company,0,353 U.S. 112,1957-04-08,97,1956,1956-10,"natural resources - environmental protection (cf. national supremacy: natural resources, national supremacy: pollution)",1957-01-23,1,5,3,J. Lee Rankin,0,loc,"https://www.oyez.org/cases/1956/97"
59382,354,178,1957,Watkins v. United States,0,354 U.S. 178,1957-06-17,261,1956,1956-10,"legislative investigations: concerning internal security only",1957-03-07,1,6,1,J. Lee Rankin,0,loc,"https://www.oyez.org/cases/1956/261"
59348,354,515,1957,United States v. Louisiana,0,354 U.S. 515,1957-06-24,11 Orig.,1956,1956-10,"judicial administration: Supreme Court's original jurisdiction",1957-04-08,1,7,0,J. Lee Rankin,0,loc,"https://www.oyez.org/cases/1956/11_orig"
59445,353,322,1957,Civil Aeronautics Board v. Hermann,0,353 U.S. 322,1957-05-06,540,1956,1956-10,judicial review of administrative agency's or administrative official's actions and procedures,1957-04-25,1,9,0,J. Lee Rankin,0,loc,"https://www.oyez.org/cases/1956/540"
59464,356,86,1958,Trop v. Dulles,0,356 U.S. 86,1958-03-31,70,1956,1956-10,"immigration and naturalization: loss of citizenship, denaturalization","1957-05-02,1957-10-28,1957-10-29",3,5,4,J. Lee Rankin,0,loc,"https://www.oyez.org/cases/1956/70"
59347,354,524,1957,Wilson v. Girard,0,354 U.S. 524,1957-07-11,1103,1956,1956-10,"military: active duty",1957-07-08,1,8,0,J. Lee Rankin,0,loc,"https://www.oyez.org/cases/1956/1103"
59530,355,396,1958,Federal Trade Commission v. Standard Oil Company,0,355 U.S. 396,1958-01-27,24,1957,1957-10,antitrust (except in the context of mergers and union antitrust),"1957-11-14,1957-11-18",2,4,5,J. Lee Rankin,0,loc,"https://www.oyez.org/cases/1957/24"
59597,357,349,1958,Wiener v. United States,0,357 U.S. 349,1958-06-30,52,1957,1957-10,"liability, governmental: tort or contract actions by or against government or governmental officials other than defense of criminal actions brought under a civil rights action.",1957-11-18,1,9,0,J. Lee Rankin,0,loc,"https://www.oyez.org/cases/1957/52"
59659,355,391,1958,Cities Service Gas Co. v. State Corporation Comm'n of Kan.,0,355 U.S. 391,1958-01-20,85,1957,1957-10,"federal and some few state regulation of public utilities regulation: gas producer","1958-01-13,1958-01-14",2,9,0,J. Lee Rankin,0,loc,"https://www.oyez.org/cases/1957/85"
59673,356,38,1958,"Hoover Motor Express Company, Inc. v. United States",0,356 U.S. 38,1958-03-17,95,1957,1957-10,"federal taxation, typically under provisions of the Internal Revenue Code","1958-01-29,1958-01-30",2,0,9,J. Lee Rankin,0,loc,"https://www.oyez.org/cases/1957/95"
59491,356,27,1958,Commissioner of Internal Revenue v. Sullivan,0,356 U.S. 27,1958-03-17,119,1957,1957-10,"federal taxation, typically under provisions of the Internal Revenue Code",1958-01-30,1,0,9,J. Lee Rankin,0,loc,"https://www.oyez.org/cases/1957/119"
59531,356,309,1958,"Panama Canal Company v. Grace Line, Inc.",0,356 U.S. 309,1958-04-28,251,1957,1957-10,"standing to sue: justiciable question","1958-04-02,1958-04-03",2,9,0,J. Lee Rankin,0,loc,"https://www.oyez.org/cases/1957/251"
59587,357,116,1958,Kent v. Dulles,0,357 U.S. 116,1958-06-16,481,1957,1957-10,"federal or state internal security legislation: Smith, Internal Security, and related federal statutes",1958-04-10,1,5,4,J. Lee Rankin,0,loc,"https://www.oyez.org/cases/1957/481"
59618,357,144,1958,Dayton v. Dulles,0,357 U.S. 144,1958-06-16,621,1957,1957-10,"federal or state internal security legislation: Smith, Internal Security, and related federal statutes",1958-04-10,1,5,4,J. Lee Rankin,0,loc,"https://www.oyez.org/cases/1957/621"
59553,357,197,1958,"Societe Internationale pour Participations Industrielles et Commerciales, S. A. v. Rogers",0,357 U.S. 197,1958-06-16,348,1957,1957-10,"Federal Rules of Civil Procedure including Supreme Court Rules, application of the Federal Rules of Evidence, Federal Rules of Appellate Procedure in civil litigation, Circuit Court Rules, and state rules and admiralty rules",1958-05-01,1,8,0,J. Lee Rankin,0,loc,"https://www.oyez.org/cases/1957/348"
59518,358,1,1958,Cooper v. Aaron,0,358 U.S. 1,1958-09-12,"1 Misc.,1",1957,1957-10,"desegregation, schools","1958-08-28,1958-09-11",2,0,9,J. Lee Rankin,0,loc,"https://www.oyez.org/cases/1957/1_misc"
59731,358,103,1958,"United Gas Pipe Line Company v. Memphis Light, Gas & Water Division",0,358 U.S. 103,1958-12-08,23,1958,1958-10,"federal and some few state regulation of public utilities regulation: gas pipeline (cf. federal transportation regulation: pipeline)","1958-10-20,1958-10-21",2,5,3,J. Lee Rankin,0,loc,"https://www.oyez.org/cases/1958/23"
59816,358,334,1959,United States v. Radio Corporation of America,0,358 U.S. 334,1959-02-24,54,1958,1958-10,antitrust (except in the context of mergers and union antitrust),1958-12-08,1,7,0,J. Lee Rankin,0,loc,"https://www.oyez.org/cases/1958/54"
59724,362,217,1960,Abel v. United States,0,362 U.S. 217,1960-03-28,2,1959,1959-10,search and seizure (other than as pertains to vehicles or Crime Control Act),"1959-02-24,1959-02-25,1959-11-09",3,4,5,J. Lee Rankin,0,loc,"https://www.oyez.org/cases/1959/2"
59809,360,709,1959,Taylor v. McElroy,0,360 U.S. 709,1959-06-29,504,1958,1958-10,"security risks: denial of benefits or dismissal of employees for reasons other than failure to meet loyalty oath requirements","1959-03-31,1959-04-01",2,0,9,J. Lee Rankin,0,loc,"https://www.oyez.org/cases/1958/504"
59710,360,712,1959,Illinois v. Michigan,0,360 U.S. 712,1959-06-29,15 Orig.,1958,1958-10,non-real property dispute between states,"1959-05-21,1959-05-22",2,0,9,J. Lee Rankin,0,loc,"https://www.oyez.org/cases/1958/15_orig"
59867,363,1,1960,United States v. Louisiana,0,363 U.S. 1,1960-05-31,10 Orig.,1959,1959-10,Submerged Lands Act (cf. federal-state ownership dispute),"1959-10-12,1959-10-13,1959-10-14,1959-10-15",4,6,1,J. Lee Rankin,0,loc,"https://www.oyez.org/cases/1959/10_orig"
59977,361,39,1959,United Steelworkers of America v. United States,0,361 U.S. 39,1959-11-07,504,1959,1959-10,"labor-management disputes: antistrike injunction",1959-11-03,1,1,8,J. Lee Rankin,0,loc,"https://www.oyez.org/cases/1959/504"
59996,362,99,1960,Federal Power Commission v. Tuscarora Indian Nation,0,362 U.S. 99,1960-03-07,63,1959,1959-10,"federal and some few state regulation of public utilities regulation: electric power",1959-12-07,1,6,3,J. Lee Rankin,0,loc,"https://www.oyez.org/cases/1959/63"
59989,362,482,1960,United States v. Republic Steel Corporation,0,362 U.S. 482,1960-05-16,56,1959,1959-10,"natural resources - environmental protection (cf. national supremacy: natural resources, national supremacy: pollution)","1960-01-12,1960-01-13",2,5,4,J. Lee Rankin,0,loc,"https://www.oyez.org/cases/1959/56"
60000,362,58,1960,United States v. Thomas,0,362 U.S. 58,1960-02-29,667,1959,1959-10,voting,"1960-02-23,1960-02-24",2,9,0,J. Lee Rankin,0,loc,"https://www.oyez.org/cases/1959/667"
59945,367,740,1961,International Association of Machinists v. Street,0,367 U.S. 740,1961-06-19,4,1959,1959-10,"union or closed shop: includes agency shop litigation","1960-04-21,1961-01-17,1961-01-18",3,7,2,J. Lee Rankin,0,loc,"https://www.oyez.org/cases/1959/4"
59944,362,602,1960,United States v. Alabama,0,362 U.S. 602,1960-05-16,398,1959,1959-10,voting,1960-05-02,1,9,0,J. Lee Rankin,0,loc,"https://www.oyez.org/cases/1959/398"
59976,363,229,1960,United States v. Grand River Dam Authority,0,363 U.S. 229,1960-06-13,503,1959,1959-10,"national supremacy: natural resources (cf. natural resources - environmental protection)",1960-05-17,1,9,0,J. Lee Rankin,0,loc,"https://www.oyez.org/cases/1959/503"
60047,367,1,1961,Communist Party of the United States v. Subversive Activities Control Board,0,367 U.S. 1,1961-06-05,12,1960,1960-10,"federal or state internal security legislation: Smith, Internal Security, and related federal statutes","1960-10-11,1960-10-12",2,4,5,J. Lee Rankin,0,loc,"https://www.oyez.org/cases/1960/12"
60089,364,520,1961,United States v. Mississippi Valley Generating Company,0,364 U.S. 520,1961-01-09,26,1960,1960-10,"corruption, governmental or governmental regulation of other than as in campaign spending",1960-10-19,1,6,3,J. Lee Rankin,0,loc,"https://www.oyez.org/cases/1960/26"
60133,365,1,1961,Federal Power Commission v. Transcontinental Gas Pipe Line Corporation,0,365 U.S. 1,1961-01-23,45,1960,1960-10,"federal and some few state regulation of public utilities regulation: gas pipeline (cf. federal transportation regulation: pipeline)",1960-11-15,1,6,3,J. Lee Rankin,0,loc,"https://www.oyez.org/cases/1960/45"
60411,372,335,1963,Gideon v. Wainwright,0,372 U.S. 335,1963-03-18,155,1962,1962-10,right to counsel (cf. indigents appointment of counsel or inadequate representation),1963-01-15,1,9,0,J. Lee Rankin,0,loc,"https://www.oyez.org/cases/1962/155"
61139,384,641,1966,Katzenbach v. Morgan,0,384 U.S. 641,1966-06-13,847,1965,1965-10,"Voting Rights Act of 1965, plus amendments",1966-04-18,1,7,2,J. Lee Rankin,0,loc,"https://www.oyez.org/cases/1965/847"
61523,392,273,1968,Gardner v. Broderick,0,392 U.S. 273,1968-06-10,635,1967,1967-10,"self-incrimination, immunity from prosecution",1968-04-30,1,9,0,J. Lee Rankin,0,loc,"https://www.oyez.org/cases/1967/635"
61844,397,664,1970,Walz v. Tax Comm'n of the City of New York,0,397 U.S. 664,1970-05-04,135,1969,1969-10,"establishment of religion (other than as pertains to parochiaid:)",1969-11-19,1,1,7,J. Lee Rankin,0,loc,"https://www.oyez.org/cases/1969/135"
