oyezId,volume,page,year,caseTitle,oldCite,usCite,dateDecision,docket,term,termId,issue,datesArgued,daysArgument,votesPetitioner,votesRespondent,advocateName,advocateRole,pdfSource,urlOyez
59260,350,422,1956,Ullmann v. United States,0,350 U.S. 422,1956-03-26,58,1955,1955-10,"self-incrimination, immunity from prosecution",1955-12-06,1,2,7,Leonard B. Boudin,0,loc,"https://www.oyez.org/cases/1955/58"
59510,357,468,1958,Lerner v. Casey,0,357 U.S. 468,1958-06-30,165,1957,1957-10,"security risks: denial of benefits or dismissal of employees for reasons other than failure to meet loyalty oath requirements",1958-03-04,1,4,5,Leonard B. Boudin,0,loc,"https://www.oyez.org/cases/1957/165"
59587,357,116,1958,Kent v. Dulles,0,357 U.S. 116,1958-06-16,481,1957,1957-10,"federal or state internal security legislation: Smith, Internal Security, and related federal statutes",1958-04-10,1,5,4,Leonard B. Boudin,0,loc,"https://www.oyez.org/cases/1957/481"
59763,360,72,1959,Uphaus v. Wyman,0,360 U.S. 72,1959-06-08,34,1958,1958-10,"legislative investigations: concerning internal security only","1958-11-17,1958-11-18",2,4,5,Leonard B. Boudin,0,loc,"https://www.oyez.org/cases/1958/34"
60154,365,431,1961,Braden v. United States,0,365 U.S. 431,1961-02-27,54,1960,1960-10,"legislative investigations: concerning internal security only",1960-11-17,1,4,5,Leonard B. Boudin,0,loc,"https://www.oyez.org/cases/1960/54"
60260,372,144,1963,Kennedy v. Mendoza-Martinez,0,372 U.S. 144,1963-02-18,"2,3,19,20",1961,1961-10,"immigration and naturalization: loss of citizenship, denaturalization","1961-10-10,1961-10-11,1962-12-04,1962-12-05",4,4,5,Leonard B. Boudin,0,loc,"https://www.oyez.org/cases/1961/2"
60360,369,749,1962,Russell v. United States,0,369 U.S. 749,1962-05-21,"8,9,10,11,12,128",1961,1961-10,"legislative investigations: concerning internal security only","1961-12-06,1961-12-07,1961-12-11,1961-12-12",4,5,2,Leonard B. Boudin,0,loc,"https://www.oyez.org/cases/1961/8"
60952,380,513,1965,Veterans of Abraham Lincoln Brigade v. Subversive Activities Control Board,0,380 U.S. 513,1965-04-26,65,1964,1964-10,"federal or state internal security legislation: Smith, Internal Security, and related federal statutes",1964-12-09,1,5,3,Leonard B. Boudin,0,loc,"https://www.oyez.org/cases/1964/65"
60970,381,1,1965,Zemel v. Rusk,0,381 U.S. 1,1965-05-03,86,1964,1964-10,"federal or state internal security legislation: Smith, Internal Security, and related federal statutes",1965-03-01,1,3,6,Leonard B. Boudin,0,loc,"https://www.oyez.org/cases/1964/86"
60918,381,301,1965,Lamont v. Postmaster General,0,381 U.S. 301,1965-05-24,491,1964,1964-10,"First Amendment, miscellaneous (cf. comity: First Amendment)",1965-04-26,1,8,0,Leonard B. Boudin,0,loc,"https://www.oyez.org/cases/1964/491"
61341,385,116,1966,Bond v. Floyd,0,385 U.S. 116,1966-12-05,87,1966,1966-10,"First Amendment, miscellaneous (cf. comity: First Amendment)",1966-11-10,1,9,0,Leonard B. Boudin,0,loc,"https://www.oyez.org/cases/1966/87"
61207,385,475,1967,United States v. Laub,0,385 U.S. 475,1967-01-10,176,1966,1966-10,"federal or state internal security legislation: Smith, Internal Security, and related federal statutes",1966-11-16,1,0,9,Leonard B. Boudin,0,loc,"https://www.oyez.org/cases/1966/176"
61573,392,280,1968,"Uniformed Sanitation Men Assn., Inc. v. Commissioner of Sanitation of City of New York",0,392 U.S. 280,1968-06-10,823,1967,1967-10,"self-incrimination, immunity from prosecution",1968-05-01,1,9,0,Leonard B. Boudin,0,loc,"https://www.oyez.org/cases/1967/823"
61863,401,23,1971,In re Stolar,0,401 U.S. 23,1971-02-23,"18,75",1970,1970-10,"loyalty oath: bar applicants (cf. admission to bar, state or federal or U.S. Supreme Court)","1969-12-09,1970-10-14,1970-10-15",3,5,4,Leonard B. Boudin,0,loc,"https://www.oyez.org/cases/1970/18"
50644,408,753,1972,Kleindienst v. Mandel,0,408 U.S. 753,1972-06-29,71-16,1971,1971-10,"federal or state internal security legislation: Smith, Internal Security, and related federal statutes",1972-04-18,1,6,3,Leonard B. Boudin,0,loc,"https://www.oyez.org/cases/1971/71-16"
51281,421,21,1975,McLucas v. DeChamplain,0,421 U.S. 21,1975-04-15,73-1346,1974,1974-10,"military: active duty",1974-12-09,1,9,0,Leonard B. Boudin,0,loc,"https://www.oyez.org/cases/1974/73-1346"
52110,444,37,1979,Perrin v. United States,0,444 U.S. 37,1979-11-27,78-959,1979,1979-10,"statutory construction of criminal laws: Travel Act, 18 USC 1952",1979-10-03,1,0,8,Leonard B. Boudin,0,loc,"https://www.oyez.org/cases/1979/78-959"
52780,468,222,1984,Regan v. Wald,0,468 U.S. 222,1984-06-28,83-436,1983,1983-10,"federal or state internal security legislation: Smith, Internal Security, and related federal statutes",1984-04-24,1,5,4,Leonard B. Boudin,0,loc,"https://www.oyez.org/cases/1983/83-436"
