oyezId,volume,page,year,caseTitle,oldCite,usCite,dateDecision,docket,term,termId,issue,datesArgued,daysArgument,votesPetitioner,votesRespondent,advocateName,advocateRole,pdfSource,urlOyez
55479,553,137,2008,Begay v. United States,0,553 U.S. 137,2008-04-16,06-11543,2007,2007-10,"statutory construction of criminal laws: miscellaneous",2008-01-15,1,6,3,Leondra R. Kruger,0,scotusBound,"https://www.oyez.org/cases/2007/06-11543"
55571,555,0,2009,Kennedy v. Plan Administrator for DuPont Sav. and Investment Plan,0,555 U.S. ___,2009-01-26,07-636,2008,2008-10,Employee Retirement Income Security Act (cf. union trust funds),2008-10-07,1,0,9,Leondra R. Kruger,0,scotusBound,"https://www.oyez.org/cases/2008/07-636"
55604,556,0,2009,Vermont v. Brillon,0,556 U.S. ___,2009-03-09,08-88,2008,2008-10,speedy trial,2009-01-13,1,7,2,Leondra R. Kruger,0,scotusBound,"https://www.oyez.org/cases/2008/08-88"
55711,559,133,2010,Johnson v. United States,0,559 U.S. 133,2010-03-02,08-6925,2009,2009-10,"statutory construction of criminal laws: assault",2009-10-06,1,7,2,Leondra R. Kruger,0,scotusBound,"https://www.oyez.org/cases/2009/08-6925"
55644,558,1316,2010,Briscoe v. Virginia,0,558 U.S. 1316,2010-01-25,07-11191,2009,2009-10,"confrontation (right to confront accuser, call and cross-examine witnesses)",2010-01-11,1,9,0,Leondra R. Kruger,0,scotusBound,"https://www.oyez.org/cases/2009/07-11191"
55625,560,817,2010,Dillon v. United States,0,560 U.S. 817,2010-06-17,09-6338,2009,2009-10,"statutory construction of criminal laws: sentencing guidelines",2010-03-30,1,1,7,Leondra R. Kruger,0,scotusBound,"https://www.oyez.org/cases/2009/09-6338"
55812,562,344,2011,Michigan v. Bryant,0,562 U.S. 344,2011-02-28,09-150,2010,2010-10,"confrontation (right to confront accuser, call and cross-examine witnesses)",2010-10-05,1,6,2,Leondra R. Kruger,0,scotusBound,"https://www.oyez.org/cases/2010/09-150"
55783,562,170,2011,"Thompson v. North American Stainless, LP",0,562 U.S. 170,2011-01-24,09-291,2010,2010-10,"employment discrimination: on basis of race, age, religion, illegitimacy, national origin, or working conditions.",2010-12-07,1,8,0,Leondra R. Kruger,0,scotusBound,"https://www.oyez.org/cases/2010/09-291"
55775,563,692,2011,Camreta v. Greene,0,563 U.S. 692,2011-05-26,09-1454,2010,2010-10,"standing to sue: personal injury",2011-03-01,1,7,2,Leondra R. Kruger,0,scotusBound,"https://www.oyez.org/cases/2010/09-1454"
55789,564,0,2011,Turner v. Rogers,0,564 U.S. ___,2011-06-20,10-10,2010,2010-10,contempt of court or congress,2011-03-23,1,5,4,Leondra R. Kruger,0,scotusBound,"https://www.oyez.org/cases/2010/10-10"
55818,565,0,2012,Hosanna-Tabor Evangelical Lutheran Church and School v. EEOC,0,565 U.S. ___,2012-01-11,10-553,2011,2011-10,free exercise of religion,2011-10-05,1,9,0,Leondra R. Kruger,0,scotusBound,"https://www.oyez.org/cases/2011/10-553"
55861,566,0,2012,Holder v. Gutierrez,0,566 U.S. ___,2012-05-21,10-1542,2011,2011-10,deportation (cf. immigration and naturalization),2012-01-18,1,9,0,Leondra R. Kruger,0,scotusBound,"https://www.oyez.org/cases/2011/10-1542"
