caseId,volume,page,year,caseTitle,oldCite,usCite,dateDecision,docket,term,termId,issue,dateArgument,daysArgument,votesPetitioner,votesRespondent,advocateName,advocateRole,pdfSource,urlOyez
"54532",519,425,1997,"Regents of University of California v. Doe","","519 U.S. 425","1997-02-19","95-1694","1996","1996-10","liability, governmental: tort or contract actions by or against government or governmental officials other than defense of criminal actions brought under a civil rights action.","1996-12-02",1,9,0,"Lisa S. Blatt","","loc","https://www.oyez.org/cases/1996/95-1694"
"54532",519,425,1997,"Regents of University of California v. Doe","","519 U.S. 425","1997-02-19","95-1694","1996","1996-10","liability, governmental: tort or contract actions by or against government or governmental officials other than defense of criminal actions brought under a civil rights action.","1996-12-02",1,9,0,"Lisa S. Blatt","","loc","https://www.oyez.org/cases/1996/95-1694"
"54615",522,23,1997,"Bates v. United States","","522 U.S. 23","1997-11-04","96-7185","1997","1997-10","statutory construction of criminal laws: fraud","1997-10-07",1,0,9,"Lisa S. Blatt","","loc","https://www.oyez.org/cases/1997/96-7185"
"54615",522,23,1997,"Bates v. United States","","522 U.S. 23","1997-11-04","96-7185","1997","1997-10","statutory construction of criminal laws: fraud","1997-10-07",1,0,9,"Lisa S. Blatt","","loc","https://www.oyez.org/cases/1997/96-7185"
"54644",522,448,1998,"Regions Hospital v. Shalala","","522 U.S. 448","1998-02-24","96-1375","1997","1997-10","judicial review of administrative agency's or administrative official's actions and procedures","1997-12-01",1,3,6,"Lisa S. Blatt","","loc","https://www.oyez.org/cases/1997/96-1375"
"54644",522,448,1998,"Regions Hospital v. Shalala","","522 U.S. 448","1998-02-24","96-1375","1997","1997-10","judicial review of administrative agency's or administrative official's actions and procedures","1997-12-01",1,3,6,"Lisa S. Blatt","","loc","https://www.oyez.org/cases/1997/96-1375"
"54623",524,266,1998,"Forney v. Apfel","","524 U.S. 266","1998-06-15","97-5737","1997","1997-10","judicial administration: review of non-final order","1998-04-22",1,9,0,"Lisa S. Blatt","","loc","https://www.oyez.org/cases/1997/97-5737"
"54623",524,266,1998,"Forney v. Apfel","","524 U.S. 266","1998-06-15","97-5737","1997","1997-10","judicial administration: review of non-final order","1998-04-22",1,9,0,"Lisa S. Blatt","","loc","https://www.oyez.org/cases/1997/97-5737"
"54673",525,432,1999,"Hughes Aircraft Company v. Jacobson","","525 U.S. 432","1999-01-25","97-1287","1998","1998-10","Employee Retirement Income Security Act (cf. union trust funds)","1998-11-02",1,9,0,"Lisa S. Blatt","","loc","https://www.oyez.org/cases/1998/97-1287"
"54673",525,432,1999,"Hughes Aircraft Company v. Jacobson","","525 U.S. 432","1999-01-25","97-1287","1998","1998-10","Employee Retirement Income Security Act (cf. union trust funds)","1998-11-02",1,9,0,"Lisa S. Blatt","","loc","https://www.oyez.org/cases/1998/97-1287"
"54702",525,449,1999,"Your Home Visiting Nurse Services, Inc. v. Shalala","","525 U.S. 449","1999-02-23","97-1489","1998","1998-10","judicial review of administrative agency's or administrative official's actions and procedures","1998-12-02",1,0,9,"Lisa S. Blatt","","loc","https://www.oyez.org/cases/1998/97-1489"
"54702",525,449,1999,"Your Home Visiting Nurse Services, Inc. v. Shalala","","525 U.S. 449","1999-02-23","97-1489","1998","1998-10","judicial review of administrative agency's or administrative official's actions and procedures","1998-12-02",1,0,9,"Lisa S. Blatt","","loc","https://www.oyez.org/cases/1998/97-1489"
"54815",528,110,2000,"New York v. Hill","","528 U.S. 110","2000-01-11","98-1299","1999","1999-10","subconstitutional fair procedure: timeliness","1999-11-02",1,9,0,"Lisa S. Blatt","","loc","https://www.oyez.org/cases/1999/98-1299"
"54774",529,667,2000,"Fischer v. United States","","529 U.S. 667","2000-05-15","99-116","1999","1999-10","poverty law, statutory: welfare benefits, typically under some Social Security Act provision.","2000-02-22",1,2,7,"Lisa S. Blatt","","loc","https://www.oyez.org/cases/1999/99-116"
"54774",529,667,2000,"Fischer v. United States","","529 U.S. 667","2000-05-15","99-116","1999","1999-10","poverty law, statutory: welfare benefits, typically under some Social Security Act provision.","2000-02-22",1,2,7,"Lisa S. Blatt","","loc","https://www.oyez.org/cases/1999/99-116"
