oyezId,volume,page,year,caseTitle,oldCite,usCite,dateDecision,docket,term,termId,issue,datesArgued,daysArgument,votesPetitioner,votesRespondent,advocateName,advocateRole,pdfSource,urlOyez
59781,360,25,1959,Louisiana Power & Light Company v. City of Thibodaux,0,360 U.S. 25,1959-06-08,398,1958,1958-10,"comity primarily removal cases, civil procedure (cf. comity, criminal and First Amendment); deference to foreign judicial tribunals",1959-04-02,1,6,3,Louis F. Claiborne,0,loc,"https://www.oyez.org/cases/1958/398"
60568,371,224,1963,National Labor Relations Board v. Reliance Fuel Oil Corporation,0,371 U.S. 224,1963-01-07,88,1962,1962-10,"labor-management disputes: miscellaneous dispute",1962-12-03,1,9,0,Louis F. Claiborne,0,loc,"https://www.oyez.org/cases/1962/88"
60433,373,427,1963,Lopez v. United States,0,373 U.S. 427,1963-05-27,236,1962,1962-10,"statutory construction of criminal laws: internal revenue (cf. Federal Taxation)",1963-01-14,1,3,6,Louis F. Claiborne,0,loc,"https://www.oyez.org/cases/1962/236"
60436,373,49,1963,Maximov v. United States,0,373 U.S. 49,1963-04-29,240,1962,1962-10,"federal taxation, typically under provisions of the Internal Revenue Code",1963-03-28,1,0,9,Louis F. Claiborne,0,loc,"https://www.oyez.org/cases/1962/240"
60670,375,169,1963,Corey v. United States,0,375 U.S. 169,1963-12-09,31,1963,1963-10,Federal Rules of Criminal Procedure,1963-10-17,1,8,1,Louis F. Claiborne,0,loc,"https://www.oyez.org/cases/1963/31"
60791,375,162,1963,United States v. Behrens,0,375 U.S. 162,1963-12-09,86,1963,1963-10,Federal Rules of Criminal Procedure,1963-10-17,1,0,9,Louis F. Claiborne,0,loc,"https://www.oyez.org/cases/1963/86"
60615,375,277,1964,Hardy v. United States,0,375 U.S. 277,1964-01-06,112,1963,1963-10,"indigents: transcript",1963-11-21,1,8,1,Louis F. Claiborne,0,loc,"https://www.oyez.org/cases/1963/112"
60801,376,86,1964,United States v. Wiesenfeld Warehouse Company,0,376 U.S. 86,1964-02-17,92,1963,1963-10,"federal or state consumer protection: typically under the Truth in Lending; Food, Drug and Cosmetic; and Consumer Protection Credit Acts",1964-01-16,1,9,0,Louis F. Claiborne,0,loc,"https://www.oyez.org/cases/1963/92"
60838,380,63,1965,United States v. Gainey,0,380 U.S. 63,1965-03-01,13,1964,1964-10,self-incrimination (other than as pertains to Miranda or immunity from prosecution),1964-10-15,1,7,2,Louis F. Claiborne,0,loc,"https://www.oyez.org/cases/1964/13"
60954,380,145,1965,Louisiana v. United States,0,380 U.S. 145,1965-03-08,67,1964,1964-10,voting,"1965-01-26,1965-01-27",2,0,9,Louis F. Claiborne,0,loc,"https://www.oyez.org/cases/1964/67"
61024,382,136,1965,United States v. Romano,0,382 U.S. 136,1965-11-22,2,1965,1965-10,"due process: miscellaneous (cf. loyalty oath), the residual code",1965-10-14,1,0,9,Louis F. Claiborne,0,loc,"https://www.oyez.org/cases/1965/2"
61106,382,296,1966,Evans v. Newton,0,382 U.S. 296,1966-01-17,61,1965,1965-10,"desegregation (other than as pertains to school desegregation, employment discrimination, and affirmative action)","1965-11-09,1965-11-10",2,6,3,Louis F. Claiborne,0,loc,"https://www.oyez.org/cases/1965/61"
61070,384,424,1966,"United States v. Anthony Grace & Sons, Inc.",0,384 U.S. 424,1966-06-06,439,1965,1965-10,judicial review of administrative agency's or administrative official's actions and procedures,1966-03-23,1,9,0,Louis F. Claiborne,0,loc,"https://www.oyez.org/cases/1965/439"
61079,384,808,1966,City of Greenwood v. Peacock,0,384 U.S. 808,1966-06-20,471,1965,1965-10,"comity: civil rights",1966-04-26,1,5,4,Louis F. Claiborne,0,loc,"https://www.oyez.org/cases/1965/471"
61226,388,307,1967,Walker v. City of Birmingham,0,388 U.S. 307,1967-06-12,249,1966,1966-10,"protest demonstrations (other than as pertains to sit-in demonstrations): demonstrations and other forms of protest based on First Amendment guarantees","1967-03-13,1967-03-14",2,4,5,Louis F. Claiborne,0,loc,"https://www.oyez.org/cases/1966/249"
61272,387,428,1967,Udall v. Federal Power Commission,0,387 U.S. 428,1967-06-05,"463,462",1966,1966-10,judicial review of administrative agency's or administrative official's actions and procedures,"1967-04-11,1967-04-12",2,6,2,Louis F. Claiborne,0,loc,"https://www.oyez.org/cases/1966/463"
61600,389,155,1967,United States v. Louisiana,0,389 U.S. 155,1967-12-04,9 Orig.,1967,1967-10,Submerged Lands Act (cf. federal-state ownership dispute),1967-10-09,1,6,1,Louis F. Claiborne,0,loc,"https://www.oyez.org/cases/1967/9-orig"
61510,389,463,1968,"Wirtz v. Local 153, Glass Bottle Blowers Association of the United States and Canada, AFL-CIO",0,389 U.S. 463,1968-01-15,57,1967,1967-10,union-union member dispute (except as pertains to union or closed shop),1967-11-08,1,8,0,Louis F. Claiborne,0,loc,"https://www.oyez.org/cases/1967/57"
