oyezId,volume,page,year,caseTitle,oldCite,usCite,dateDecision,docket,term,termId,issue,datesArgued,daysArgument,votesPetitioner,votesRespondent,advocateName,advocateRole,pdfSource,urlOyez
50887,411,223,1973,Brown v. United States,0,411 U.S. 223,1973-04-17,71-6193,1972,1972-10,search and seizure (other than as pertains to vehicles or Crime Control Act),1972-12-07,1,0,9,Mark L. Evans,0,loc,"https://www.oyez.org/cases/1972/71-6193"
50963,412,521,1973,Logue v. United States,0,412 U.S. 521,1973-06-11,72-656,1972,1972-10,"liability, governmental: tort or contract actions by or against government or governmental officials other than defense of criminal actions brought under a civil rights action.",1973-04-24,1,9,0,Mark L. Evans,0,loc,"https://www.oyez.org/cases/1972/72-656"
51116,414,614,1974,Christian v. New York Department Of Labor,0,414 U.S. 614,1974-01-21,72-5704,1973,1973-10,"due process: hearing, government employees",1973-11-13,1,9,0,Mark L. Evans,0,loc,"https://www.oyez.org/cases/1973/72-5704"
51005,417,380,1974,FPC v. Texaco Inc.,0,417 U.S. 380,1974-06-10,72-1490,1973,1973-10,"federal and some few state regulation of public utilities regulation: gas producer",1974-02-19,1,8,0,Mark L. Evans,0,loc,"https://www.oyez.org/cases/1973/72-1490"
51210,419,65,1974,Saxbe v. Bustos,0,419 U.S. 65,1974-11-25,"73-300,73-480",1974,1974-10,employability of aliens (cf. immigration and naturalization),1974-10-17,1,5,4,Mark L. Evans,0,loc,"https://www.oyez.org/cases/1974/73-300"
51276,420,770,1975,Iannelli v. United States,0,420 U.S. 770,1975-03-25,73-64,1974,1974-10,"statutory construction of criminal laws: gambling",1974-12-17,1,4,5,Mark L. Evans,0,loc,"https://www.oyez.org/cases/1974/73-64"
51271,422,891,1975,United States v. Ortiz,0,422 U.S. 891,1975-06-30,73-2050,1974,1974-10,"search and seizure, vehicles",1975-02-18,1,0,9,Mark L. Evans,0,loc,"https://www.oyez.org/cases/1974/73-2050"
51323,422,916,1975,Bowen v. United States,0,422 U.S. 916,1975-06-30,73-6848,1974,1974-10,retroactivity (of newly announced or newly enacted constitutional or statutory rights),1975-02-18,1,4,5,Mark L. Evans,0,loc,"https://www.oyez.org/cases/1974/73-6848"
51291,421,560,1975,Dunlop v. Bachowski,0,421 U.S. 560,1975-06-02,74-466,1974,1974-10,judicial review of administrative agency's or administrative official's actions and procedures,1975-04-21,1,8,1,Mark L. Evans,0,loc,"https://www.oyez.org/cases/1974/74-466"
51423,424,494,1976,Federal Power Commission v. Moss,0,424 U.S. 494,1976-03-03,74-883,1975,1975-10,"federal and some few state regulation of public utilities regulation: gas producer",1975-12-03,1,6,0,Mark L. Evans,0,loc,"https://www.oyez.org/cases/1975/74-883"
51395,426,229,1976,Washington v. Davis,0,426 U.S. 229,1976-06-07,74-1492,1975,1975-10,"employment discrimination: on basis of race, age, religion, illegitimacy, national origin, or working conditions.",1976-03-01,1,7,2,Mark L. Evans,0,loc,"https://www.oyez.org/cases/1975/74-1492"
51429,428,543,1976,United States v. Martinez-Fuerte,0,428 U.S. 543,1976-07-06,74-1560,1975,1975-10,"search and seizure, vehicles",1976-04-26,1,7,2,Mark L. Evans,0,loc,"https://www.oyez.org/cases/1975/74-1560"
52044,442,444,1979,Southern Railway Company v. Seaboard Allied Milling Corporation,0,442 U.S. 444,1979-06-11,78-575,1978,1978-10,judicial review of administrative agency's or administrative official's actions and procedures,1979-04-23,1,8,0,Mark L. Evans,0,loc,"https://www.oyez.org/cases/1978/78-575"
62181,485,495,1988,Puerto Rico Department of Consumer Affairs v. Isla Petroleum Corporation,0,485 U.S. 495,1988-04-19,86-1406,1987,1987-10,federal pre-emption of state legislation or regulation. cf. state regulation of business. rarely involves union activity. Does not involve constitutional interpretation unless the Court says it does.,1988-02-29,1,8,0,Mark L. Evans,0,loc,"https://www.oyez.org/cases/1987/86-1406"
53655,490,66,1989,"Amerada Hess Corporation v. Director, Division of Taxation, New Jersey Department of the Treasury",0,490 U.S. 66,1989-04-03,87-453,1988,1988-10,state or local government tax,1988-11-29,1,0,8,Mark L. Evans,0,loc,"https://www.oyez.org/cases/1988/87-453"
53829,500,172,1991,Ford Motor Credit Co. v. Department of Revenue of Fla.,0,500 U.S. 172,1991-05-20,88-1847,1990,1990-10,state or local government tax,1990-11-06,1,4,4,Mark L. Evans,0,loc,"https://www.oyez.org/cases/1990/88-1847"
54688,526,160,1999,South Central Bell Telephone Company v. Alabama,0,526 U.S. 160,1999-03-23,97-2045,1998,1998-10,state or local government tax,1999-01-19,1,9,0,Mark L. Evans,0,loc,"https://www.oyez.org/cases/1998/97-2045"
55019,535,635,2002,"Verizon Maryland, Inc. v. Public Service Commission of Maryland",0,535 U.S. 635,2002-05-20,00-1531,2001,2001-10,"national supremacy: public utilities (cf. federal public utilities regulation)",2001-12-05,1,8,0,Mark L. Evans,0,loc,"https://www.oyez.org/cases/2001/00-1531"
