oyezId,volume,page,year,caseTitle,oldCite,usCite,dateDecision,docket,term,termId,issue,datesArgued,daysArgument,votesPetitioner,votesRespondent,advocateName,advocateRole,pdfSource,urlOyez
54599,524,236,1998,Hohn v. United States,0,524 U.S. 236,1998-06-15,96-8986,1997,1997-10,habeas corpus,1998-03-03,1,5,4,Matthew D. Roberts,0,loc,"https://www.oyez.org/cases/1997/96-8986"
54598,524,721,1998,Monge v. California,0,524 U.S. 721,1998-06-26,97-6146,1997,1997-10,double jeopardy,1998-04-28,1,4,5,Matthew D. Roberts,0,loc,"https://www.oyez.org/cases/1997/97-6146"
54722,525,121,1998,Haddle v. Garrison,0,525 U.S. 121,1998-12-14,97-1472,1998,1998-10,"liability, civil rights acts (cf. liability, governmental and liability, nongovernmental; cruel and unusual punishment, non-death penalty)",1998-11-10,1,9,0,Matthew D. Roberts,0,loc,"https://www.oyez.org/cases/1998/97-1472"
54756,526,795,1999,Cleveland v. Policy Management Systems Corporation,0,526 U.S. 795,1999-05-24,97-1008,1998,1998-10,"handicapped, rights of: under Rehabilitation, Americans with Disabilities Act, and related statutes",1999-02-24,1,9,0,Matthew D. Roberts,0,loc,"https://www.oyez.org/cases/1998/97-1008"
54845,529,473,2000,Slack v. McDaniel,0,529 U.S. 473,2000-04-26,98-6322,1999,1999-10,habeas corpus,"1999-10-04,2000-03-29",2,7,2,Matthew D. Roberts,0,loc,"https://www.oyez.org/cases/1999/98-6322"
54834,529,576,2000,Christensen v. Harris County,0,529 U.S. 576,2000-05-01,98-1167,1999,1999-10,Fair Labor Standards Act,2000-02-23,1,3,6,Matthew D. Roberts,0,loc,"https://www.oyez.org/cases/1999/98-1167"
54936,531,326,2001,Illinois v. McArthur,0,531 U.S. 326,2001-02-20,99-1132,2000,2000-10,search and seizure (other than as pertains to vehicles or Crime Control Act),2000-11-01,1,8,1,Matthew D. Roberts,0,loc,"https://www.oyez.org/cases/2000/99-1132"
54922,532,588,2001,The Wharf (Holdings) Ltd. v. United International Holdings,0,532 U.S. 588,2001-05-21,00-347,2000,2000-10,federal or state regulation of securities,2001-03-21,1,0,9,Matthew D. Roberts,0,loc,"https://www.oyez.org/cases/2000/00-347"
54913,532,843,2001,Pollard v. E. I. du Pont de Nemours & Company,0,532 U.S. 843,2001-06-04,00-763,2000,2000-10,sex discrimination in employment (cf. sex discrimination),2001-04-23,1,8,0,Matthew D. Roberts,0,loc,"https://www.oyez.org/cases/2000/00-763"
54949,534,235,2002,"Chao v. Mallard Bay Drilling, Inc.",0,534 U.S. 235,2002-01-09,00-927,2001,2001-10,Occupational Safety and Health Act,2001-10-31,1,8,0,Matthew D. Roberts,0,loc,"https://www.oyez.org/cases/2001/00-927"
54959,535,813,2002,Securities and Exchange Commission v. Zandford,0,535 U.S. 813,2002-06-03,01-147,2001,2001-10,federal or state regulation of securities,2002-03-18,1,9,0,Matthew D. Roberts,0,loc,"https://www.oyez.org/cases/2001/01-147"
62275,536,129,2002,Franconia Associates v. United States,0,536 U.S. 129,2002-06-10,01-455,2001,2001-10,"miscellaneous judicial power, especially diversity jurisdiction",2002-04-15,1,9,0,Matthew D. Roberts,0,loc,"https://www.oyez.org/cases/2001/01-455"
55114,537,79,2002,"Howsam v. Dean Witter Reynolds, Inc.",0,537 U.S. 79,2002-12-10,01-800,2002,2002-10,arbitration (other than as pertains to labor-management or employer-employee relations (cf. union arbitration),2002-10-09,1,0,8,Matthew D. Roberts,0,loc,"https://www.oyez.org/cases/2002/01-800"
55038,537,522,2003,Clay v. United States,0,537 U.S. 522,2003-03-04,01-1500,2002,2002-10,habeas corpus,2003-01-13,1,9,0,Matthew D. Roberts,0,loc,"https://www.oyez.org/cases/2002/01-1500"
55045,539,1,2003,Beneficial National Bank v. Anderson,0,539 U.S. 1,2003-06-02,02-306,2002,2002-10,"judicial administration: jurisdiction or authority of federal district courts or territorial courts",2003-04-30,1,7,2,Matthew D. Roberts,0,loc,"https://www.oyez.org/cases/2002/02-306"
55201,541,1,2004,"Raymond B. Yates, M. D., P. C. Profit Sharing Plan v. Hendon",0,541 U.S. 1,2004-03-02,02-458,2003,2003-10,Employee Retirement Income Security Act (cf. union trust funds),2004-01-13,1,9,0,Matthew D. Roberts,0,loc,"https://www.oyez.org/cases/2003/02-458"
55191,541,386,2004,Dretke v. Haley,0,541 U.S. 386,2004-05-03,02-1824,2003,2003-10,habeas corpus,2004-03-02,1,6,3,Matthew D. Roberts,0,loc,"https://www.oyez.org/cases/2003/02-1824"
55415,549,147,2007,Burton v. Stewart,0,549 U.S. 147,2007-01-09,05-9222,2006,2006-10,habeas corpus,2006-11-07,1,0,9,Matthew D. Roberts,0,scotusBound,"https://www.oyez.org/cases/2006/05-9222"
55440,551,96,2007,Beck v. PACE International Union,0,551 U.S. 96,2007-06-11,05-1448,2006,2006-10,Employee Retirement Income Security Act (cf. union trust funds),2007-04-24,1,9,0,Matthew D. Roberts,0,scotusBound,"https://www.oyez.org/cases/2006/05-1448"
55522,553,507,2008,United States v. Santos,0,553 U.S. 507,2008-06-02,06-1005,2007,2007-10,"statutory construction of criminal laws: financial (other than in fraud or internal revenue)",2007-10-03,1,4,5,Matthew D. Roberts,0,scotusBound,"https://www.oyez.org/cases/2007/06-1005"
55462,552,248,2008,"LaRue v. DeWolff, Boberg & Associates, Inc.",0,552 U.S. 248,2008-02-20,06-856,2007,2007-10,"state or local government regulation, especially of business (cf. federal pre-emption of state court jurisdiction, federal pre-emption of state legislation or regulation)",2007-11-26,1,9,0,Matthew D. Roberts,0,scotusBound,"https://www.oyez.org/cases/2007/06-856"
55520,553,708,2008,Irizarry v. United States,0,553 U.S. 708,2008-06-12,06-7517,2007,2007-10,"statutory construction of criminal laws: sentencing guidelines",2008-04-15,1,4,5,Matthew D. Roberts,0,scotusBound,"https://www.oyez.org/cases/2007/06-7517"
55558,555,0,2009,Chambers v. United States,0,555 U.S. ___,2009-01-13,06-11206,2008,2008-10,"statutory construction of criminal laws: miscellaneous",2008-11-10,1,9,0,Matthew D. Roberts,0,scotusBound,"https://www.oyez.org/cases/2008/06-11206"
55613,556,0,2009,Rivera v. Illinois,0,556 U.S. ___,2009-03-31,07-9995,2008,2008-10,"extra-legal jury influences: voir dire (not necessarily a criminal case)",2009-02-23,1,0,9,Matthew D. Roberts,0,scotusBound,"https://www.oyez.org/cases/2008/07-9995"
55626,559,196,2010,Bloate v. United States,0,559 U.S. 196,2010-03-08,08-728,2009,2009-10,speedy trial,2009-10-06,1,7,2,Matthew D. Roberts,0,scotusBound,"https://www.oyez.org/cases/2009/08-728"
55685,559,506,2010,Conkright v. Frommert,0,559 U.S. 506,2010-04-21,08-810,2009,2009-10,Employee Retirement Income Security Act (cf. union trust funds),2010-01-20,1,5,3,Matthew D. Roberts,0,scotusBound,"https://www.oyez.org/cases/2009/08-810"
