oyezId,volume,page,year,caseTitle,oldCite,usCite,dateDecision,docket,term,termId,issue,datesArgued,daysArgument,votesPetitioner,votesRespondent,advocateName,advocateRole,pdfSource,urlOyez
"53474",486,825,1988,"Mackey v. Lanier Collection Agency & Service, Inc.","","486 U.S. 825","1988-06-17","86-1387","1987","1987-10","federal pre-emption of state legislation or regulation. cf. state regulation of business. rarely involves union activity. Does not involve constitutional interpretation unless the Court says it does.","1988-04-19",1,4,5,"Maureen E. Mahoney","","loc","https://www.oyez.org/cases/1987/86-1387"
"54011",502,314,1992,"Immigration and Naturalization Service v. Doherty","","502 U.S. 314","1992-01-15","90-925","1991","1991-10","statutory construction of criminal laws: Hobbs Act; i.e., 18 USC 1951","1991-10-16",1,5,3,"Maureen E. Mahoney","","loc","https://www.oyez.org/cases/1991/90-925"
"53998",502,478,1992,"Immigration and Naturalization Service v. Elias-Zacarias","","502 U.S. 478","1992-01-22","90-1342","1991","1991-10","deportation (cf. immigration and naturalization)","1991-11-04",1,6,3,"Maureen E. Mahoney","","loc","https://www.oyez.org/cases/1991/90-1342"
"54015",503,140,1992,"McCarthy v. Madigan","","503 U.S. 140","1992-03-04","90-6861","1991","1991-10","comity primarily removal cases, civil procedure (cf. comity, criminal and First Amendment); deference to foreign judicial tribunals","1991-12-09",1,9,0,"Maureen E. Mahoney","","loc","https://www.oyez.org/cases/1991/90-6861"
"54042",505,277,1992,"Wright v. West","","505 U.S. 277","1992-06-19","91-542","1991","1991-10","habeas corpus","1992-03-24",1,9,0,"Maureen E. Mahoney","","loc","https://www.oyez.org/cases/1991/91-542"
"54141",507,292,1993,"Reno v. Flores","","507 U.S. 292","1993-03-23","91-905","1992","1992-10","deportation (cf. immigration and naturalization)","1992-10-13",1,7,2,"Maureen E. Mahoney","","loc","https://www.oyez.org/cases/1992/91-905"
"54100",507,218,1993,"Building and Construction Trades Council of Metropolitan District v. Associated Builders and Contractors of Massachusetts/Rhode Island, Inc.","","507 U.S. 218","1993-03-08","91-261","1992","1992-10","federal pre-emption of state legislation or regulation. cf. state regulation of business. rarely involves union activity. Does not involve constitutional interpretation unless the Court says it does.","1992-12-09",1,9,0,"Maureen E. Mahoney","","loc","https://www.oyez.org/cases/1992/91-261"
"54132",507,658,1993,"CSX Transportation, Inc. v. Easterwood","","507 U.S. 658","1993-04-21","91-790","1992","1992-10","federal pre-emption of state court jurisdiction","1993-01-12",1,9,0,"Maureen E. Mahoney","","loc","https://www.oyez.org/cases/1992/91-790"
"54163",509,155,1993,"Sale v. Haitian Centers Council, Inc.","","509 U.S. 155","1993-06-21","92-344","1992","1992-10","deportation (cf. immigration and naturalization)","1993-03-02",1,8,1,"Maureen E. Mahoney","","loc","https://www.oyez.org/cases/1992/92-344"
"54183",511,571,1994,"National Labor Relations Board v. Health Care Corporation of America","","511 U.S. 571","1994-05-23","92-1964","1993","1993-10","labor-management disputes: miscellaneous dispute","1994-02-22",1,4,5,"Maureen E. Mahoney","","loc","https://www.oyez.org/cases/1993/92-1964"
"54742",525,316,1999,"Department of Commerce v. United States House of Representatives","","525 U.S. 316","1999-01-25","98-404","1998","1998-10","miscellaneous","1998-11-30",1,3,6,"Maureen E. Mahoney","","loc","https://www.oyez.org/cases/1998/98-404"
"55055",539,306,2003,"Grutter v. Bollinger","","539 U.S. 306","2003-06-23","02-241","2002","2002-10","affirmative action","2003-04-01",1,4,5,"Maureen E. Mahoney","","loc","https://www.oyez.org/cases/2002/02-241"
"55247",544,696,2005,"Arthur Andersen LLP v. United States","","544 U.S. 696","2005-05-31","04-368","2004","2004-10","extra-legal jury influences: jury instructions (not necessarily in criminal cases)","2005-04-27",1,9,0,"Maureen E. Mahoney","","scotusBound","https://www.oyez.org/cases/2004/04-368"
"55336",546,470,2006,"Domino's Pizza, Inc. v. McDonald","","546 U.S. 470","2006-02-22","04-593","2005","2005-10","liability, civil rights acts (cf. liability, governmental and liability, nongovernmental; cruel and unusual punishment, non-death penalty)","2005-12-06",1,8,0,"Maureen E. Mahoney","","scotusBound","https://www.oyez.org/cases/2005/04-593"
"55404",549,118,2007,"MedImmune, Inc. v. Genentech, Inc.","","549 U.S. 118","2007-01-09","05-608","2006","2006-10","standing to sue: legal injury","2006-10-04",1,8,1,"Maureen E. Mahoney","","scotusBound","https://www.oyez.org/cases/2006/05-608"
"55405",549,457,2007,"Rockwell International Corp. v. United States","","549 U.S. 457","2007-03-27","05-1272","2006","2006-10","liability, other than as in sufficiency of evidence, election of remedies, punitive damages","2006-12-05",1,6,2,"Maureen E. Mahoney","","scotusBound","https://www.oyez.org/cases/2006/05-1272"
"55426",551,47,2007,"Safeco Insurance Co. of America v. Burr","","551 U.S. 47","2007-06-04","06-84,06-100","2006","2006-10","federal or state consumer protection: typically under the Truth in Lending; Food, Drug and Cosmetic; and Consumer Protection Credit Acts","2007-01-16",1,9,0,"Maureen E. Mahoney","","scotusBound","https://www.oyez.org/cases/2006/06-84"
"55401",551,291,2007,"Tennessee Secondary School Athletic Association v. Brentwood Academy","","551 U.S. 291","2007-06-21","06-427","2006","2006-10","First Amendment, miscellaneous (cf. comity: First Amendment)","2007-04-18",1,9,0,"Maureen E. Mahoney","","scotusBound","https://www.oyez.org/cases/2006/06-427"
"55510",553,617,2008,"Quanta Computer, Inc., et al. v. LG Electronics, Inc.","","553 U.S. 617","2008-06-09","06-937","2007","2007-10","patents and copyrights: patentability of computer processes","2008-01-16",1,9,0,"Maureen E. Mahoney","","scotusBound","https://www.oyez.org/cases/2007/06-937"
"55598",556,0,2009,"Entergy Corp. v. Riverkeeper, Inc.","","556 U.S. ___","2009-04-01","07-588","2008","2008-10","federal and some few state regulation of public utilities regulation: electric power","2008-12-02",1,5,4,"Maureen E. Mahoney","","scotusBound","https://www.oyez.org/cases/2008/07-588"
"55590",556,599,2009,"Burlington N. & Santa Fe Ry. Co. v. United States","","556 U.S. 599","2009-05-04","07-1601","2008","2008-10","natural resources - environmental protection (cf. national supremacy: natural resources, national supremacy: pollution)","2009-02-24",1,8,1,"Maureen E. Mahoney","","scotusBound","https://www.oyez.org/cases/2008/07-1601"
