oyezId,volume,page,year,caseTitle,oldCite,usCite,dateDecision,docket,term,termId,issue,datesArgued,daysArgument,votesPetitioner,votesRespondent,advocateName,advocateRole,pdfSource,urlOyez
55741,562,277,2011,"CSX Transportation, Inc. v. Alabama Department of Revenue",0,562 U.S. 277,2011-02-22,09-520,2010,2010-10,state or local government tax,2010-11-10,1,7,2,Melissa A. Sherry,0,scotusBound,"https://www.oyez.org/cases/2010/09-520"
55726,563,401,2011,Schindler Elevator Corp. v. United States ex rel. Kirk,0,563 U.S. 401,2011-05-16,10-188,2010,2010-10,Freedom of Information Act and related federal or state statutes or regulations,2011-03-01,1,5,3,Melissa A. Sherry,0,scotusBound,"https://www.oyez.org/cases/2010/10-188"
55872,565,0,2012,Reynolds v. United States,0,565 U.S. ___,2012-01-23,10-6549,2011,2011-10,"statutory construction of criminal laws: miscellaneous",2011-10-03,1,7,2,Melissa A. Sherry,0,scotusBound,"https://www.oyez.org/cases/2011/10-6549"
55854,566,0,2012,Wood v. Milyard,0,566 U.S. ___,2012-04-24,10-9995,2011,2011-10,habeas corpus,2012-02-27,1,9,0,Melissa A. Sherry,0,scotusBound,"https://www.oyez.org/cases/2011/10-9995"
55907,568,455,2013,Amgen Inc. v. Connecticut Retirement Plans and Trust Funds,0,568 U.S. 455,2013-02-27,11-1085,2012,2012-10,federal or state regulation of securities,2012-11-05,1,3,6,Melissa A. Sherry,0,slipopinion/12,"https://www.oyez.org/cases/2012/11-1085"
55944,569,278,2013,Bowman v. Monsanto,0,569 U.S. 278,2013-05-13,11-796,2012,2012-10,"patents and copyrights: patent",2013-02-19,1,0,9,Melissa A. Sherry,0,slipopinion/12,"https://www.oyez.org/cases/2012/11-796"
55936,570,0,2013,University of Texas Southwestern Medical Center v. Nassar,0,570 U.S. ___,2013-06-24,12-484,2012,2012-10,"liability, civil rights acts (cf. liability, governmental and liability, nongovernmental; cruel and unusual punishment, non-death penalty)",2013-04-24,1,5,4,Melissa A. Sherry,0,slipopinion/12,"https://www.oyez.org/cases/2012/12-484"
55985,571,0,2014,Walden v. Fiore,0,571 U.S. ___,2014-02-25,12-574,2013,2013-10,"due process: jurisdiction (jurisdiction over non-resident litigants)",2013-11-04,1,9,0,Melissa A. Sherry,0,slipopinion/13,"https://www.oyez.org/cases/2013/12-574"
56019,572,0,2014,United States v. Castleman,0,572 U.S. ___,2014-03-26,12-1371,2013,2013-10,"statutory construction of criminal laws: assault",2014-01-15,1,9,0,Melissa A. Sherry,0,slipopinion/13,"https://www.oyez.org/cases/2013/12-1371"
62254,573,0,2014,"Pom Wonderful, LLC v. The Coca-Cola Company",0,573 U.S. ___,2014-06-12,12-761,2013,2013-10,"federal or state consumer protection: typically under the Truth in Lending; Food, Drug and Cosmetic; and Consumer Protection Credit Acts",2014-04-21,1,8,0,Melissa Arbus Sherry,0,slipopinion/13,"https://www.oyez.org/cases/2013/12-761"
63404,596,0,2022,"Boechler, P.C. v. Commissioner of Internal Revenue",0,596 U.S. ___,2022-04-21,20-1472,2021,2021-10,0,2022-01-12,1,0,0,Melissa Arbus Sherry,0,slipopinion/21,"https://www.oyez.org/cases/2021/20-1472"
