caseId,volume,page,year,caseTitle,oldCite,usCite,dateDecision,docket,term,termId,issue,dateArgument,daysArgument,votesPetitioner,votesRespondent,advocateName,advocateRole,pdfSource,urlOyez
"53588",490,435,1989,"United States v. Halper","","490 U.S. 435","1989-05-15","87-1383","1988","1988-10","double jeopardy","1989-01-17",1,0,9,"Michael R. Dreeben","","loc","https://www.oyez.org/cases/1988/87-1383"
"53569",491,244,1989,"Colonial American Life Ins. Company v. Commissioner of Internal Revenue","","491 U.S. 244","1989-06-15","88-396","1988","1988-10","federal taxation, typically under provisions of the Internal Revenue Code","1989-04-18",1,3,6,"Michael R. Dreeben","","loc","https://www.oyez.org/cases/1988/88-396"
"53710",496,543,1990,"Texaco, Inc. v. Hasbrouck","","496 U.S. 543","1990-06-14","87-2048","1989","1989-10","antitrust (except in the context of mergers and union antitrust)","1989-12-05",1,0,9,"Michael R. Dreeben","","loc","https://www.oyez.org/cases/1989/87-2048"
"53701",494,715,1990,"United States Department of Labor v. Triplett","","494 U.S. 715","1990-03-27","88-1671","1989","1989-10","attorneys' and governmental employees' or officials' fees or compensation or licenses","1990-01-16",1,9,0,"Michael R. Dreeben","","loc","https://www.oyez.org/cases/1989/88-1671"
"53681",497,177,1990,"Illinois v. Rodriguez","","497 U.S. 177","1990-06-21","88-2018","1989","1989-10","search and seizure (other than as pertains to vehicles or Crime Control Act)","1990-03-20",1,6,3,"Michael R. Dreeben","","loc","https://www.oyez.org/cases/1989/88-2018"
"53904",501,1083,1991,"Virginia Bankshares, Inc.  v. Sandberg","","501 U.S. 1083","1991-06-27","89-1448","1990","1990-10","federal or state regulation of securities","1990-10-09",1,5,4,"Michael R. Dreeben","","loc","https://www.oyez.org/cases/1990/89-1448"
"53823",498,479,1991,"McNary v. Haitian Refugee Center, Inc.","","498 U.S. 479","1991-02-20","89-1332","1990","1990-10","judicial review of administrative agency's or administrative official's actions and procedures","1990-10-29",1,2,7,"Michael R. Dreeben","","loc","https://www.oyez.org/cases/1990/89-1332"
"53843",500,90,1991,"Kamen v. Kemper Financial Services, Inc.","","500 U.S. 90","1991-05-20","90-516","1990","1990-10","federal or state regulation of securities","1991-03-27",1,9,0,"Michael R. Dreeben","","loc","https://www.oyez.org/cases/1990/90-516"
"53959",502,527,1992,"Lechmere, Inc. v. National Labor Relations Board","","502 U.S. 527","1992-01-27","90-970","1991","1991-10","labor-management disputes: distribution of union literature","1991-11-12",1,6,3,"Michael R. Dreeben","","loc","https://www.oyez.org/cases/1991/90-970"
"54012",505,42,1992,"Georgia v. McCollum","","505 U.S. 42","1992-06-18","91-372","1991","1991-10","desegregation (other than as pertains to school desegregation, employment discrimination, and affirmative action)","1992-02-26",1,7,2,"Michael R. Dreeben","","loc","https://www.oyez.org/cases/1991/91-372"
"54021",505,469,1992,"Estate of Cowart v. Nicklos Drilling Company","","505 U.S. 469","1992-06-22","91-17","1991","1991-10","liability, other than as in sufficiency of evidence, election of remedies, punitive damages","1992-03-25",1,3,6,"Michael R. Dreeben","","loc","https://www.oyez.org/cases/1991/91-17"
"54077",507,170,1993,"Reves v. Ernst & Young","","507 U.S. 170","1993-03-03","91-886","1992","1992-10","liability, other than as in sufficiency of evidence, election of remedies, punitive damages","1992-10-13",1,2,7,"Michael R. Dreeben","","loc","https://www.oyez.org/cases/1992/91-886"
"54124",507,258,1993,"Reiter v. Cooper","","507 U.S. 258","1993-03-08","91-1496","1992","1992-10","judicial review of administrative agency's or administrative official's actions and procedures","1992-12-01",1,8,1,"Michael R. Dreeben","","loc","https://www.oyez.org/cases/1992/91-1496"
"54154",508,10,1993,"Cisneros v. Alpine Ridge Group","","508 U.S. 10","1993-05-03","92-551","1992","1992-10","poverty law, statutory: welfare benefits, typically under some Social Security Act provision.","1993-03-30",1,9,0,"Michael R. Dreeben","","loc","https://www.oyez.org/cases/1992/92-551"
"54094",508,476,1993,"Wisconsin v. Mitchell","","508 U.S. 476","1993-06-11","92-515","1992","1992-10","First Amendment, miscellaneous (cf. comity: First Amendment)","1993-04-21",1,9,0,"Michael R. Dreeben","","loc","https://www.oyez.org/cases/1992/92-515"
"54280",511,127,1994,"J.E.B. v. Alabama ex rel T.B.","","511 U.S. 127","1994-04-19","92-1239","1993","1993-10","sex discrimination (excluding sex discrimination in employment)","1993-11-02",1,6,3,"Michael R. Dreeben","","loc","https://www.oyez.org/cases/1993/92-1239"
"54183",511,571,1994,"National Labor Relations Board v. Health Care Corporation of America","","511 U.S. 571","1994-05-23","92-1964","1993","1993-10","labor-management disputes: miscellaneous dispute","1994-02-22",1,4,5,"Michael R. Dreeben","","loc","https://www.oyez.org/cases/1993/92-1964"
"54262",511,658,1994,"Morgan Stanley & Co. v. Pacific Mut. Life Ins. Co.","","511 U.S. 658","1994-05-23","93-609","1993","1993-10","","1994-04-26",1,4,4,"Michael R. Dreeben","","loc","https://www.oyez.org/cases/1993/93-609"
"54300",513,561,1995,"Gustafson v. Alloyd Company, Inc.","","513 U.S. 561","1995-02-28","93-404","1994","1994-10","federal or state regulation of securities","1994-11-02",1,5,4,"Michael R. Dreeben","","loc","https://www.oyez.org/cases/1994/93-404"
"54288",514,211,1995,"Plaut v. Spendthrift Farm, Inc.","","514 U.S. 211","1995-04-18","93-1121","1994","1994-10","miscellaneous","1994-11-30",1,2,7,"Michael R. Dreeben","","loc","https://www.oyez.org/cases/1994/93-1121"
"54326",514,927,1995,"Wilson v. Arkansas","","514 U.S. 927","1995-05-22","94-5707","1994","1994-10","search and seizure (other than as pertains to vehicles or Crime Control Act)","1995-03-28",1,9,0,"Michael R. Dreeben","","loc","https://www.oyez.org/cases/1994/94-5707"
"54319",515,506,1995,"United States v. Gaudin","","515 U.S. 506","1995-06-19","94-514","1994","1994-10","extra-legal jury influences: miscellaneous","1995-04-17",1,0,9,"Michael R. Dreeben","","loc","https://www.oyez.org/cases/1994/94-514"
