oyezId,volume,page,year,caseTitle,oldCite,usCite,dateDecision,docket,term,termId,issue,datesArgued,daysArgument,votesPetitioner,votesRespondent,advocateName,advocateRole,pdfSource,urlOyez
61022,382,145,1965,"United Steelworkers of America v. R. H. Bouligny, Inc.",0,382 U.S. 145,1965-11-22,19,1965,1965-10,"judicial administration: miscellaneous",1965-10-21,1,0,9,Michael H. Gottesman,0,loc,"https://www.oyez.org/cases/1965/19"
61485,389,235,1967,Nash v. Florida Industrial Commission,0,389 U.S. 235,1967-12-05,48,1967,1967-10,"national supremacy: miscellaneous",1967-11-09,1,8,0,Michael H. Gottesman,0,loc,"https://www.oyez.org/cases/1967/48"
61405,391,216,1968,"Dyke v. Taylor Implement Manufacturing Company, Inc.",0,391 U.S. 216,1968-05-20,149,1967,1967-10,"jury trial (right to, as distinct from extra-legal jury influences)",1968-01-18,1,7,2,Michael H. Gottesman,0,loc,"https://www.oyez.org/cases/1967/149"
62118,403,333,1971,"Hodgson v. Local Union 6799, United Steelworkers of America, AFL-CIO",0,403 U.S. 333,1971-06-14,655,1970,1970-10,union-union member dispute (except as pertains to union or closed shop),1971-03-23,1,2,7,Michael H. Gottesman,0,loc,"https://www.oyez.org/cases/1970/655"
50790,408,593,1972,Perry v. Sindermann,0,408 U.S. 593,1972-06-29,70-36,1971,1971-10,"due process: hearing, government employees",1972-01-18,1,3,5,Michael H. Gottesman,0,loc,"https://www.oyez.org/cases/1971/70-36"
51291,421,560,1975,Dunlop v. Bachowski,0,421 U.S. 560,1975-06-02,74-466,1974,1974-10,judicial review of administrative agency's or administrative official's actions and procedures,1975-04-21,1,8,1,Michael H. Gottesman,0,loc,"https://www.oyez.org/cases/1974/74-466"
51375,424,747,1976,"Franks v. Bowman Transportation Company, Inc.",0,424 U.S. 747,1976-03-24,74-728,1975,1975-10,"employment discrimination: on basis of race, age, religion, illegitimacy, national origin, or working conditions.",1975-11-03,1,5,3,Michael H. Gottesman,0,loc,"https://www.oyez.org/cases/1975/74-728"
51703,429,274,1977,Mt. Healthy City Bd. of Ed. v. Doyle,0,429 U.S. 274,1977-01-11,75-1278,1976,1976-10,"First Amendment, miscellaneous (cf. comity: First Amendment)",1976-11-03,1,9,0,Michael H. Gottesman,0,loc,"https://www.oyez.org/cases/1976/75-1278"
51994,443,193,1979,"United Steelworkers of America, AFL-CIO-CLC v. Weber",0,443 U.S. 193,1979-06-27,78-432,1978,1978-10,affirmative action,1979-03-28,1,5,2,Michael H. Gottesman,0,loc,"https://www.oyez.org/cases/1978/78-432"
52488,456,273,1982,Pullman-Standard v. Swint,0,456 U.S. 273,1982-04-27,80-1190,1981,1981-10,"employment discrimination: on basis of race, age, religion, illegitimacy, national origin, or working conditions.",1982-01-19,1,7,2,Michael H. Gottesman,0,loc,"https://www.oyez.org/cases/1981/80-1190"
