oyezId,volume,page,year,caseTitle,oldCite,usCite,dateDecision,docket,term,termId,issue,datesArgued,daysArgument,votesPetitioner,votesRespondent,advocateName,advocateRole,pdfSource,urlOyez
54067,508,129,1993,Deal v. United States,0,508 U.S. 129,1993-05-17,91-8199,1992,1992-10,"statutory construction of criminal laws: miscellaneous",1993-03-01,1,3,6,Miguel A. Estrada,0,loc,"https://www.oyez.org/cases/1992/91-8199"
54131,509,602,1993,Austin v. United States,0,509 U.S. 602,1993-06-28,92-6073,1992,1992-10,"cruel and unusual punishment, non-death penalty (cf. liability, civil rights acts)",1993-04-20,1,9,0,Miguel A. Estrada,0,loc,"https://www.oyez.org/cases/1992/92-6073"
54187,510,249,1994,"National Organization for Women, Inc. v. Scheidler",0,510 U.S. 249,1994-01-24,92-780,1993,1993-10,"abortion: including contraceptives",1993-12-08,1,9,0,Miguel A. Estrada,0,loc,"https://www.oyez.org/cases/1993/92-780"
54197,511,79,1994,Powell v. Nevada,0,511 U.S. 79,1994-03-30,92-8841,1993,1993-10,retroactivity (of newly announced or newly enacted constitutional or statutory rights),1994-02-22,1,7,2,Miguel A. Estrada,0,loc,"https://www.oyez.org/cases/1993/92-8841"
54208,511,350,1994,United States v. Alvarez-Sanchez,0,511 U.S. 350,1994-05-02,92-1812,1993,1993-10,"subconstitutional fair procedure: timeliness",1994-03-01,1,9,0,Miguel A. Estrada,0,loc,"https://www.oyez.org/cases/1993/92-1812"
54308,513,196,1995,United States v. Mezzanatto,0,513 U.S. 196,1995-01-18,93-1340,1994,1994-10,Federal Rules of Criminal Procedure,1994-11-02,1,7,2,Miguel A. Estrada,0,loc,"https://www.oyez.org/cases/1994/93-1340"
54345,514,669,1995,United States v. Robertson,0,514 U.S. 669,1995-05-01,94-251,1994,1994-10,"statutory construction of criminal laws: narcotics includes regulation and prohibition of alcohol",1995-02-27,1,9,0,Miguel A. Estrada,0,loc,"https://www.oyez.org/cases/1994/94-251"
54287,515,50,1995,Reno v. Koray,0,515 U.S. 50,1995-06-05,94-790,1994,1994-10,"subconstitutional fair procedure: miscellaneous",1995-04-24,1,8,1,Miguel A. Estrada,0,loc,"https://www.oyez.org/cases/1994/94-790"
54451,516,16,1995,Citizens Bank of Maryland v. Strumpf,0,516 U.S. 16,1995-10-31,94-1340,1995,1995-10,bankruptcy (except in the context of priority of federal fiscal claims),1995-10-03,1,9,0,Miguel A. Estrada,0,loc,"https://www.oyez.org/cases/1995/94-1340"
54447,518,37,1996,Montana v. Egelhoff,0,518 U.S. 37,1996-06-13,95-566,1995,1995-10,"due process: miscellaneous (cf. loyalty oath), the residual code",1996-03-20,1,5,4,Miguel A. Estrada,0,loc,"https://www.oyez.org/cases/1995/95-566"
54454,517,820,1996,Degen v. United States,0,517 U.S. 820,1996-06-10,95-173,1995,1995-10,"subconstitutional fair procedure: fugitive from justice",1996-04-22,1,9,0,Miguel A. Estrada,0,loc,"https://www.oyez.org/cases/1995/95-173"
54565,519,172,1997,Old Chief v. United States,0,519 U.S. 172,1997-01-07,95-6556,1996,1996-10,"subconstitutional fair procedure: presentation, admissibility, or sufficiency of evidence (not necessarily a criminal case)",1996-10-16,1,5,4,Miguel A. Estrada,0,loc,"https://www.oyez.org/cases/1996/95-6556"
54512,520,1,1997,United States v. Gonzales,0,520 U.S. 1,1997-03-03,95-1605,1996,1996-10,"statutory construction of criminal laws: sentencing guidelines",1996-12-11,1,7,2,Miguel A. Estrada,0,loc,"https://www.oyez.org/cases/1996/95-1605"
54511,520,385,1997,Richards v. Wisconsin,0,520 U.S. 385,1997-04-28,96-5955,1996,1996-10,search and seizure (other than as pertains to vehicles or Crime Control Act),1997-03-24,1,0,9,Miguel A. Estrada,0,loc,"https://www.oyez.org/cases/1996/96-5955"
54690,527,263,1999,Strickler v. Greene,0,527 U.S. 263,1999-06-17,98-5864,1998,1998-10,habeas corpus,1999-03-03,1,2,7,Miguel A. Estrada,0,loc,"https://www.oyez.org/cases/1998/98-5864"
54971,536,355,2002,"Rush Prudential HMO, Inc. v. Moran",0,536 U.S. 355,2002-06-20,00-1021,2001,2001-10,federal pre-emption of state legislation or regulation. cf. state regulation of business. rarely involves union activity. Does not involve constitutional interpretation unless the Court says it does.,2002-01-16,1,4,5,Miguel A. Estrada,0,loc,"https://www.oyez.org/cases/2001/00-1021"
55157,542,200,2004,"Aetna Health, Inc. v. Davila",0,542 U.S. 200,2004-06-21,02-1845,2003,2003-10,federal pre-emption of state legislation or regulation. cf. state regulation of business. rarely involves union activity. Does not involve constitutional interpretation unless the Court says it does.,2004-03-23,1,9,0,Miguel A. Estrada,0,loc,"https://www.oyez.org/cases/2003/02-1845"
55254,540,460,2005,Granholm v. Heald,0,540 U.S. 460,2005-05-16,"03-1116,03-1120",2004,2004-10,"state or local government regulation, especially of business (cf. federal pre-emption of state court jurisdiction, federal pre-emption of state legislation or regulation)",2004-12-07,1,4,5,Miguel A. Estrada,0,scotusBound,"https://www.oyez.org/cases/2004/03-1116"
