oyezId,volume,page,year,caseTitle,oldCite,usCite,dateDecision,docket,term,termId,issue,datesArgued,daysArgument,votesPetitioner,votesRespondent,advocateName,advocateRole,pdfSource,urlOyez
60886,381,214,1965,Jaben v. United States,0,381 U.S. 214,1965-05-17,347,1964,1964-10,Federal Rules of Criminal Procedure,1965-03-09,1,3,6,Nathan Lewin,0,loc,"https://www.oyez.org/cases/1964/347"
61017,382,46,1965,Federal Trade Commission v. Mary Carter Paint Company,0,382 U.S. 46,1965-11-08,15,1965,1965-10,judicial review of administrative agency's or administrative official's actions and procedures,1965-10-21,1,7,1,Nathan Lewin,0,loc,"https://www.oyez.org/cases/1965/15"
61042,384,224,1966,United States v. Standard Oil Company,0,384 U.S. 224,1966-05-23,291,1965,1965-10,"natural resources - environmental protection (cf. national supremacy: natural resources, national supremacy: pollution)",1966-01-25,1,6,3,Nathan Lewin,0,loc,"https://www.oyez.org/cases/1965/291"
61119,384,373,1966,Cheff v. Schnackenberg,0,384 U.S. 373,1966-06-06,67,1965,1965-10,contempt of court or congress,1966-03-03,1,2,6,Nathan Lewin,0,loc,"https://www.oyez.org/cases/1965/67"
61086,384,855,1966,Dennis v. United States,0,384 U.S. 855,1966-06-20,502,1965,1965-10,"federal or state internal security legislation: Smith, Internal Security, and related federal statutes",1966-04-20,1,7,2,Nathan Lewin,0,loc,"https://www.oyez.org/cases/1965/502"
61235,385,323,1966,Osborn v. United States,0,385 U.S. 323,1966-12-12,29,1966,1966-10,search and seizure (other than as pertains to vehicles or Crime Control Act),"1966-10-12,1966-10-13",2,1,7,Nathan Lewin,0,loc,"https://www.oyez.org/cases/1966/29"
61241,385,293,1966,Hoffa v. United States,0,385 U.S. 293,1966-12-12,"32,33,34,35",1966,1966-10,search and seizure (other than as pertains to vehicles or Crime Control Act),1966-10-13,1,1,4,Nathan Lewin,0,loc,"https://www.oyez.org/cases/1966/32"
61315,385,491,1967,Travis v. United States,0,385 U.S. 491,1967-01-10,67,1966,1966-10,"federal or state internal security legislation: Smith, Internal Security, and related federal statutes","1966-11-15,1966-11-16",2,9,0,Nathan Lewin,0,loc,"https://www.oyez.org/cases/1966/67"
61207,385,475,1967,United States v. Laub,0,385 U.S. 475,1967-01-10,176,1966,1966-10,"federal or state internal security legislation: Smith, Internal Security, and related federal statutes",1966-11-16,1,0,9,Nathan Lewin,0,loc,"https://www.oyez.org/cases/1966/176"
61245,387,158,1967,"Toilet Goods Association, Inc. v. Gardner",0,387 U.S. 158,1967-05-22,336,1966,1966-10,judicial review of administrative agency's or administrative official's actions and procedures,1967-01-16,1,1,7,Nathan Lewin,0,loc,"https://www.oyez.org/cases/1966/336"
61257,387,136,1967,Abbott Laboratories v. Gardner,0,387 U.S. 136,1967-05-22,39,1966,1966-10,judicial review of administrative agency's or administrative official's actions and procedures,1967-01-16,1,5,3,Nathan Lewin,0,loc,"https://www.oyez.org/cases/1966/39"
61268,387,118,1967,Boutilier v. Immigration and Naturalization Service,0,387 U.S. 118,1967-05-22,440,1966,1966-10,deportation (cf. immigration and naturalization),1967-03-14,1,3,6,Nathan Lewin,0,loc,"https://www.oyez.org/cases/1966/440"
61987,401,216,1971,Byrne v. Karalexis,0,401 U.S. 216,1971-02-23,83,1969,1969-10,"comity: obscenity","1970-04-30,1970-11-17",2,5,3,Nathan Lewin,0,loc,"https://www.oyez.org/cases/1969/83"
50763,404,477,1972,Lego v. Twomey,0,404 U.S. 477,1972-01-12,70-5037,1971,1971-10,involuntary confession,1971-11-11,1,3,4,Nathan Lewin,0,loc,"https://www.oyez.org/cases/1971/70-5037"
51334,424,614,1976,Commissioner of Internal Revenue v. Shapiro,0,424 U.S. 614,1976-03-08,74-744,1975,1975-10,"due process: hearing or notice (other than as pertains to government employees or prisoners' rights)",1975-11-05,1,2,6,Nathan Lewin,0,loc,"https://www.oyez.org/cases/1975/74-744"
51673,430,144,1977,"United Jewish Organizations of Williamsburgh, Inc. v. Carey",0,430 U.S. 144,1977-03-01,75-104,1976,1976-10,"reapportionment: other than plans governed by the Voting Rights Act",1976-10-06,1,1,7,Nathan Lewin,0,loc,"https://www.oyez.org/cases/1976/75-104"
51523,432,63,1977,"Trans World Airlines, Inc. v. Hardison",0,432 U.S. 63,1977-06-16,75-1126,1976,1976-10,"employment discrimination: on basis of race, age, religion, illegitimacy, national origin, or working conditions.",1977-03-30,1,7,2,Nathan Lewin,0,loc,"https://www.oyez.org/cases/1976/75-1126"
51521,433,425,1977,Nixon v. Administrator of General Services,0,433 U.S. 425,1977-06-28,75-1605,1976,1976-10,"libel, privacy: true and false light invasions of privacy",1977-04-20,1,2,7,Nathan Lewin,0,loc,"https://www.oyez.org/cases/1976/75-1605"
