oyezId,volume,page,year,caseTitle,oldCite,usCite,dateDecision,docket,term,termId,issue,datesArgued,daysArgument,votesPetitioner,votesRespondent,advocateName,advocateRole,pdfSource,urlOyez
55307,548,557,2006,Hamdan v. Rumsfeld,0,548 U.S. 557,2006-06-29,05-184,2005,2005-10,habeas corpus,2006-03-28,1,5,3,Neal Kumar Katyal,0,scotusBound,"https://www.oyez.org/cases/2005/05-184"
55500,553,591,2008,Engquist v. Oregon Department of Agriculture,0,553 U.S. 591,2008-06-09,07-474,2007,2007-10,"employment discrimination: on basis of race, age, religion, illegitimacy, national origin, or working conditions.",2008-04-21,1,3,6,Neal Kumar Katyal,0,scotusBound,"https://www.oyez.org/cases/2007/07-474"
55619,557,0,2009,District Attorney's Office for the Third Judicial District v. Osborne,0,557 U.S. ___,2009-06-18,08-6,2008,2008-10,"discovery and inspection (in the context of criminal litigation only, otherwise Freedom of Information Act and related federal or state statutes or regulations)",2009-03-02,1,5,4,Neal Kumar Katyal,0,scotusBound,"https://www.oyez.org/cases/2008/08-6"
55566,557,0,2009,Northwest Austin Municipal Util. Dist. No. One v. Holder,0,557 U.S. ___,2009-06-22,08-322,2008,2008-10,"Voting Rights Act of 1965, plus amendments",2009-04-29,1,8,1,Neal Kumar Katyal,0,scotusBound,"https://www.oyez.org/cases/2008/08-322"
55666,559,460,2010,United States v. Stevens,0,559 U.S. 460,2010-04-20,08-769,2009,2009-10,"First Amendment, miscellaneous (cf. comity: First Amendment)",2009-10-06,1,1,8,Neal Kumar Katyal,0,scotusBound,"https://www.oyez.org/cases/2009/08-769"
55631,558,1103,2010,Pottawattamie County v. McGhee,0,558 U.S. 1103,2010-01-04,08-1065,2009,2009-10,"no merits: miscellaneous",2009-11-04,1,0,9,Neal Kumar Katyal,0,scotusBound,"https://www.oyez.org/cases/2009/08-1065"
55706,560,205,2010,Lewis v. Chicago,0,560 U.S. 205,2010-05-24,08-974,2009,2009-10,"employment discrimination: on basis of race, age, religion, illegitimacy, national origin, or working conditions.",2010-02-22,1,9,0,Neal Kumar Katyal,0,scotusBound,"https://www.oyez.org/cases/2009/08-974"
55640,560,674,2010,New Process Steel v. NLRB,0,560 U.S. 674,2010-06-17,08-1457,2009,2009-10,judicial review of administrative agency's or administrative official's actions and procedures,2010-03-23,1,5,4,Neal Kumar Katyal,0,scotusBound,"https://www.oyez.org/cases/2009/08-1457"
55708,560,746,2010,City of Ontario v. Quon,0,560 U.S. 746,2010-06-17,08-1332,2009,2009-10,search and seizure (other than as pertains to vehicles or Crime Control Act),2010-04-19,1,9,0,Neal Kumar Katyal,0,scotusBound,"https://www.oyez.org/cases/2009/08-1332"
55771,562,134,2011,National Aeronautics and Space Administration v. Nelson,0,562 U.S. 134,2011-01-19,09-530,2010,2010-10,Freedom of Information Act and related federal or state statutes or regulations,2010-10-05,1,8,0,Neal Kumar Katyal,0,scotusBound,"https://www.oyez.org/cases/2010/09-530"
55729,563,125,2011,Arizona Christian School Tuition Organization v. Winn,0,563 U.S. 125,2011-04-04,"09-987,09-991",2010,2010-10,"standing to sue: direct injury",2010-11-03,1,5,4,Neal Kumar Katyal,0,scotusBound,"https://www.oyez.org/cases/2010/09-987"
55739,563,582,2011,Chamber of Commerce of the United States v. Whiting,0,563 U.S. 582,2011-05-26,09-115,2010,2010-10,federal pre-emption of state legislation or regulation. cf. state regulation of business. rarely involves union activity. Does not involve constitutional interpretation unless the Court says it does.,2010-12-08,1,3,5,Neal Kumar Katyal,0,scotusBound,"https://www.oyez.org/cases/2010/09-115"
55751,563,478,2011,General Dynamics Corp. v. United States,0,563 U.S. 478,2011-05-23,09-1298,2010,2010-10,"privacy (cf. libel, comity: privacy)",2011-01-18,1,9,0,Neal Kumar Katyal,0,scotusBound,"https://www.oyez.org/cases/2010/09-1298"
55735,563,731,2011,Ashcroft v. Al-Kidd,0,563 U.S. 731,2011-05-31,10-98,2010,2010-10,"liability, governmental: tort or contract actions by or against government or governmental officials other than defense of criminal actions brought under a civil rights action.",2011-03-02,1,8,0,Neal Kumar Katyal,0,scotusBound,"https://www.oyez.org/cases/2010/10-98"
55787,564,0,2011,"American Electric Power Co., Inc. v. Connecticut",0,564 U.S. ___,2011-06-20,10-174,2010,2010-10,"natural resources - environmental protection (cf. national supremacy: natural resources, national supremacy: pollution)",2011-04-19,1,8,0,Neal Kumar Katyal,0,scotusBound,"https://www.oyez.org/cases/2010/10-174"
55953,569,88,2013,US Airways v. McCutchen,0,569 U.S. 88,2013-04-16,11-1285,2012,2012-10,Employee Retirement Income Security Act (cf. union trust funds),2012-11-27,1,4,5,Neal Kumar Katyal,0,slipopinion/12,"https://www.oyez.org/cases/2012/11-1285"
55950,569,66,2013,Genesis Healthcare v. Symczyk,0,569 U.S. 66,2013-04-16,11-1059,2012,2012-10,Fair Labor Standards Act,2012-12-03,1,5,4,Neal Kumar Katyal,0,slipopinion/12,"https://www.oyez.org/cases/2012/11-1059"
55989,571,0,2013,Kansas v. Cheever,0,571 U.S. ___,2013-12-11,12-609,2013,2013-10,self-incrimination (other than as pertains to Miranda or immunity from prosecution),2013-10-16,1,9,0,Neal Kumar Katyal,0,slipopinion/13,"https://www.oyez.org/cases/2013/12-609"
55975,572,0,2014,Michigan v. Bay Mills Indian Community,0,572 U.S. ___,2014-05-27,12-515,2013,2013-10,"Indians, state jurisdiction over",2013-12-02,1,4,5,Neal Kumar Katyal,0,slipopinion/13,"https://www.oyez.org/cases/2013/12-515"
62252,571,0,2014,Law v. Siegel,0,571 U.S. ___,2014-03-04,12-5196,2013,2013-10,bankruptcy (except in the context of priority of federal fiscal claims),2014-01-13,1,9,0,Neal Kumar Katyal,0,slipopinion/13,"https://www.oyez.org/cases/2013/12-5196"
56118,574,0,2015,Department of Homeland Security v. MacLean,0,574 U.S. ___,2015-01-21,13-894,2014,2014-10,"security risks: denial of benefits or dismissal of employees for reasons other than failure to meet loyalty oath requirements",2014-11-04,1,2,7,Neal Kumar Katyal,0,slipopinion/14,"https://www.oyez.org/cases/2014/13-894"
56083,575,0,2015,B&B Hardware Inc. v. Hargis Industries Inc.,0,575 U.S. ___,2015-03-24,13-352,2014,2014-10,"patents and copyrights: trademark",2014-12-02,1,7,2,Neal Kumar Katyal,0,slipopinion/14,"https://www.oyez.org/cases/2014/13-352"
56082,575,0,2015,"Oneok, Inc. et al. v. Learjet, Inc. et al.",0,575 U.S. ___,2015-04-21,13-271,2014,2014-10,federal pre-emption of state legislation or regulation. cf. state regulation of business. rarely involves union activity. Does not involve constitutional interpretation unless the Court says it does.,2015-01-12,1,2,7,Neal Kumar Katyal,0,slipopinion/14,"https://www.oyez.org/cases/2014/13-271"
56181,577,0,2016,Kansas v. Carr,0,577 U.S. ___,2016-01-20,"14-449,14-450,14-452",2015,2015-10,"cruel and unusual punishment, death penalty (cf. extra legal jury influence, death penalty)",2015-10-07,1,8,1,Neal Kumar Katyal,0,slipopinion/15,"https://www.oyez.org/cases/2015/14-449"
56180,577,0,2016,Montanile v. Board of Trustees of the National Elevator Industrial Health Benefit Plan,0,577 U.S. ___,2016-01-20,14-723,2015,2015-10,Employee Retirement Income Security Act (cf. union trust funds),2015-11-09,1,8,1,Neal Kumar Katyal,0,slipopinion/15,"https://www.oyez.org/cases/2015/14-723"
62306,579,0,2016,Dollar General Corporation v. Mississippi Band of Choctaw Indians,0,579 U.S. ___,2016-06-23,13-1496,2015,2015-10,Indians (other than pertains to state jurisdiction over),2015-12-07,1,4,4,Neal Kumar Katyal,0,slipopinion/15,"https://www.oyez.org/cases/2015/13-1496"
62653,579,0,2016,Dietz v. Bouldin,0,579 U.S. ___,2016-06-09,15-458,2015,2015-10,"judicial administration: jurisdiction or authority of federal district courts or territorial courts",2016-04-26,1,2,6,Neal Kumar Katyal,0,slipopinion/15,"https://www.oyez.org/cases/2015/15-458"
62734,580,0,2017,Fry v. Napoleon Community Schools,0,580 U.S. ___,2017-02-22,15-497,2016,2016-10,"handicapped, rights of: under Rehabilitation, Americans with Disabilities Act, and related statutes",2016-10-31,1,8,0,Neal Kumar Katyal,0,slipopinion/16,"https://www.oyez.org/cases/2016/15-497"
62737,581,0,2017,Bank of America Corp. v. City of Miami,0,581 U.S. ___,2017-05-01,"15-1111,15-1112",2016,2016-10,"standing to sue: statutory standing",2016-11-08,1,5,3,Neal Kumar Katyal,0,slipopinion/16,"https://www.oyez.org/cases/2016/15-1111"
62768,581,0,2017,Lewis v. Clarke,0,581 U.S. ___,2017-04-25,15-1500,2016,2016-10,"Indians, state jurisdiction over",2017-01-09,1,8,0,Neal Kumar Katyal,0,slipopinion/16,"https://www.oyez.org/cases/2016/15-1500"
62755,580,0,2017,Endrew F. v. Douglas County School District,0,580 U.S. ___,2017-03-22,15-827,2016,2016-10,"handicapped, rights of: under Rehabilitation, Americans with Disabilities Act, and related statutes",2017-01-11,1,8,0,Neal Kumar Katyal,0,slipopinion/16,"https://www.oyez.org/cases/2016/15-827"
62800,581,0,2017,"Town of Chester v. Laroe Estates, Inc.",0,581 U.S. ___,2017-06-05,16-605,2016,2016-10,"standing to sue: miscellaneous",2017-04-17,1,9,0,Neal Kumar Katyal,0,slipopinion/16,"https://www.oyez.org/cases/2016/16-605"
62811,582,0,2017,Bristol-Myers Squibb Co. v. Superior Court of California,0,582 U.S. ___,2017-06-19,16-466,2016,2016-10,"due process: jurisdiction (jurisdiction over non-resident litigants)",2017-04-25,1,8,1,Neal Kumar Katyal,0,slipopinion/16,"https://www.oyez.org/cases/2016/16-466"
62863,583,0,2018,"Cyan, Inc. v. Beaver County Employees' Retirement Fund",0,583 U.S. ___,2018-03-21,15-1439,2017,2017-10,federal or state regulation of securities,2017-11-28,1,0,9,Neal Kumar Katyal,0,slipopinion/17,"https://www.oyez.org/cases/2017/15-1439"
62893,584,0,2018,Hall v. Hall,0,584 U.S. ___,2018-03-27,16-1150,2017,2017-10,"Federal Rules of Civil Procedure including Supreme Court Rules, application of the Federal Rules of Evidence, Federal Rules of Appellate Procedure in civil litigation, Circuit Court Rules, and state rules and admiralty rules",2018-01-16,1,9,0,Neal Kumar Katyal,0,slipopinion/17,"https://www.oyez.org/cases/2017/16-1150"
62954,585,0,2018,Trump v. Hawaii,0,585 U.S. ___,2018-06-26,17-965,2017,2017-10,"immigration and naturalization: miscellaneous",2018-04-25,1,5,4,Neal Kumar Katyal,0,slipopinion/17,"https://www.oyez.org/cases/2017/17-965"
63050,0,0,0,The American Legion v. American Humanist Association,0,___ U.S. ___,0,"17-1717,18-18",2018,2018-10,0,2019-02-27,1,0,0,Neal Kumar Katyal,0,slipopinion/18,"https://www.oyez.org/cases/2018/17-1717"
63139,589,0,2020,McKinney v. Arizona,0,589 U.S. ___,2020-02-25,18-1109,2019,2019-10,0,2019-12-11,1,0,0,Neal Kumar Katyal,0,slipopinion/19,"https://www.oyez.org/cases/2019/18-1109"
63158,590,0,2020,"Romag Fasteners, Inc. v. Fossil, Inc.",0,590 U.S. ___,2020-04-23,18-1233,2019,2019-10,0,2020-01-14,1,0,0,Neal Kumar Katyal,0,slipopinion/19,"https://www.oyez.org/cases/2019/18-1233"
63224,593,0,2021,Fulton v. City of Philadelphia,0,593 U.S. ___,2021-06-17,19-123,2020,2020-10,0,2020-11-04,1,0,0,Neal Kumar Katyal,0,slipopinion/20,"https://www.oyez.org/cases/2020/19-123"
63259,593,0,2021,"Nestlé USA, Inc. v. Doe I",0,593 U.S. ___,2021-06-17,"19-416,19-453",2020,2020-10,0,2020-12-01,1,0,0,Neal Kumar Katyal,0,slipopinion/20,"https://www.oyez.org/cases/2020/19-416"
63274,593,0,2021,Garland v. Dai,0,593 U.S. ___,2021-06-01,"19-1155,19-1156",2020,2020-10,0,2021-02-23,1,0,0,Neal Kumar Katyal,0,slipopinion/20,"https://www.oyez.org/cases/2020/19-1155"
63343,595,0,2022,Babcock v. Kijakazi,0,595 U.S. ___,2022-01-13,20-480,2021,2021-10,0,2021-10-13,1,0,0,Neal Kumar Katyal,0,slipopinion/21,"https://www.oyez.org/cases/2021/20-480"
63461,0,0,0,Delaware v. Pennsylvania and Wisconsin,0,___ U.S. ___,2023-02-28,22O145,2022,2022-10,0,2022-10-03,1,0,0,Neal Kumar Katyal,0,slipopinion/22,"https://www.oyez.org/cases/2022/22o145"
63474,598,0,2023,Cruz v. Arizona,0,598 U.S. ___,2023-02-22,21-846,2022,2022-10,0,2022-11-01,1,0,0,Neal Kumar Katyal,0,slipopinion/22,"https://www.oyez.org/cases/2022/21-846"
63498,600,0,2023,Moore v. Harper,0,600 U.S. ___,2023-06-27,21-1271,2022,2022-10,0,2022-12-07,1,0,0,Neal Kumar Katyal,0,slipopinion/22,"https://www.oyez.org/cases/2022/21-1271"
63537,599,0,2023,Coinbase v. Bielski,0,599 U.S. ___,2023-06-23,22-105,2022,2022-10,0,2023-03-21,1,0,0,Neal Kumar Katyal,0,slipopinion/22,"https://www.oyez.org/cases/2022/22-105"
63549,598,0,2023,"Tyler v. Hennepin County, Minnesota",0,598 U.S. ___,2023-05-25,22-166,2022,2022-10,0,2023-04-26,1,0,0,Neal Kumar Katyal,0,slipopinion/22,"https://www.oyez.org/cases/2022/22-166"
