oyezId,volume,page,year,caseTitle,oldCite,usCite,dateDecision,docket,term,termId,issue,datesArgued,daysArgument,votesPetitioner,votesRespondent,advocateName,advocateRole,pdfSource,urlOyez
"55507",553,124,2008,"Burgess v. United States","","553 U.S. 124","2008-04-16","06-11429","2007","2007-10","statutory construction of criminal laws: narcotics includes regulation and prohibition of alcohol","2008-03-24",1,0,9,"Nicole A. Saharsky","","scotusBound","https://www.oyez.org/cases/2007/06-11429"
"55480",554,105,2008,"Metropolitan Life Ins. Co. v. Glenn","","554 U.S. 105","2008-06-19","06-923","2007","2007-10","Employee Retirement Income Security Act (cf. union trust funds)","2008-04-23",1,3,6,"Nicole A. Saharsky","","scotusBound","https://www.oyez.org/cases/2007/06-923"
"55581",555,0,2009,"United States v. Hayes","","555 U.S. ___","2009-02-24","07-608","2008","2008-10","statutory construction of criminal laws: firearms","2008-11-10",1,7,2,"Nicole A. Saharsky","","scotusBound","https://www.oyez.org/cases/2008/07-608"
"55556",556,0,2009,"Kansas v. Ventris","","556 U.S. ___","2009-04-29","07-1356","2008","2008-10","involuntary confession","2009-01-21",1,7,2,"Nicole A. Saharsky","","scotusBound","https://www.oyez.org/cases/2008/07-1356"
"55555",557,0,2009,"Horne v. Flores","","557 U.S. ___","2009-06-25","08-289","2008","2008-10","desegregation, schools","2009-04-20",1,5,4,"Nicole A. Saharsky","","scotusBound","https://www.oyez.org/cases/2008/08-289"
"55702",558,233,2010,"Kucana v. Holder","","558 U.S. 233","2010-01-20","08-911","2009","2009-10","deportation (cf. immigration and naturalization)","2009-11-10",1,9,0,"Nicole A. Saharsky","","scotusBound","https://www.oyez.org/cases/2009/08-911"
"55700",560,370,2010,"Berghuis v. Thompkins","","560 U.S. 370","2010-06-01","08-1470","2009","2009-10","Miranda warnings","2010-03-01",1,5,4,"Nicole A. Saharsky","","scotusBound","https://www.oyez.org/cases/2009/08-1470"
"55661",560,563,2010,"Carachuri-Rosendo v. Holder","","560 U.S. 563","2010-06-14","09-60","2009","2009-10","deportation (cf. immigration and naturalization)","2010-03-31",1,9,0,"Nicole A. Saharsky","","scotusBound","https://www.oyez.org/cases/2009/09-60"
"55761",562,61,2011,"Ransom v. FIA Card Services, N.A.","","562 U.S. 61","2011-01-11","09-907","2010","2010-10","bankruptcy (except in the context of priority of federal fiscal claims)","2010-10-04",1,1,8,"Nicole A. Saharsky","","scotusBound","https://www.oyez.org/cases/2010/09-907"
"55776",564,0,2011,"DePierre v. United States","","564 U.S. ___","2011-06-09","09-1533","2010","2010-10","statutory construction of criminal laws: narcotics includes regulation and prohibition of alcohol","2011-02-28",1,0,9,"Nicole A. Saharsky","","scotusBound","https://www.oyez.org/cases/2010/09-1533"
"55747",563,804,2011,"Erica P. John Fund, Inc. v. Halliburton Co.","","563 U.S. 804","2011-06-06","09-1403","2010","2010-10","Federal Rules of Civil Procedure including Supreme Court Rules, application of the Federal Rules of Evidence, Federal Rules of Appellate Procedure in civil litigation, Circuit Court Rules, and state rules and admiralty rules","2011-04-25",1,9,0,"Nicole A. Saharsky","","scotusBound","https://www.oyez.org/cases/2010/09-1403"
"55852",566,0,2012,"Florence v. Board of Chosen Freeholders of the County of Burlington","","566 U.S. ___","2012-04-02","10-945","2011","2011-10","search and seizure (other than as pertains to vehicles or Crime Control Act)","2011-10-12",1,4,5,"Nicole A. Saharsky","","scotusBound","https://www.oyez.org/cases/2011/10-945"
"55846",565,0,2012,"Perry v. New Hampshire","","565 U.S. ___","2012-01-11","10-8974","2011","2011-10","line-up","2011-11-02",1,1,8,"Nicole A. Saharsky","","scotusBound","https://www.oyez.org/cases/2011/10-8974"
"55867",566,0,2012,"Filarsky v. Delia","","566 U.S. ___","2012-04-17","10-1018","2011","2011-10","liability, civil rights acts (cf. liability, governmental and liability, nongovernmental; cruel and unusual punishment, non-death penalty)","2012-01-17",1,9,0,"Nicole A. Saharsky","","scotusBound","https://www.oyez.org/cases/2011/10-1018"
"55906",569,1,2013,"Florida v. Jardines","","569 U.S. 1","2013-03-26","11-564","2012","2012-10","search and seizure (other than as pertains to vehicles or Crime Control Act)","2012-10-31",1,4,5,"Nicole A. Saharsky","","slipopinion/12","https://www.oyez.org/cases/2012/11-564"
"55895",568,165,2013,"Chafin v. Chafin","","568 U.S. 165","2013-02-19","11-1347","2012","2012-10","juveniles (cf. rights of illegitimates)","2012-12-05",1,9,0,"Nicole A. Saharsky","","slipopinion/12","https://www.oyez.org/cases/2012/11-1347"
"55940",569,141,2013,"Missouri v. McNeely","","569 U.S. 141","2013-04-17","11-1425","2012","2012-10","search and seizure (other than as pertains to vehicles or Crime Control Act)","2013-01-09",1,4,5,"Nicole A. Saharsky","","slipopinion/12","https://www.oyez.org/cases/2012/11-1425"
"55989",571,0,2013,"Kansas v. Cheever","","571 U.S. ___","2013-12-11","12-609","2013","2013-10","self-incrimination (other than as pertains to Miranda or immunity from prosecution)","2013-10-16",1,9,0,"Nicole A. Saharsky","","slipopinion/13","https://www.oyez.org/cases/2013/12-609"
"56027",571,0,2014,"Lawson and Zang v. FMR, LLC","","571 U.S. ___","2014-03-04","12-3","2013","2013-10","Freedom of Information Act and related federal or state statutes or regulations","2013-11-12",1,6,3,"Nicole A. Saharsky","","slipopinion/13","https://www.oyez.org/cases/2013/12-3"
"55996",572,0,2014,"Petrella v. MGM, Inc.","","572 U.S. ___","2014-05-19","12-1315","2013","2013-10","patents and copyrights: copyright","2014-01-21",1,6,3,"Nicole A. Saharsky","","slipopinion/13","https://www.oyez.org/cases/2013/12-1315"
"56086",575,0,2015,"Omnicare, Inc. v. Laborers District Council Construction Industry Pension Fund","","575 U.S. ___","2015-03-24","13-435","2014","2014-10","federal or state regulation of securities","2014-11-03",1,9,0,"Nicole A. Saharsky","","slipopinion/14","https://www.oyez.org/cases/2014/13-435"
"56046",575,0,2015,"Mach Mining, LLC v. Equal Employment Opportunity Commission","","575 U.S. ___","2015-04-29","13-1019","2014","2014-10","judicial review of administrative agency's or administrative official's actions and procedures","2015-01-13",1,9,0,"Nicole A. Saharsky","","slipopinion/14","https://www.oyez.org/cases/2014/13-1019"
"56096",575,0,2015,"Tibble v. Edison International","","575 U.S. ___","2015-05-18","13-550","2014","2014-10","Employee Retirement Income Security Act (cf. union trust funds)","2015-02-24",1,9,0,"Nicole A. Saharsky","","slipopinion/14","https://www.oyez.org/cases/2014/13-550"
"62307",577,0,2016,"Bruce v. Samuels","","577 U.S. ___","2016-01-12","14-844","2015","2015-10","indigents: costs or filing fees","2015-11-04",1,0,9,"Nicole A. Saharsky","","slipopinion/15","https://www.oyez.org/cases/2015/14-844"
"62598",579,0,2016,"Puerto Rico v. Sanchez Valle","","579 U.S. ___","2016-06-09","15-108","2015","2015-10","double jeopardy","2016-01-13",1,2,6,"Nicole A. Saharsky","","slipopinion/15","https://www.oyez.org/cases/2015/15-108"
"62660",579,0,2016,"Mathis v. United States","","579 U.S. ___","2016-06-23","15-6092","2015","2015-10","statutory construction of criminal laws: firearms","2016-04-26",1,5,3,"Nicole A. Saharsky","","slipopinion/15","https://www.oyez.org/cases/2015/15-6092"
