oyezId,volume,page,year,caseTitle,oldCite,usCite,dateDecision,docket,term,termId,issue,datesArgued,daysArgument,votesPetitioner,votesRespondent,advocateName,advocateRole,pdfSource,urlOyez
56005,573,0,2014,National Labor Relations Board v. Noel Canning,0,573 U.S. ___,2014-06-26,12-1281,2013,2013-10,executive authority vis-a-vis congress or the states,2014-01-13,1,0,9,Noel J. Francisco,0,slipopinion/13,"https://www.oyez.org/cases/2013/12-1281"
62620,578,0,2016,Zubik v. Burwell,0,578 U.S. ___,2016-05-16,"14-1418,14-1453,14-1505,15-35,15-105,15-119,15-191",2015,2015-10,free exercise of religion,2016-03-23,1,8,0,Noel J. Francisco,0,slipopinion/15,"https://www.oyez.org/cases/2015/14-1418"
62658,579,0,2016,McDonnell v. United States,0,579 U.S. ___,2016-06-27,15-474,2015,2015-10,"statutory construction of criminal laws: fraud",2016-04-27,1,8,0,Noel J. Francisco,0,slipopinion/15,"https://www.oyez.org/cases/2015/15-474"
62866,584,0,2018,"Masterpiece Cakeshop, Ltd. v. Colorado Civil Rights Commission",0,584 U.S. ___,2018-06-04,16-111,2017,2017-10,sex discrimination (excluding sex discrimination in employment),2017-12-05,1,7,2,Noel J. Francisco,0,slipopinion/17,"https://www.oyez.org/cases/2017/16-111"
62848,584,0,2018,Husted v. A. Philip Randolph Institute,0,584 U.S. ___,2018-06-11,16-980,2017,2017-10,voting,2018-01-10,1,5,4,Noel J. Francisco,0,slipopinion/17,"https://www.oyez.org/cases/2017/16-980"
62896,585,0,2018,"Janus v. American Federation of State, County, and Municipal Employees, Council 31",0,585 U.S. ___,2018-06-27,16-1466,2017,2017-10,"union or closed shop: includes agency shop litigation",2018-02-26,1,5,4,Noel J. Francisco,0,slipopinion/17,"https://www.oyez.org/cases/2017/16-1466"
62954,585,0,2018,Trump v. Hawaii,0,585 U.S. ___,2018-06-26,17-965,2017,2017-10,"immigration and naturalization: miscellaneous",2018-04-25,1,5,4,Noel J. Francisco,0,slipopinion/17,"https://www.oyez.org/cases/2017/17-965"
62963,0,0,0,"Knick v. Township of Scott, Pennsylvania",0,___ U.S. ___,0,17-647,2018,2018-10,0,"2018-10-03,2019-01-16",2,0,0,Noel J. Francisco,0,slipopinion/18,"https://www.oyez.org/cases/2018/17-647"
62998,0,0,0,"Virginia Uranium, Inc. v. Warren",0,___ U.S. ___,0,16-1275,2018,2018-10,0,2018-11-05,1,0,0,Noel J. Francisco,0,slipopinion/18,"https://www.oyez.org/cases/2018/16-1275"
63000,0,0,0,Apple v. Pepper,0,___ U.S. ___,0,17-204,2018,2018-10,0,2018-11-26,1,0,0,Noel J. Francisco,0,slipopinion/18,"https://www.oyez.org/cases/2018/17-204"
63122,590,0,2020,Bostock v. Clayton County,0,590 U.S. ___,2020-06-15,17-1618,2019,2019-10,0,2019-10-08,1,0,0,Noel J. Francisco,0,slipopinion/19,"https://www.oyez.org/cases/2019/17-1618"
63125,0,0,0,R.G. & G.R. Harris Funeral Homes Inc. v. Equal Employment Opportunity Commission,0,___ U.S. ___,2020-06-15,18-107,2019,2019-10,0,2019-10-08,1,0,0,Noel J. Francisco,0,slipopinion/19,"https://www.oyez.org/cases/2019/18-107"
63162,591,0,2020,Department of Homeland Security v. Regents of the University of California,0,591 U.S. ___,2020-06-18,"18-587,18-588,18-589",2019,2019-10,0,2019-11-12,1,0,0,Noel J. Francisco,0,slipopinion/19,"https://www.oyez.org/cases/2019/18-587"
63153,589,0,2020,Babb v. Wilkie,0,589 U.S. ___,2020-04-06,18-882,2019,2019-10,0,2020-01-15,1,0,0,Noel J. Francisco,0,slipopinion/19,"https://www.oyez.org/cases/2019/18-882"
63174,591,0,2020,Seila Law LLC v. Consumer Financial Protection Bureau,0,591 U.S. ___,2020-06-29,19-7,2019,2019-10,0,2020-03-03,1,0,0,Noel J. Francisco,0,slipopinion/19,"https://www.oyez.org/cases/2019/19-7"
63220,591,0,2020,Little Sisters of the Poor Saints Peter and Paul Home v. Pennsylvania,0,591 U.S. ___,2020-07-08,"19-431,19-454",2019,2019-10,0,2020-05-06,1,0,0,Noel J. Francisco,0,slipopinion/19,"https://www.oyez.org/cases/2019/19-431"
63207,591,0,2020,Trump v. Vance,0,591 U.S. ___,2020-07-09,19-635,2019,2019-10,0,2020-05-12,1,0,0,Noel J. Francisco,0,slipopinion/19,"https://www.oyez.org/cases/2019/19-635"
63508,598,0,2023,"Glacier Northwest, Inc. v. International Brotherhood of Teamsters",0,598 U.S. ___,2023-06-01,21-1449,2022,2022-10,0,2023-01-10,1,0,0,Noel J. Francisco,0,slipopinion/22,"https://www.oyez.org/cases/2022/21-1449"
63560,0,0,0,Consumer Financial Protection Bureau v. Community Financial Services Association of America,0,___ U.S. ___,0,22-448,2023,2023-10,0,2023-10-03,1,0,0,Noel J. Francisco,0,slipopinion/23,"https://www.oyez.org/cases/2023/22-448"
