oyezId,volume,page,year,caseTitle,oldCite,usCite,dateDecision,docket,term,termId,issue,datesArgued,daysArgument,votesPetitioner,votesRespondent,advocateName,advocateRole,pdfSource,urlOyez
59181,350,920,1955,Gonzales v. Landon,0,350 U.S. 920,1955-12-12,111,1955,1955-10,"immigration and naturalization: loss of citizenship, denaturalization","1955-12-07,1955-12-08",2,9,0,Oscar H. Davis,0,loc,"https://www.oyez.org/cases/1955/111"
59215,350,299,1956,United States v. Ryan,0,350 U.S. 299,1956-02-27,281,1955,1955-10,"labor-management disputes: union representatives",1956-01-19,1,8,0,Oscar H. Davis,0,loc,"https://www.oyez.org/cases/1955/281"
59258,350,415,1956,United States v. Green,0,350 U.S. 415,1956-03-26,54,1955,1955-10,"statutory construction of criminal laws: Hobbs Act; i.e., 18 USC 1951",1956-02-27,1,6,3,Oscar H. Davis,0,loc,"https://www.oyez.org/cases/1955/54"
59423,352,180,1956,Brownell v. Tom We Shung,0,352 U.S. 180,1956-12-17,43,1956,1956-10,deportation (cf. immigration and naturalization),1956-11-13,1,0,9,Oscar H. Davis,0,loc,"https://www.oyez.org/cases/1956/43"
59438,355,115,1957,Rowoldt v. Perfetto,0,355 U.S. 115,1957-12-09,5,1957,1957-10,"federal or state internal security legislation: Smith, Internal Security, and related federal statutes","1956-11-13,1956-11-14,1957-10-14",3,5,4,Oscar H. Davis,0,loc,"https://www.oyez.org/cases/1957/5"
59466,352,599,1957,Ceballos v. Shaughnessy,0,352 U.S. 599,1957-03-11,71,1956,1956-10,deportation (cf. immigration and naturalization),"1957-01-16,1957-01-17",2,0,8,Oscar H. Davis,0,loc,"https://www.oyez.org/cases/1956/71"
59365,356,129,1958,Nishikawa v. Dulles,0,356 U.S. 129,1958-03-31,19,1957,1957-10,"immigration and naturalization: loss of citizenship, denaturalization","1957-05-01,1957-05-02,1957-10-28",3,7,2,Oscar H. Davis,0,loc,"https://www.oyez.org/cases/1957/19"
59426,356,44,1958,Perez v. Brownell,0,356 U.S. 44,1958-03-31,44,1957,1957-10,"immigration and naturalization: loss of citizenship, denaturalization","1957-05-01,1957-10-28",2,4,5,Oscar H. Davis,0,loc,"https://www.oyez.org/cases/1957/44"
59464,356,86,1958,Trop v. Dulles,0,356 U.S. 86,1958-03-31,70,1956,1956-10,"immigration and naturalization: loss of citizenship, denaturalization","1957-05-02,1957-10-28,1957-10-29",3,5,4,Oscar H. Davis,0,loc,"https://www.oyez.org/cases/1956/70"
59594,357,320,1958,City of Tacoma v. Taxpayers of Tacoma,0,357 U.S. 320,1958-06-23,509,1957,1957-10,"national supremacy: public utilities (cf. federal public utilities regulation)",1958-04-30,1,9,0,Oscar H. Davis,0,loc,"https://www.oyez.org/cases/1957/509"
59747,358,498,1959,Cammarano v. United States,0,358 U.S. 498,1959-02-24,"29,50",1958,1958-10,"federal taxation of gifts, personal, business, or professional expenses",1958-11-19,1,0,9,Oscar H. Davis,0,loc,"https://www.oyez.org/cases/1958/29"
59792,360,470,1959,Lev v. United States,0,360 U.S. 470,1959-06-22,435,1958,1958-10,"discovery and inspection (in the context of criminal litigation only, otherwise Freedom of Information Act and related federal or state statutes or regulations)","1959-04-27,1959-04-28",2,4,4,Oscar H. Davis,0,loc,"https://www.oyez.org/cases/1958/435"
59898,361,281,1960,McElroy v. United States ex rel. Guagliardo,0,361 U.S. 281,1960-01-18,"21,37",1959,1959-10,"military: active duty","1959-10-21,1959-10-22",2,4,5,Oscar H. Davis,0,loc,"https://www.oyez.org/cases/1959/21"
59990,361,278,1960,Grisham v. Hagan,0,361 U.S. 278,1960-01-18,58,1959,1959-10,"military: active duty",1959-10-22,1,7,2,Oscar H. Davis,0,loc,"https://www.oyez.org/cases/1959/58"
59912,362,384,1960,Mackey v. Mendoza-Martinez,0,362 U.S. 384,1960-04-18,29,1959,1959-10,"immigration and naturalization: citizenship",1959-11-10,1,3,6,Oscar H. Davis,0,loc,"https://www.oyez.org/cases/1959/29"
59874,362,390,1960,Niukkanen v. McAlexander,0,362 U.S. 390,1960-04-18,130,1959,1959-10,deportation (cf. immigration and naturalization),1960-03-21,1,4,5,Oscar H. Davis,0,loc,"https://www.oyez.org/cases/1959/130"
59909,362,600,1960,Needelman v. United States,0,362 U.S. 600,1960-05-16,278,1959,1959-10,"no merits: writ improvidently granted","1960-04-25,1960-04-26",2,3,6,Oscar H. Davis,0,loc,"https://www.oyez.org/cases/1959/278"
60095,364,507,1960,Reina v. United States,0,364 U.S. 507,1960-12-09,29,1960,1960-10,"self-incrimination, immunity from prosecution","1960-11-07,1960-11-08",2,2,7,Oscar H. Davis,0,loc,"https://www.oyez.org/cases/1960/29"
60086,365,753,1961,"Bulova Watch Company, Inc. v. United States",0,365 U.S. 753,1961-04-17,241,1960,1960-10,"federal taxation, typically under provisions of the Internal Revenue Code",1961-03-27,1,1,8,Oscar H. Davis,0,loc,"https://www.oyez.org/cases/1960/241"
60167,366,712,1961,Lurk v. United States,0,366 U.S. 712,1961-05-29,669,1960,1960-10,"subconstitutional fair procedure: confession of error","1961-05-04,1961-05-05",2,6,3,Oscar H. Davis,0,loc,"https://www.oyez.org/cases/1960/669"
60260,372,144,1963,Kennedy v. Mendoza-Martinez,0,372 U.S. 144,1963-02-18,"2,3,19,20",1961,1961-10,"immigration and naturalization: loss of citizenship, denaturalization","1961-10-10,1961-10-11,1962-12-04,1962-12-05",4,4,5,Oscar H. Davis,0,loc,"https://www.oyez.org/cases/1961/2"
62708,369,45,1962,Metlakatla Indians v. Egan,0,369 U.S. 45,1962-03-05,2,1961,1961-10,"Indians, state jurisdiction over","1961-12-13,1961-12-14",2,9,0,Oscar H. Davis,0,loc,"https://www.oyez.org/cases/1961/2_0"
60261,369,60,1962,Organized Village of Kake v. Egan,0,369 U.S. 60,1962-03-05,"3,2",1961,1961-10,"natural resources - environmental protection (cf. national supremacy: natural resources, national supremacy: pollution)","1961-12-13,1961-12-14",2,1,8,Oscar H. Davis,0,loc,"https://www.oyez.org/cases/1961/3"
