oyezId,volume,page,year,caseTitle,oldCite,usCite,dateDecision,docket,term,termId,issue,datesArgued,daysArgument,votesPetitioner,votesRespondent,advocateName,advocateRole,pdfSource,urlOyez
60893,380,343,1965,Sansone v. United States,0,380 U.S. 343,1965-03-29,365,1964,1964-10,"extra-legal jury influences: jury instructions (not necessarily in criminal cases)",1965-03-10,1,2,7,Paul Bender,0,loc,"https://www.oyez.org/cases/1964/365"
60865,381,252,1965,Waterman Steamship Corporation v. United States,0,381 U.S. 252,1965-05-17,245,1964,1964-10,"federal taxation, typically under provisions of the Internal Revenue Code","1965-04-26,1965-04-27",2,0,9,Paul Bender,0,loc,"https://www.oyez.org/cases/1964/245"
61004,382,237,1965,Western Pacific Railroad Company v. United States,0,382 U.S. 237,1965-12-07,12,1965,1965-10,"federal or state regulation of transportation regulation: railroad",1965-10-19,1,8,1,Paul Bender,0,loc,"https://www.oyez.org/cases/1965/12"
61097,383,519,1966,Brenner v. Manson,0,383 U.S. 519,1966-03-21,58,1965,1965-10,"patents and copyrights: patent",1965-11-17,1,7,2,Paul Bender,0,loc,"https://www.oyez.org/cases/1965/58"
61066,383,463,1966,Ginzburg v. United States,0,383 U.S. 463,1966-03-21,42,1965,1965-10,"obscenity, federal",1965-12-07,1,4,5,Paul Bender,0,loc,"https://www.oyez.org/cases/1965/42"
61124,384,59,1966,Collier v. United States,0,384 U.S. 59,1966-04-19,695,1965,1965-10,Federal Rules of Criminal Procedure,1966-03-24,1,9,0,Paul Bender,0,loc,"https://www.oyez.org/cases/1965/695"
61129,384,238,1966,"Brotherhood of Railway & Steamship Clerks, Freight Handlers, Express & Station Employees, AFL-CIO v. Florida East Coast Railway Company",0,384 U.S. 238,1966-05-23,750,1965,1965-10,"labor-management disputes: miscellaneous dispute",1966-04-20,1,1,7,Paul Bender,0,loc,"https://www.oyez.org/cases/1965/750"
54250,510,471,1994,Federal Deposit Insurance Corporation v. Meyer,0,510 U.S. 471,1994-02-23,92-741,1993,1993-10,"liability, governmental: tort or contract actions by or against government or governmental officials other than defense of criminal actions brought under a civil rights action.",1993-10-04,1,9,0,Paul Bender,0,loc,"https://www.oyez.org/cases/1993/92-741"
62281,512,821,1994,"International Union, United Mine Workers of America v. Bagwell",0,512 U.S. 821,1994-06-30,92-1625,1993,1993-10,contempt of court or congress,1993-11-29,1,9,0,Paul Bender,0,loc,"https://www.oyez.org/cases/1993/92-1625"
54231,511,825,1994,Farmer v. Brennan,0,511 U.S. 825,1994-06-06,92-7247,1993,1993-10,"cruel and unusual punishment, non-death penalty (cf. liability, civil rights acts)",1994-01-12,1,9,0,Paul Bender,0,loc,"https://www.oyez.org/cases/1993/92-7247"
