caseId,volume,page,year,caseTitle,oldCite,usCite,dateDecision,docket,term,termId,issue,dateArgument,daysArgument,votesPetitioner,votesRespondent,advocateName,advocateRole,pdfSource,urlOyez
"63029",0,0,0,"Rimini Street, Inc. v. Oracle USA, Inc.","","___ U.S. ___","","17-1625","2018","2018-10","","2019-01-14",1,0,0,"Paul D. Clement","","slipopinion/18","https://www.oyez.org/cases/2018/17-1625"
"62892",584,0,2018,"Encino Motorcars, LLC v. Navarro","","584 U.S. ___","2018-04-02","16-1362","2017","2017-10","","2018-01-17",1,0,0,"Paul D. Clement","","slipopinion/17","https://www.oyez.org/cases/2017/16-1362"
"62803",584,0,2018,"Epic Systems Corp. v. Lewis","","584 U.S. ___","2018-05-21","16-285","2017","2017-10","","2017-10-02",1,0,0,"Paul D. Clement","","slipopinion/17","https://www.oyez.org/cases/2017/16-285"
"62830",584,0,2018,"Jesner v. Arab Bank, PLC","","584 U.S. ___","2018-04-24","16-499","2017","2017-10","","2017-10-11",1,0,0,"Paul D. Clement","","slipopinion/17","https://www.oyez.org/cases/2017/16-499"
"62843",583,0,2018,"Merit Management Group v. FTI Consulting, Inc.","","583 U.S. ___","2018-02-27","16-784","2017","2017-10","","2017-11-06",1,0,0,"Paul D. Clement","","slipopinion/17","https://www.oyez.org/cases/2017/16-784"
"62869",584,0,2018,"Murphy v. National Collegiate Athletic Association","","584 U.S. ___","2018-05-14","16-476","2017","2017-10","","2017-12-04",1,0,0,"Paul D. Clement","","slipopinion/17","https://www.oyez.org/cases/2017/16-476"
"62942",585,0,2018,"WesternGeco LLC v. ION Geophysical Corp.","","585 U.S. ___","2018-06-22","16-1011","2017","2017-10","","2018-04-16",1,0,0,"Paul D. Clement","","slipopinion/17","https://www.oyez.org/cases/2017/16-1011"
"62715",580,0,2017,"Bethune-Hill v. Virginia Board of Elections","","580 U.S. ___","2017-03-01","15-680","2016","2016-10","","2016-12-05",1,0,0,"Paul D. Clement","","slipopinion/16","https://www.oyez.org/cases/2016/15-680"
"62810",582,0,2017,"California Public Employees’ Retirement System v. ANZ Securities, Inc.","","582 U.S. ___","2017-06-26","16-373","2016","2016-10","","2017-04-17",1,0,0,"Paul D. Clement","","slipopinion/16","https://www.oyez.org/cases/2016/16-373"
"62723",581,0,2017,"Cooper v. Harris","","581 U.S. ___","2017-05-22","15-1262","2016","2016-10","","2016-12-05",1,0,0,"Paul D. Clement","","slipopinion/16","https://www.oyez.org/cases/2016/15-1262"
"62656",579,0,2016,"Encino Motorcars v. Navarro","","579 U.S. ___","2016-06-20","15-415","2015","2015-10","","2016-04-20",1,0,0,"Paul D. Clement","","slipopinion/15","https://www.oyez.org/cases/2015/15-415"
"62308",577,0,2016,"Federal Energy Regulatory Commission v. Electric Power Supply Association, et al.","","577 U.S. ___","2016-01-25","14-840","2015","2015-10","","2015-10-14",1,0,0,"Paul D. Clement","","slipopinion/15","https://www.oyez.org/cases/2015/14-840"
"62604",578,0,2016,"Franchise Tax Board of California v. Hyatt","","578 U.S. ___","2016-04-19","14-1175","2015","2015-10","","2015-12-07",1,0,0,"Paul D. Clement","","slipopinion/15","https://www.oyez.org/cases/2015/14-1175"
"62599",578,0,2016,"Hughes v. Talen Energy Marketing, LLC","","578 U.S. ___","2016-04-19","14-614","2015","2015-10","","2016-02-24",1,0,0,"Paul D. Clement","","slipopinion/15","https://www.oyez.org/cases/2015/14-614"
"62587",577,0,2016,"Nebraska v. Parker","","577 U.S. ___","2016-03-22","14-1406","2015","2015-10","","2016-01-20",1,0,0,"Paul D. Clement","","slipopinion/15","https://www.oyez.org/cases/2015/14-1406"
"62620",578,0,2016,"Zubik v. Burwell","","578 U.S. ___","2016-05-16","14-1418","2015","2015-10","","2016-03-23",1,0,0,"Paul D. Clement","","slipopinion/15","https://www.oyez.org/cases/2015/14-1418"
"56062",576,0,2015,"Arizona State Legislature v. Arizona Independent Redistricting Commission","","576 U.S. ___","2015-06-29","13-1314","2014","2014-10","","2015-03-02",1,0,0,"Paul D. Clement","","slipopinion/14","https://www.oyez.org/cases/2014/13-1314"
"56085",574,0,2014,"Integrity Staffing Solutions, Inc. v. Busk","","574 U.S. ___","2014-12-09","13-433","2014","2014-10","","2014-10-08",1,0,0,"Paul D. Clement","","slipopinion/14","https://www.oyez.org/cases/2014/13-433"
"56150",576,0,2015,"Kingsley v. Hendrickson","","576 U.S. ___","2015-06-22","14-6368","2014","2014-10","","2015-04-27",1,0,0,"Paul D. Clement","","slipopinion/14","https://www.oyez.org/cases/2014/14-6368"
"56038",572,0,2014,"Bond v. United States","","572 U.S. ___","2014-06-02","12-158","2013","2013-10","","2013-11-05",1,0,0,"Paul D. Clement","","slipopinion/13","https://www.oyez.org/cases/2013/12-158"
"56004",571,0,2014,"Chadbourne and Parke LLP v. Troice","","571 U.S. ___","2014-02-26","12-79","2013","2013-10","","2013-10-07",1,0,0,"Paul D. Clement","","slipopinion/13","https://www.oyez.org/cases/2013/12-79"
"56034",572,0,2014,"Northwest, Inc. v. Ginsberg","","572 U.S. ___","2014-04-02","12-462","2013","2013-10","","2013-12-03",1,0,0,"Paul D. Clement","","slipopinion/13","https://www.oyez.org/cases/2013/12-462"
"55966",570,0,2013,"Adoptive Couple v. Baby Girl","","570 U.S. ___","2013-06-25","12-399","2012","2012-10","","2013-04-16",1,0,0,"Paul D. Clement","","slipopinion/12","https://www.oyez.org/cases/2012/12-399"
