oyezId,volume,page,year,caseTitle,oldCite,usCite,dateDecision,docket,term,termId,issue,datesArgued,daysArgument,votesPetitioner,votesRespondent,advocateName,advocateRole,pdfSource,urlOyez
53075,471,707,1985,"Hillsborough County, Florida v. Automated Medical Laboratories, Inc.",0,471 U.S. 707,1985-06-03,83-1925,1984,1984-10,federal pre-emption of state legislation or regulation. cf. state regulation of business. rarely involves union activity. Does not involve constitutional interpretation unless the Court says it does.,1985-04-16,1,9,0,"Paul J. Larkin, Jr.",0,loc,"https://www.oyez.org/cases/1984/83-1925"
53150,475,673,1986,Delaware v. Van Arsdall,0,475 U.S. 673,1986-04-07,84-1279,1985,1985-10,"confrontation (right to confront accuser, call and cross-examine witnesses)",1986-01-22,1,7,2,"Paul J. Larkin, Jr.",0,loc,"https://www.oyez.org/cases/1985/84-1279"
53164,478,570,1986,Rose v. Clark,0,478 U.S. 570,1986-07-02,84-1974,1985,1985-10,"extra-legal jury influences: jury instructions (not necessarily in criminal cases)",1986-03-24,1,6,3,"Paul J. Larkin, Jr.",0,loc,"https://www.oyez.org/cases/1985/84-1974"
53177,476,974,1986,Young v. Community Nutrition Institute,0,476 U.S. 974,1986-06-16,85-664,1985,1985-10,judicial review of administrative agency's or administrative official's actions and procedures,1986-04-30,1,8,1,"Paul J. Larkin, Jr.",0,loc,"https://www.oyez.org/cases/1985/85-664"
53303,480,340,1987,Illinois v. Krull,0,480 U.S. 340,1987-03-09,85-608,1986,1986-10,search and seizure (other than as pertains to vehicles or Crime Control Act),1986-11-05,1,5,4,"Paul J. Larkin, Jr.",0,loc,"https://www.oyez.org/cases/1986/85-608"
53387,480,370,1987,Stringfellow v. Concerned Neighbors in Action,0,480 U.S. 370,1987-03-09,85-184,1986,1986-10,"judicial administration: review of non-final order",1987-01-20,1,9,0,"Paul J. Larkin, Jr.",0,loc,"https://www.oyez.org/cases/1986/85-184"
53364,480,615,1987,United States v. Merchant,0,480 U.S. 615,1987-03-24,85-1672,1986,1986-10,"no merits: writ improvidently granted",1987-03-04,1,0,9,"Paul J. Larkin, Jr.",0,loc,"https://www.oyez.org/cases/1986/85-1672"
53437,484,173,1987,Vermont v. Cox,0,484 U.S. 173,1987-12-14,86-1108,1987,1987-10,"no merits: writ improvidently granted",1987-11-03,1,0,8,"Paul J. Larkin, Jr.",0,loc,"https://www.oyez.org/cases/1987/86-1108"
53487,485,415,1988,Gardebring v. Jenkins,0,485 U.S. 415,1988-04-19,86-978,1987,1987-10,"poverty law, statutory: welfare benefits, typically under some Social Security Act provision.",1988-01-13,1,5,3,"Paul J. Larkin, Jr.",0,loc,"https://www.oyez.org/cases/1987/86-978"
62227,486,675,1988,Arizona v. Roberson,0,486 U.S. 675,1988-06-15,87-354,1987,1987-10,Miranda warnings,1988-03-29,1,2,6,"Paul J. Larkin, Jr.",0,loc,"https://www.oyez.org/cases/1987/87-354"
