oyezId,volume,page,year,caseTitle,oldCite,usCite,dateDecision,docket,term,termId,issue,datesArgued,daysArgument,votesPetitioner,votesRespondent,advocateName,advocateRole,pdfSource,urlOyez
51160,416,637,1974,Donnelly v. DeChristoforo,0,416 U.S. 637,1974-05-13,72-1570,1973,1973-10,"extra-legal jury influences: prejudicial statements or evidence",1974-02-20,1,6,3,Paul T. Smith,0,loc,"https://www.oyez.org/cases/1973/72-1570"
53236,477,317,1986,Celotex Corporation v. Catrett,0,477 U.S. 317,1986-06-25,85-198,1985,1985-10,"Federal Rules of Civil Procedure including Supreme Court Rules, application of the Federal Rules of Evidence, Federal Rules of Appellate Procedure in civil litigation, Circuit Court Rules, and state rules and admiralty rules",1986-04-01,1,5,4,Paul M. Smith,0,loc,"https://www.oyez.org/cases/1985/85-198"
53602,488,105,1988,Pittston Coal Group v. Sebben,0,488 U.S. 105,1988-12-06,87-821,1988,1988-10,"handicapped, rights of: under Rehabilitation, Americans with Disabilities Act, and related statutes",1988-10-03,1,4,5,Paul M. Smith,0,loc,"https://www.oyez.org/cases/1988/87-821"
54002,502,491,1992,Presley v. Etowah County Commission,0,502 U.S. 491,1992-01-27,90-711,1991,1991-10,"Voting Rights Act of 1965, plus amendments",1991-11-12,1,3,6,Paul M. Smith,0,loc,"https://www.oyez.org/cases/1991/90-711"
54015,503,140,1992,McCarthy v. Madigan,0,503 U.S. 140,1992-03-04,90-6861,1991,1991-10,"comity primarily removal cases, civil procedure (cf. comity, criminal and First Amendment); deference to foreign judicial tribunals",1991-12-09,1,9,0,Paul M. Smith,0,loc,"https://www.oyez.org/cases/1991/90-6861"
54365,514,35,1995,Swint v. Chambers County Commission,0,514 U.S. 35,1995-03-01,93-1636,1994,1994-10,"judicial administration: jurisdiction or authority of federal courts of appeals",1995-01-10,1,9,0,Paul M. Smith,0,loc,"https://www.oyez.org/cases/1994/93-1636"
54539,520,781,1997,"McMillian v. Monroe County, Alabama",0,520 U.S. 781,1997-06-02,96-542,1996,1996-10,"liability, civil rights acts (cf. liability, governmental and liability, nongovernmental; cruel and unusual punishment, non-death penalty)",1997-03-18,1,4,5,Paul M. Smith,0,loc,"https://www.oyez.org/cases/1996/96-542"
54956,535,682,2002,"Mathias v. WorldCom Technologies, Inc.",0,535 U.S. 682,2002-05-20,00-878,2001,2001-10,"federal and some few state regulations of public utilities regulation: telephone or telegraph company",2001-12-05,1,0,0,Paul M. Smith,0,loc,"https://www.oyez.org/cases/2001/00-878"
55058,539,194,2003,"United States v. American Library Assn., Inc.",0,539 U.S. 194,2003-06-23,02-361,2002,2002-10,"obscenity, federal",2003-03-05,1,6,3,Paul M. Smith,0,loc,"https://www.oyez.org/cases/2002/02-361"
55110,539,558,2003,Lawrence v. Texas,0,539 U.S. 558,2003-06-26,02-102,2002,2002-10,"privacy (cf. libel, comity: privacy)",2003-03-26,1,6,3,Paul M. Smith,0,loc,"https://www.oyez.org/cases/2002/02-102"
55183,541,267,2004,Vieth v. Jubelirer,0,541 U.S. 267,2004-04-28,02-1580,2003,2003-10,"standing to sue: justiciable question",2003-12-10,1,4,5,Paul M. Smith,0,loc,"https://www.oyez.org/cases/2003/02-1580"
55164,542,55,2004,Norton v. Southern Utah Wilderness Alliance,0,542 U.S. 55,2004-06-14,03-101,2003,2003-10,"natural resources - environmental protection (cf. national supremacy: natural resources, national supremacy: pollution)",2004-03-29,1,9,0,Paul M. Smith,0,loc,"https://www.oyez.org/cases/2003/03-101"
55347,548,399,2006,League of United Latin American Citizens v. Perry,0,548 U.S. 399,2006-06-28,"05-204,05-254,05-276,05-439",2005,2005-10,"Voting Rights Act of 1965, plus amendments",2006-03-01,1,5,4,Paul M. Smith,0,scotusBound,"https://www.oyez.org/cases/2005/05-204"
55488,553,181,2008,Crawford v. Marion County Election Board,0,553 U.S. 181,2008-04-28,"07-21,07-25",2007,2007-10,voting,2008-01-09,1,3,6,Paul M. Smith,0,scotusBound,"https://www.oyez.org/cases/2007/07-21"
55797,564,0,2011,Brown v. Entertainment Merchants Association,0,564 U.S. ___,2011-06-27,08-1448,2010,2010-10,"First Amendment, miscellaneous (cf. comity: First Amendment)",2010-11-02,1,2,7,Paul M. Smith,0,scotusBound,"https://www.oyez.org/cases/2010/08-1448"
55995,573,0,2014,Harris v. Quinn,0,573 U.S. ___,2014-06-30,11-681,2013,2013-10,"labor-management disputes: right to organize",2014-01-21,1,5,4,Paul M. Smith,0,slipopinion/13,"https://www.oyez.org/cases/2013/11-681"
56148,576,0,2015,Michigan v. Environmental Protection Agency,0,576 U.S. ___,2015-06-29,"14-46,14-47,14-49",2014,2014-10,"natural resources - environmental protection (cf. national supremacy: natural resources, national supremacy: pollution)",2015-03-25,1,5,4,Paul M. Smith,0,slipopinion/14,"https://www.oyez.org/cases/2014/14-46"
62315,578,0,2016,Harris v. Arizona Independent Redistricting Commission,0,578 U.S. ___,2016-04-20,14-232,2015,2015-10,voting,2015-12-08,1,0,8,Paul M. Smith,0,slipopinion/15,"https://www.oyez.org/cases/2015/14-232"
62634,578,0,2016,CRST Van Expedited v. EEOC,0,578 U.S. ___,2016-05-19,14-1375,2015,2015-10,"employment discrimination: on basis of race, age, religion, illegitimacy, national origin, or working conditions.",2016-03-28,1,8,0,Paul M. Smith,0,slipopinion/15,"https://www.oyez.org/cases/2015/14-1375"
62652,579,0,2016,Kirtsaeng v. John Wiley & Sons,0,579 U.S. ___,2016-06-16,15-375,2015,2015-10,attorneys' and governmental employees' or officials' fees or compensation or licenses,2016-04-25,1,8,0,Paul M. Smith,0,slipopinion/15,"https://www.oyez.org/cases/2015/15-375"
62859,585,0,2018,Gill v. Whitford,0,585 U.S. ___,2018-06-18,16-1161,2017,2017-10,"standing to sue: direct injury",2017-10-03,1,9,0,Paul M. Smith,0,slipopinion/17,"https://www.oyez.org/cases/2017/16-1161"
62848,584,0,2018,Husted v. A. Philip Randolph Institute,0,584 U.S. ___,2018-06-11,16-980,2017,2017-10,voting,2018-01-10,1,5,4,Paul M. Smith,0,slipopinion/17,"https://www.oyez.org/cases/2017/16-980"
