oyezId,volume,page,year,caseTitle,oldCite,usCite,dateDecision,docket,term,termId,issue,datesArgued,daysArgument,votesPetitioner,votesRespondent,advocateName,advocateRole,pdfSource,urlOyez
54365,514,35,1995,Swint v. Chambers County Commission,0,514 U.S. 35,1995-03-01,93-1636,1994,1994-10,"judicial administration: jurisdiction or authority of federal courts of appeals",1995-01-10,1,9,0,Paul R. Q. Wolfson,0,loc,"https://www.oyez.org/cases/1994/93-1636"
54323,514,280,1995,Freightliner Corporation v. Myrick,0,514 U.S. 280,1995-04-18,94-286,1994,1994-10,federal pre-emption of state legislation or regulation. cf. state regulation of business. rarely involves union activity. Does not involve constitutional interpretation unless the Court says it does.,1995-02-22,1,0,9,Paul R. Q. Wolfson,0,loc,"https://www.oyez.org/cases/1994/94-286"
54388,516,284,1996,Neal v. United States,0,516 U.S. 284,1996-01-22,94-9088,1995,1995-10,"statutory construction of criminal laws: narcotics includes regulation and prohibition of alcohol",1995-12-04,1,0,9,Paul R. Q. Wolfson,0,loc,"https://www.oyez.org/cases/1995/94-9088"
54379,517,308,1996,O'Connor v. Consolidated Coin Caterers Corporation,0,517 U.S. 308,1996-04-01,95-354,1995,1995-10,"employment discrimination: on basis of race, age, religion, illegitimacy, national origin, or working conditions.",1996-02-27,1,9,0,Paul R. Q. Wolfson,0,loc,"https://www.oyez.org/cases/1995/95-354"
54506,519,337,1997,Robinson v. Shell Oil Company,0,519 U.S. 337,1997-02-18,95-1376,1996,1996-10,"employment discrimination: on basis of race, age, religion, illegitimacy, national origin, or working conditions.",1996-11-06,1,9,0,Paul R. Q. Wolfson,0,loc,"https://www.oyez.org/cases/1996/95-1376"
54475,520,833,1997,Boggs v. Boggs,0,520 U.S. 833,1997-06-02,96-79,1996,1996-10,federal pre-emption of state legislation or regulation. cf. state regulation of business. rarely involves union activity. Does not involve constitutional interpretation unless the Court says it does.,1997-01-15,1,5,4,Paul R. Q. Wolfson,0,loc,"https://www.oyez.org/cases/1996/96-79"
54625,522,52,1997,Salinas v. United States,0,522 U.S. 52,1997-12-02,96-738,1997,1997-10,"statutory construction of criminal laws: miscellaneous",1997-10-08,1,0,9,Paul R. Q. Wolfson,0,loc,"https://www.oyez.org/cases/1997/96-738"
54654,523,296,1998,Texas v. United States,0,523 U.S. 296,1998-03-31,97-29,1997,1997-10,"standing to sue: live dispute",1998-01-14,1,0,9,Paul R. Q. Wolfson,0,loc,"https://www.oyez.org/cases/1997/97-29"
54605,524,38,1998,United States  v. Beggerly,0,524 U.S. 38,1998-06-08,97-731,1997,1997-10,"judicial administration: jurisdiction or authority of federal district courts or territorial courts",1998-04-27,1,9,0,Paul R. Q. Wolfson,0,loc,"https://www.oyez.org/cases/1997/97-731"
54706,525,266,1999,Lopez v. Monterey County,0,525 U.S. 266,1999-01-20,97-1396,1998,1998-10,"Voting Rights Act of 1965, plus amendments",1998-11-02,1,8,1,Paul R. Q. Wolfson,0,loc,"https://www.oyez.org/cases/1998/97-1396"
54712,526,275,1999,United States v. Rodriguez-Moreno,0,526 U.S. 275,1999-03-30,97-1139,1998,1998-10,venue,1998-12-07,1,7,2,Paul R. Q. Wolfson,0,loc,"https://www.oyez.org/cases/1998/97-1139"
54715,528,320,2000,Reno v. Bossier Parish School Board,0,528 U.S. 320,2000-01-24,98-405,1998,1998-10,"Voting Rights Act of 1965, plus amendments","1999-04-26,1999-10-06",2,4,5,Paul R. Q. Wolfson,0,loc,"https://www.oyez.org/cases/1998/98-405"
54821,529,694,2000,Johnson v. United States,0,529 U.S. 694,2000-05-15,99-5153,1999,1999-10,"statutory construction of criminal laws: sentencing guidelines",2000-02-22,1,1,8,Paul R. Q. Wolfson,0,loc,"https://www.oyez.org/cases/1999/99-5153"
54914,532,59,2001,Buford v. United States,0,532 U.S. 59,2001-03-20,99-9073,2000,2000-10,"statutory construction of criminal laws: sentencing guidelines",2001-01-08,1,0,9,Paul R. Q. Wolfson,0,loc,"https://www.oyez.org/cases/2000/99-9073"
