oyezId,volume,page,year,caseTitle,oldCite,usCite,dateDecision,docket,term,termId,issue,datesArgued,daysArgument,votesPetitioner,votesRespondent,advocateName,advocateRole,pdfSource,urlOyez
55983,572,0,2014,Prado Navarette v. California,0,572 U.S. ___,2014-04-22,12-9490,2013,2013-10,"search and seizure, vehicles",2014-01-21,1,4,5,Rachel P. Kovner,0,slipopinion/13,"https://www.oyez.org/cases/2013/12-9490"
56100,574,0,2014,Heien v. North Carolina,0,574 U.S. ___,2014-12-15,13-604,2014,2014-10,"search and seizure, vehicles",2014-10-06,1,1,8,Rachel P. Kovner,0,slipopinion/14,"https://www.oyez.org/cases/2014/13-604"
56049,575,0,2015,Mellouli v. Lynch,0,575 U.S. ___,2015-06-01,13-1034,2014,2014-10,deportation (cf. immigration and naturalization),2015-01-14,1,7,2,Rachel P. Kovner,0,slipopinion/14,"https://www.oyez.org/cases/2014/13-1034"
56181,577,0,2016,Kansas v. Carr,0,577 U.S. ___,2016-01-20,"14-449,14-450,14-452",2015,2015-10,"cruel and unusual punishment, death penalty (cf. extra legal jury influence, death penalty)",2015-10-07,1,8,1,Rachel P. Kovner,0,slipopinion/15,"https://www.oyez.org/cases/2015/14-449"
62589,577,0,2016,Sturgeon v. Frost,0,577 U.S. ___,2016-03-22,14-1209,2015,2015-10,"natural resources - environmental protection (cf. national supremacy: natural resources, national supremacy: pollution)",2016-01-20,1,8,0,Rachel P. Kovner,0,slipopinion/15,"https://www.oyez.org/cases/2015/14-1209"
62694,580,0,2017,Pena-Rodriguez v. Colorado,0,580 U.S. ___,2017-03-06,15-606,2016,2016-10,"extra-legal jury influences: prejudicial statements or evidence",2016-10-11,1,5,3,Rachel P. Kovner,0,slipopinion/16,"https://www.oyez.org/cases/2016/15-606"
62757,581,0,2017,"McLane Company, Inc. v. E.E.O.C",0,581 U.S. ___,2017-04-03,15-1248,2016,2016-10,"judicial administration: jurisdiction or authority of federal courts of appeals",2017-02-21,1,7,1,Rachel P. Kovner,0,slipopinion/16,"https://www.oyez.org/cases/2016/15-1248"
62811,582,0,2017,Bristol-Myers Squibb Co. v. Superior Court of California,0,582 U.S. ___,2017-06-19,16-466,2016,2016-10,"due process: jurisdiction (jurisdiction over non-resident litigants)",2017-04-25,1,8,1,Rachel P. Kovner,0,slipopinion/16,"https://www.oyez.org/cases/2016/16-466"
62798,583,0,2018,National Association of Manufacturers v. Department of Defense,0,583 U.S. ___,2018-01-22,16-299,2017,2017-10,"judicial administration: jurisdiction or authority of federal courts of appeals",2017-10-11,1,9,0,Rachel P. Kovner,0,slipopinion/17,"https://www.oyez.org/cases/2017/16-299"
62931,584,0,2018,Hughes v. United States,0,584 U.S. ___,2018-06-04,17-155,2017,2017-10,"statutory construction of criminal laws: sentencing guidelines",2018-03-27,1,6,3,Rachel P. Kovner,0,slipopinion/17,"https://www.oyez.org/cases/2017/17-155"
62950,585,0,2018,Wisconsin Central Ltd. v. United States,0,585 U.S. ___,2018-06-21,17-530,2017,2017-10,"federal taxation, typically under provisions of the Internal Revenue Code",2018-04-16,1,5,4,Rachel P. Kovner,0,slipopinion/17,"https://www.oyez.org/cases/2017/17-530"
62992,0,0,0,BNSF Railway Company v. Loos,0,___ U.S. ___,0,17-1042,2018,2018-10,0,2018-11-06,1,0,0,Rachel P. Kovner,0,slipopinion/18,"https://www.oyez.org/cases/2018/17-1042"
