oyezId,volume,page,year,caseTitle,oldCite,usCite,dateDecision,docket,term,termId,issue,datesArgued,daysArgument,votesPetitioner,votesRespondent,advocateName,advocateRole,pdfSource,urlOyez
59199,350,222,1956,United States v. Twin City Power Company,0,350 U.S. 222,1956-01-23,21,1955,1955-10,"due process: takings clause, or other non-constitutional governmental taking of property",1955-10-18,1,5,4,Ralph S. Spritzer,0,loc,"https://www.oyez.org/cases/1955/21"
59242,351,305,1956,"United States v. McKesson & Robbins, Inc.",0,351 U.S. 305,1956-06-11,448,1955,1955-10,antitrust (except in the context of mergers and union antitrust),1956-04-30,1,6,3,Ralph S. Spritzer,0,loc,"https://www.oyez.org/cases/1955/448"
59349,352,158,1956,United States v. Interstate Commerce Commission,0,352 U.S. 158,1956-12-17,12,1956,1956-10,"federal or state regulation of transportation regulation: railroad",1956-10-11,1,2,6,Ralph S. Spritzer,0,loc,"https://www.oyez.org/cases/1956/12"
59384,352,1020,1957,United States v. American Freightways Co.,0,352 U.S. 1020,1957-03-04,265,1956,1956-10,"statutory construction of criminal laws: miscellaneous",1957-01-23,1,4,4,Ralph S. Spritzer,0,loc,"https://www.oyez.org/cases/1956/265"
59420,356,148,1958,Brown v. United States,0,356 U.S. 148,1958-03-31,43,1957,1957-10,self-incrimination (other than as pertains to Miranda or immunity from prosecution),"1957-04-04,1957-10-22",2,4,5,Ralph S. Spritzer,0,loc,"https://www.oyez.org/cases/1957/43"
59457,353,569,1957,Jackson v. Taylor,0,353 U.S. 569,1957-06-03,619,1956,1956-10,"military: active duty",1957-04-30,1,4,5,Ralph S. Spritzer,0,loc,"https://www.oyez.org/cases/1956/619"
59479,356,165,1958,Green v. United States,0,356 U.S. 165,1958-03-31,100,1957,1957-10,contempt of court or congress,1957-10-21,1,4,5,Ralph S. Spritzer,0,loc,"https://www.oyez.org/cases/1957/100"
59667,355,570,1958,United States v. Hvass,0,355 U.S. 570,1958-03-03,92,1957,1957-10,"statutory construction of criminal laws: false statements (cf. statutory construction of criminal laws: perjury)",1958-01-27,1,8,1,Ralph S. Spritzer,0,loc,"https://www.oyez.org/cases/1957/92"
59573,357,560,1958,Federal Trade Commission v. National Casualty Company,0,357 U.S. 560,1958-06-30,435,1957,1957-10,"federal or state consumer protection: typically under the Truth in Lending; Food, Drug and Cosmetic; and Consumer Protection Credit Acts","1958-04-09,1958-04-10",2,0,9,Ralph S. Spritzer,0,loc,"https://www.oyez.org/cases/1957/435"
59756,358,121,1958,United States v. A & P Trucking Company,0,358 U.S. 121,1958-12-08,32,1958,1958-10,"federal and some few state regulation of transportation regulation:truck, or motor carrier",1958-10-20,1,9,0,Ralph S. Spritzer,0,loc,"https://www.oyez.org/cases/1958/32"
59746,359,314,1959,United States v. Isthmian Steamship Company,0,359 U.S. 314,1959-04-27,285,1958,1958-10,"liability, governmental: tort or contract actions by or against government or governmental officials other than defense of criminal actions brought under a civil rights action.",1959-02-25,1,0,9,Ralph S. Spritzer,0,loc,"https://www.oyez.org/cases/1958/285"
59803,360,343,1959,Palermo v. United States,0,360 U.S. 343,1959-06-22,471,1958,1958-10,"discovery and inspection (in the context of criminal litigation only, otherwise Freedom of Information Act and related federal or state statutes or regulations)",1959-04-28,1,0,9,Ralph S. Spritzer,0,loc,"https://www.oyez.org/cases/1958/471"
59822,360,328,1959,United States v. 93.970 Acres of Land,0,360 U.S. 328,1959-06-22,573,1958,1958-10,"election of remedies: legal remedies available to injured persons or things",1959-05-21,1,9,0,Ralph S. Spritzer,0,loc,"https://www.oyez.org/cases/1958/573"
59873,361,87,1959,Commissioner of Internal Revenue v. Acker,0,361 U.S. 87,1959-11-16,13,1959,1959-10,"federal taxation, typically under provisions of the Internal Revenue Code",1959-10-19,1,3,6,Ralph S. Spritzer,0,loc,"https://www.oyez.org/cases/1959/13"
59965,361,398,1960,"National Labor Relations Board v. Deena Artware, Inc.",0,361 U.S. 398,1960-02-23,46,1959,1959-10,"liability, other than as in sufficiency of evidence, election of remedies, punitive damages",1959-12-08,1,8,0,Ralph S. Spritzer,0,loc,"https://www.oyez.org/cases/1959/46"
