oyezId,volume,page,year,caseTitle,oldCite,usCite,dateDecision,docket,term,termId,issue,datesArgued,daysArgument,votesPetitioner,votesRespondent,advocateName,advocateRole,pdfSource,urlOyez
50767,406,128,1972,Affiliated Ute Citizens of Utah v. United States,0,406 U.S. 128,1972-04-24,70-78,1971,1971-10,"liability, governmental: tort or contract actions by or against government or governmental officials other than defense of criminal actions brought under a civil rights action.",1971-10-18,1,7,0,"A. Raymond Randolph, Jr.",0,loc,"https://www.oyez.org/cases/1971/70-78"
50739,405,228,1972,"Iowa Beef Packers, Inc. v. Thompson",0,405 U.S. 228,1972-02-29,70-286,1971,1971-10,"no merits: writ improvidently granted",1972-01-12,1,1,8,"A. Raymond Randolph, Jr.",0,loc,"https://www.oyez.org/cases/1971/70-286"
50835,409,151,1972,Tidewater Oil Company v. United States,0,409 U.S. 151,1972-12-06,71-366,1972,1972-10,"judicial administration: jurisdiction or authority of federal courts of appeals",1972-10-11,1,3,6,"A. Raymond Randolph, Jr.",0,loc,"https://www.oyez.org/cases/1972/71-366"
50822,411,356,1973,"Mourning v. Family Publications Service, Inc.",0,411 U.S. 356,1973-04-24,71-829,1972,1972-10,"federal or state consumer protection: typically under the Truth in Lending; Food, Drug and Cosmetic; and Consumer Protection Credit Acts",1972-11-09,1,5,4,Raymond Randolph Jr.,0,loc,"https://www.oyez.org/cases/1972/71-829"
50908,413,345,1973,National Association for the Advancement of Colored People v. New York,0,413 U.S. 345,1973-06-21,72-129,1972,1972-10,"Voting Rights Act of 1965, plus amendments","1973-02-27,1973-02-28",2,2,6,Raymond Randolph Jr.,0,loc,"https://www.oyez.org/cases/1972/72-129"
50954,413,528,1973,United States Department of Agriculture v. Moreno,0,413 U.S. 528,1973-06-25,72-534,1972,1972-10,"poverty law, constitutional",1973-04-23,1,2,7,"A. Raymond Randolph, Jr.",0,loc,"https://www.oyez.org/cases/1972/72-534"
51199,422,289,1975,Aberdeen & Rockfish Railroad Company v. Students Challenging Regulatory Agency Procedures (SCRAP),0,422 U.S. 289,1975-06-24,73-1966,1974,1974-10,"natural resources - environmental protection (cf. national supremacy: natural resources, national supremacy: pollution)",1975-03-26,1,7,1,"A. Raymond Randolph, Jr.",0,loc,"https://www.oyez.org/cases/1974/73-1966"
51224,422,184,1975,United States v. Alaska,0,422 U.S. 184,1975-06-23,73-1888,1974,1974-10,Submerged Lands Act (cf. federal-state ownership dispute),1975-04-16,1,6,2,"A. Raymond Randolph, Jr.",0,loc,"https://www.oyez.org/cases/1974/73-1888"
51433,423,388,1976,National Independent Coal Operators' Association v. Kleppe,0,423 U.S. 388,1976-01-26,73-2066,1975,1975-10,judicial review of administrative agency's or administrative official's actions and procedures,1975-10-06,1,0,8,"A. Raymond Randolph, Jr.",0,loc,"https://www.oyez.org/cases/1975/73-2066"
51379,423,403,1976,"Kleppe v. Delta Mining, Inc.",0,423 U.S. 403,1976-01-26,74-521,1975,1975-10,judicial review of administrative agency's or administrative official's actions and procedures,1975-10-06,1,8,0,"A. Raymond Randolph, Jr.",0,loc,"https://www.oyez.org/cases/1975/74-521"
