oyezId,volume,page,year,caseTitle,oldCite,usCite,dateDecision,docket,term,termId,issue,datesArgued,daysArgument,votesPetitioner,votesRespondent,advocateName,advocateRole,pdfSource,urlOyez
61339,385,458,1967,Lassen v. Arizona ex rel. Arizona Highway Dept.,0,385 U.S. 458,1967-01-10,84,1966,1966-10,federal-state ownership dispute (cf. Submerged Lands Act),1966-11-16,1,9,0,Rex E. Lee,0,loc,"https://www.oyez.org/cases/1966/84"
61896,397,137,1970,"Pike v. Bruce Church, Inc.",0,397 U.S. 137,1970-03-02,301,1969,1969-10,"state or local government regulation, especially of business (cf. federal pre-emption of state court jurisdiction, federal pre-emption of state legislation or regulation)",1970-01-13,1,0,8,Rex E. Lee,0,loc,"https://www.oyez.org/cases/1969/301"
61826,399,204,1970,City of Phoenix v. Kolodziejski,0,399 U.S. 204,1970-06-23,1066,1969,1969-10,voting,1970-03-31,1,3,5,Rex E. Lee,0,loc,"https://www.oyez.org/cases/1969/1066"
51480,425,840,1976,Chandler v. Roudebush,0,425 U.S. 840,1976-06-01,74-1599,1975,1975-10,"employment discrimination: on basis of race, age, religion, illegitimacy, national origin, or working conditions.",1976-03-02,1,9,0,Rex E. Lee,0,loc,"https://www.oyez.org/cases/1975/74-1599"
51680,429,181,1976,Mathews v. De Castro,0,429 U.S. 181,1976-12-13,75-1197,1976,1976-10,sex discrimination (excluding sex discrimination in employment),1976-11-08,1,9,0,Rex E. Lee,0,loc,"https://www.oyez.org/cases/1976/75-1197"
52029,442,289,1979,Babbitt v. United Farm Workers National Union,0,442 U.S. 289,1979-06-05,78-225,1978,1978-10,"comity: First Amendment",1979-02-21,1,7,2,Rex E. Lee,0,loc,"https://www.oyez.org/cases/1978/78-225"
52334,451,355,1981,Ball v. James,0,451 U.S. 355,1981-04-29,79-1740,1980,1980-10,"reapportionment: other than plans governed by the Voting Rights Act",1981-02-23,1,5,4,Rex E. Lee,0,loc,"https://www.oyez.org/cases/1980/79-1740"
52352,453,654,1981,Dames & Moore v. Regan,0,453 U.S. 654,1981-07-02,80-2078,1980,1980-10,"due process: takings clause, or other non-constitutional governmental taking of property",1981-06-24,1,1,8,Rex E. Lee,0,loc,"https://www.oyez.org/cases/1980/80-2078"
52392,454,139,1981,Weinberger v. Catholic Action of Hawaii/Peace Education Project,0,454 U.S. 139,1981-12-01,81-1377,1981,1981-10,Freedom of Information Act and related federal or state statutes or regulations,1981-10-13,1,9,0,Rex E. Lee,0,loc,"https://www.oyez.org/cases/1981/81-1377"
52462,454,464,1982,"Valley Forge Christian College v. Americans United for Separation of Church and State, Inc.",0,454 U.S. 464,1982-01-12,80-327,1981,1981-10,"standing to sue: taxpayer's suit",1981-11-04,1,5,4,Rex E. Lee,0,loc,"https://www.oyez.org/cases/1981/80-327"
52549,456,512,1982,North Haven Bd. of Educ. v. Bell,0,456 U.S. 512,1982-05-17,80-986,1981,1981-10,sex discrimination in employment (cf. sex discrimination),1981-12-09,1,3,6,Rex E. Lee,0,loc,"https://www.oyez.org/cases/1981/80-986"
52560,456,742,1982,FERC v. Mississippi,0,456 U.S. 742,1982-06-01,80-1749,1981,1981-10,"national supremacy: public utilities (cf. federal public utilities regulation)",1982-01-19,1,5,4,Rex E. Lee,0,loc,"https://www.oyez.org/cases/1981/80-1749"
52537,462,919,1983,INS v. Chadha,0,462 U.S. 919,1983-06-23,80-1832,1981,1981-10,legislative veto,"1982-02-22,1982-12-07",2,2,7,Rex E. Lee,0,loc,"https://www.oyez.org/cases/1981/80-1832"
52396,458,527,1982,Crawford v. Board of Education of City of Los Angeles,0,458 U.S. 527,1982-06-30,81-38,1981,1981-10,"desegregation, schools",1982-03-22,1,1,8,Rex E. Lee,0,loc,"https://www.oyez.org/cases/1981/81-38"
