oyezId,volume,page,year,caseTitle,oldCite,usCite,dateDecision,docket,term,termId,issue,datesArgued,daysArgument,votesPetitioner,votesRespondent,advocateName,advocateRole,pdfSource,urlOyez
53384,479,450,1987,Interstate Commerce Commission v. Texas,0,479 U.S. 450,1987-01-20,85-1222,1986,1986-10,"federal or state regulation of transportation regulation: railroad",1986-12-10,1,9,0,Richard G. Taranto,0,loc,"https://www.oyez.org/cases/1986/85-1222"
53405,482,220,1987,Shearson/American Express Inc. v. McMahon,0,482 U.S. 220,1987-06-08,86-44,1986,1986-10,arbitration (other than as pertains to labor-management or employer-employee relations (cf. union arbitration),1987-03-03,1,5,4,Richard G. Taranto,0,loc,"https://www.oyez.org/cases/1986/86-44"
62199,484,86,1987,Langley v. Federal Deposit Insurance Corporation,0,484 U.S. 86,1987-12-01,86-489,1987,1987-10,debtors' rights,1987-10-14,1,0,8,Richard G. Taranto,0,loc,"https://www.oyez.org/cases/1987/86-489"
53477,486,622,1988,Pinter v. Dahl,0,486 U.S. 622,1988-06-15,86-805,1987,1987-10,federal or state regulation of securities,1987-12-09,1,7,1,Richard G. Taranto,0,loc,"https://www.oyez.org/cases/1987/86-805"
53480,486,204,1988,FERC v. Martin Exploration Management Company,0,486 U.S. 204,1988-05-31,87-363,1987,1987-10,"federal and some few state regulation of public utilities regulation: gas producer",1988-03-28,1,8,0,Richard G. Taranto,0,loc,"https://www.oyez.org/cases/1987/87-363"
53567,489,527,1989,"Karahalios v. National Federation of Federal Employees, Local 1263",0,489 U.S. 527,1989-03-06,87-636,1988,1988-10,"standing to sue: private or implied cause of action",1989-01-17,1,0,9,Richard G. Taranto,0,loc,"https://www.oyez.org/cases/1988/87-636"
53610,490,82,1989,FSLIC v. Ticktin,0,490 U.S. 82,1989-04-03,87-1865,1988,1988-10,"judicial administration: jurisdiction or authority of federal district courts or territorial courts",1989-02-27,1,9,0,Richard G. Taranto,0,loc,"https://www.oyez.org/cases/1988/87-1865"
53546,492,115,1989,Sable Communications of California v. Federal Communications Commission,0,492 U.S. 115,1989-06-23,88-515,1988,1988-10,"obscenity, federal",1989-04-19,1,3,6,Richard G. Taranto,0,loc,"https://www.oyez.org/cases/1988/88-515"
53982,502,410,1992,Dewsnup v. Timm,0,502 U.S. 410,1992-01-15,90-741,1991,1991-10,bankruptcy (except in the context of priority of federal fiscal claims),1991-10-15,1,2,6,Richard G. Taranto,0,loc,"https://www.oyez.org/cases/1991/90-741"
53980,505,763,1992,"Two Pesos, Inc. v. Taco Cabana, Inc.",0,505 U.S. 763,1992-06-26,91-971,1991,1991-10,"patents and copyrights: trademark",1992-04-21,1,0,9,Richard G. Taranto,0,loc,"https://www.oyez.org/cases/1991/91-971"
54158,506,139,1993,"Puerto Rico Aqueduct and Sewer Authority v. Metcalf & Eddy, Inc.",0,506 U.S. 139,1993-01-12,91-1010,1992,1992-10,"judicial administration: review of non-final order",1992-11-09,1,8,1,Richard G. Taranto,0,loc,"https://www.oyez.org/cases/1992/91-1010"
54174,508,200,1993,Keene Corporation v. United States,0,508 U.S. 200,1993-05-24,92-166,1992,1992-10,"judicial administration: jurisdiction or authority of the Court of Claims",1993-03-23,1,1,8,Richard G. Taranto,0,loc,"https://www.oyez.org/cases/1992/92-166"
62279,511,117,1994,Ticor Title Insurance Company v. Brown,0,511 U.S. 117,1994-04-04,92-1988,1993,1993-10,"no merits: writ improvidently granted",1994-03-01,1,3,6,Richard G. Taranto,0,loc,"https://www.oyez.org/cases/1993/92-1988"
54262,511,658,1994,Morgan Stanley & Co. v. Pacific Mut. Life Ins. Co.,0,511 U.S. 658,1994-05-23,93-609,1993,1993-10,0,1994-04-26,1,4,4,Richard G. Taranto,0,loc,"https://www.oyez.org/cases/1993/93-609"
54550,520,17,1997,"Warner-Jenkinson Company, Inc. v. Hilton Davis Chemical Company",0,520 U.S. 17,1997-03-03,95-728,1996,1996-10,"patents and copyrights: patent",1996-10-15,1,9,0,Richard G. Taranto,0,loc,"https://www.oyez.org/cases/1996/95-728"
54471,521,567,1997,Lawyer v. Department of Justice,0,521 U.S. 567,1997-06-25,95-2024,1996,1996-10,"reapportionment: other than plans governed by the Voting Rights Act",1997-02-19,1,4,5,Richard G. Taranto,0,loc,"https://www.oyez.org/cases/1996/95-2024"
54978,534,204,2002,Great-West Life and Annuity Insurance Company v. Knudson,0,534 U.S. 204,2002-01-08,99-1786,2001,2001-10,Employee Retirement Income Security Act (cf. union trust funds),2001-10-01,1,4,5,Richard G. Taranto,0,loc,"https://www.oyez.org/cases/2001/99-1786"
55153,540,398,2004,"Verizon Communications, Inc. v. Law Offices of Curtis V. Trinco, LLP",0,540 U.S. 398,2004-01-13,02-682,2003,2003-10,antitrust (except in the context of mergers and union antitrust),2003-10-14,1,9,0,Richard G. Taranto,0,loc,"https://www.oyez.org/cases/2003/02-682"
55239,544,903,2005,MGM Studios v. Grokster,0,544 U.S. 903,2005-06-27,04-480,2004,2004-10,"patents and copyrights: copyright",2005-03-29,1,9,0,Richard G. Taranto,0,scotusBound,"https://www.oyez.org/cases/2004/04-480"
