oyezId,volume,page,year,caseTitle,oldCite,usCite,dateDecision,docket,term,termId,issue,datesArgued,daysArgument,votesPetitioner,votesRespondent,advocateName,advocateRole,pdfSource,urlOyez
"51035",418,166,1974,"United States v. Richardson","","418 U.S. 166","1974-06-25","72-885","1973","1973-10","standing to sue: taxpayer's suit","1973-10-10",1,5,4,"Robert H. Bork","","loc","https://www.oyez.org/cases/1973/72-885"
"50993",416,505,1974,"United States v. Giordano","","416 U.S. 505","1974-05-13","72-1057","1973","1973-10","search and seizure, Crime Control Act","1974-01-08",1,4,5,"Robert H. Bork","","loc","https://www.oyez.org/cases/1973/72-1057"
"51002",416,580,1974,"United States v. Chavez","","416 U.S. 580","1974-05-13","72-1319","1973","1973-10","search and seizure, Crime Control Act","1974-01-08",1,5,4,"Robert H. Bork","","loc","https://www.oyez.org/cases/1973/72-1319"
"51015",418,676,1974,"Secretary of the Navy v. Avrech","","418 U.S. 676","1974-07-08","72-1713","1973","1973-10","military: active duty","1974-02-20",1,6,3,"Robert H. Bork","","loc","https://www.oyez.org/cases/1973/72-1713"
"51058",417,733,1974,"Parker v. Levy","","417 U.S. 733","1974-06-19","73-206","1973","1973-10","military: active duty","1974-02-20",1,5,3,"Robert H. Bork","","loc","https://www.oyez.org/cases/1973/73-206"
"51007",418,717,1974,"Milliken v. Bradley","","418 U.S. 717","1974-07-25","73-434","1973","1973-10","desegregation, schools","1974-02-27",1,5,4,"Robert H. Bork","","loc","https://www.oyez.org/cases/1973/73-434"
"51122",417,843,1974,"Saxbe v. Washington Post Company","","417 U.S. 843","1974-06-24","73-1265","1973","1973-10","First Amendment, miscellaneous (cf. comity: First Amendment)","1974-04-17",1,5,4,"Robert H. Bork","","loc","https://www.oyez.org/cases/1973/73-1265"
"51029",418,539,1974,"Wolff v. McDonnell","","418 U.S. 539","1974-06-26","73-679","1973","1973-10","due process: prisoners' rights and defendants' rights","1974-04-22",1,6,3,"Robert H. Bork","","loc","https://www.oyez.org/cases/1973/73-679"
"51315",419,102,1974,"Regional Rail Reorganization Act Cases","","419 U.S. 102","1974-12-16","74-165","1974","1974-10","due process: takings clause, or other non-constitutional governmental taking of property","1974-10-23",1,7,2,"Robert H. Bork","","loc","https://www.oyez.org/cases/1974/74-165"
"51289",420,35,1975,"Train v. City of New York","","420 U.S. 35","1975-02-18","73-1377","1974","1974-10","natural resources - environmental protection (cf. national supremacy: natural resources, national supremacy: pollution)","1974-11-12",1,0,9,"Robert H. Bork","","loc","https://www.oyez.org/cases/1974/73-1377"
"51184",420,136,1975,"Train v. Campaign Clean Water, Inc.","","420 U.S. 136","1975-02-18","73-1378","1974","1974-10","natural resources - environmental protection (cf. national supremacy: natural resources, national supremacy: pollution)","1974-11-12",1,9,0,"Robert H. Bork","","loc","https://www.oyez.org/cases/1974/73-1378"
"51281",421,21,1975,"McLucas v. DeChamplain","","421 U.S. 21","1975-04-15","73-1346","1974","1974-10","military: active duty","1974-12-09",1,9,0,"Robert H. Bork","","loc","https://www.oyez.org/cases/1974/73-1346"
"51262",420,738,1975,"Schlesinger, v. Councilman","","420 U.S. 738","1975-03-25","73-662","1974","1974-10","military: active duty","1974-12-10",1,6,3,"Robert H. Bork","","loc","https://www.oyez.org/cases/1974/73-662"
"51298",420,376,1975,"Williams & Wilkins Co. v. United States","","420 U.S. 376","1975-02-19","73-1279","1974","1974-10","","1974-12-17",1,4,4,"Robert H. Bork","","loc","https://www.oyez.org/cases/1974/73-1279"
"51218",426,88,1976,"Hampton v. Mow Sun Wong","","426 U.S. 88","1976-06-01","73-1596","1974","1974-10","employability of aliens (cf. immigration and naturalization)","1975-01-13,1976-01-12",2,4,5,"Robert H. Bork","","loc","https://www.oyez.org/cases/1974/73-1596"
"51313",420,515,1975,"United States v. Maine","","420 U.S. 515","1975-03-17","35 Orig.","1974","1974-10","Submerged Lands Act (cf. federal-state ownership dispute)","1975-02-24,1975-02-25",2,8,0,"Robert H. Bork","","loc","https://www.oyez.org/cases/1974/35_orig"
"51217",422,454,1975,"Muniz v. Hoffman","","422 U.S. 454","1975-06-25","73-1924","1974","1974-10","jury trial (right to, as distinct from extra-legal jury influences)","1975-03-24",1,4,5,"Robert H. Bork","","loc","https://www.oyez.org/cases/1974/73-1924"
"51198",421,773,1975,"Goldfarb v. Virginia State Bar","","421 U.S. 773","1975-06-16","74-70","1974","1974-10","antitrust (except in the context of mergers and union antitrust)","1975-03-25",1,8,0,"Robert H. Bork","","loc","https://www.oyez.org/cases/1974/74-70"
"51172",426,833,1976,"National League of Cities v. Usery","","426 U.S. 833","1976-06-24","74-878","1974","1974-10","Fair Labor Standards Act","1975-04-16,1976-03-02",2,5,4,"Robert H. Bork","","loc","https://www.oyez.org/cases/1974/74-878"
"62601",428,904,1976,"Fowler v. North Carolina","","428 U.S. 904","1976-07-06","73-7031","1975","1975-10","","1975-04-21",1,0,0,"Robert H. Bork","","loc","https://www.oyez.org/cases/1975/73-7031"
"51291",421,560,1975,"Dunlop v. Bachowski","","421 U.S. 560","1975-06-02","74-466","1974","1974-10","judicial review of administrative agency's or administrative official's actions and procedures","1975-04-21",1,8,1,"Robert H. Bork","","loc","https://www.oyez.org/cases/1974/74-466"
"51368",424,319,1976,"Mathews v. Eldridge","","424 U.S. 319","1976-02-24","74-204","1975","1975-10","poverty law, constitutional","1975-10-06",1,6,2,"Robert H. Bork","","loc","https://www.oyez.org/cases/1975/74-204"
"51461",424,409,1976,"Imbler v. Pachtman","","424 U.S. 409","1976-03-02","74-5435","1975","1975-10","liability, civil rights acts (cf. liability, governmental and liability, nongovernmental; cruel and unusual punishment, non-death penalty)","1975-11-03",1,0,8,"Robert H. Bork","","loc","https://www.oyez.org/cases/1975/74-5435"
"51360",424,828,1976,"Greer v. Spock","","424 U.S. 828","1976-03-24","74-848","1975","1975-10","First Amendment, miscellaneous (cf. comity: First Amendment)","1975-11-05",1,6,2,"Robert H. Bork","","loc","https://www.oyez.org/cases/1975/74-848"
