oyezId,volume,page,year,caseTitle,oldCite,usCite,dateDecision,docket,term,termId,issue,datesArgued,daysArgument,votesPetitioner,votesRespondent,advocateName,advocateRole,pdfSource,urlOyez
59192,351,49,1956,"East Texas Motor Freight Lines, Inc. v. Frozen Food Express",0,351 U.S. 49,1956-04-23,162,1955,1955-10,"federal and some few state regulation of transportation regulation:truck, or motor carrier",1956-03-07,1,4,5,Robert W. Ginnane,0,loc,"https://www.oyez.org/cases/1955/162"
59183,351,321,1956,Denver & Rio Grande Western Railroad Company v. Union Pacific Railroad Company,0,351 U.S. 321,1956-06-11,117,1955,1955-10,"federal or state regulation of transportation regulation: railroad","1956-04-23,1956-04-24",2,7,2,Robert W. Ginnane,0,loc,"https://www.oyez.org/cases/1955/117"
59349,352,158,1956,United States v. Interstate Commerce Commission,0,352 U.S. 158,1956-12-17,12,1956,1956-10,"federal or state regulation of transportation regulation: railroad",1956-10-11,1,2,6,Robert W. Ginnane,0,loc,"https://www.oyez.org/cases/1956/12"
59402,353,151,1957,Alleghany Corporation v. Breswick & Company,0,353 U.S. 151,1957-04-22,36,1956,1956-10,"federal or state regulation of transportation regulation: railroad","1957-01-23,1957-01-24",2,5,3,Robert W. Ginnane,0,loc,"https://www.oyez.org/cases/1956/36"
59352,352,1028,1957,Arkansas & Louisiana Missouri Railway v. Amarillo-Borger Express,0,352 U.S. 1028,1957-03-11,125,1956,1956-10,"mootness (cf. standing to sue: live dispute)","1957-03-04,1957-03-05",2,6,2,Robert W. Ginnane,0,loc,"https://www.oyez.org/cases/1956/125"
59614,355,141,1957,"American Trucking Associations, Inc. v. United States",0,355 U.S. 141,1957-12-09,6,1957,1957-10,"federal and some few state regulation of transportation regulation:truck, or motor carrier",1957-10-23,1,1,8,Robert W. Ginnane,0,loc,"https://www.oyez.org/cases/1957/6"
59568,356,412,1958,County of Marin v. United States,0,356 U.S. 412,1958-05-19,415,1957,1957-10,"federal and some few state regulation of transportation regulation:truck, or motor carrier",1958-04-09,1,5,4,Robert W. Ginnane,0,loc,"https://www.oyez.org/cases/1957/415"
59706,358,133,1958,American Trucking Assns. v. Frisco Transportation Company,0,358 U.S. 133,1958-12-15,15,1958,1958-10,"federal and some few state regulation of transportation regulation:truck, or motor carrier",1958-10-13,1,7,1,Robert W. Ginnane,0,loc,"https://www.oyez.org/cases/1958/15"
59871,361,173,1959,Minneapolis & St. Louis Railway Company v. United States,0,361 U.S. 173,1959-12-14,12,1959,1959-10,mergers,"1959-11-16,1959-11-17",2,1,8,Robert W. Ginnane,0,loc,"https://www.oyez.org/cases/1959/12"
60006,364,1,1960,"American Trucking Assns., Inc. v. United States",0,364 U.S. 1,1960-06-27,74,1959,1959-10,"federal and some few state regulation of transportation regulation:truck, or motor carrier",1960-05-19,1,9,0,Robert W. Ginnane,0,loc,"https://www.oyez.org/cases/1959/74"
60088,366,272,1961,"H. K. Porter Company, Inc. v. Central Vermont Railway, Inc.",0,366 U.S. 272,1961-05-22,257,1960,1960-10,"federal or state regulation of transportation regulation: railroad",1961-04-20,1,9,0,Robert W. Ginnane,0,loc,"https://www.oyez.org/cases/1960/257"
60098,366,745,1961,"Chicago, Milwaukee, St. Paul & Pacific Railroad Co v. United States",0,366 U.S. 745,1961-06-05,306,1960,1960-10,"federal or state regulation of transportation regulation: railroad",1961-05-02,1,2,6,Robert W. Ginnane,0,loc,"https://www.oyez.org/cases/1960/306"
60241,368,370,1962,United States v. Drum,0,368 U.S. 370,1962-01-15,23,1961,1961-10,"federal and some few state regulation of transportation regulation:truck, or motor carrier","1961-10-11,1961-10-12",2,7,2,Robert W. Ginnane,0,loc,"https://www.oyez.org/cases/1961/23"
60228,368,81,1961,"Interstate Commerce Commission v. J-T Transport Company, Inc.",0,368 U.S. 81,1961-12-04,17,1961,1961-10,"federal and some few state regulation of transportation regulation:truck, or motor carrier","1961-10-17,1961-10-18",2,3,6,Robert W. Ginnane,0,loc,"https://www.oyez.org/cases/1961/17"
60442,371,156,1962,"Burlington Truck Lines, Inc. v. United States",0,371 U.S. 156,1962-12-03,27,1962,1962-10,judicial review of administrative agency's or administrative official's actions and procedures,"1962-10-15,1962-10-16",2,8,1,Robert W. Ginnane,0,loc,"https://www.oyez.org/cases/1962/27"
60388,372,744,1963,"Interstate Commerce Commission v. New York, New Haven & Hartford R. Company",0,372 U.S. 744,1963-04-22,108,1962,1962-10,"federal or state regulation of transportation regulation: railroad",1963-02-28,1,9,0,Robert W. Ginnane,0,loc,"https://www.oyez.org/cases/1962/108"
60575,373,372,1963,Baltimore & Ohio R. Co. v. Boston & Maine R. Co.,0,373 U.S. 372,1963-05-20,97,1962,1962-10,0,1963-03-27,1,4,4,Robert W. Ginnane,0,loc,"https://www.oyez.org/cases/1962/97"
60770,376,93,1964,Southern Railway Company v. North Carolina,0,376 U.S. 93,1964-02-17,74,1963,1963-10,judicial review of administrative agency's or administrative official's actions and procedures,"1964-01-14,1964-01-15",2,7,2,Robert W. Ginnane,0,loc,"https://www.oyez.org/cases/1963/74"
60700,377,311,1964,"Red Ball Motor Freight, Inc. v. Shannon",0,377 U.S. 311,1964-06-01,406,1963,1963-10,"federal and some few state regulation of transportation regulation:truck, or motor carrier",1964-04-28,1,4,5,Robert W. Ginnane,0,loc,"https://www.oyez.org/cases/1963/406"
60860,379,343,1964,"All States Freight, Inc. v. New York, New Haven & Hartford Railroad Company",0,379 U.S. 343,1964-12-14,22,1964,1964-10,judicial review of administrative agency's or administrative official's actions and procedures,1964-10-21,1,4,5,Robert W. Ginnane,0,loc,"https://www.oyez.org/cases/1964/22"
61004,382,237,1965,Western Pacific Railroad Company v. United States,0,382 U.S. 237,1965-12-07,12,1965,1965-10,"federal or state regulation of transportation regulation: railroad",1965-10-19,1,8,1,Robert W. Ginnane,0,loc,"https://www.oyez.org/cases/1965/12"
