oyezId,volume,page,year,caseTitle,oldCite,usCite,dateDecision,docket,term,termId,issue,datesArgued,daysArgument,votesPetitioner,votesRespondent,advocateName,advocateRole,pdfSource,urlOyez
53844,499,432,1991,Kay v. Ehrler,0,499 U.S. 432,1991-04-16,90-79,1990,1990-10,attorneys' and governmental employees' or officials' fees or compensation or licenses,1991-02-25,1,0,9,"Robert A. Long, Jr.",0,loc,"https://www.oyez.org/cases/1990/90-79"
53992,502,81,1991,"Southwest Marine, Inc. v Gizoni",0,502 U.S. 81,1991-12-04,90-584,1991,1991-10,"election of remedies: legal remedies available to injured persons or things",1991-10-15,1,0,8,"Robert A. Long, Jr.",0,loc,"https://www.oyez.org/cases/1991/90-584"
54002,502,491,1992,Presley v. Etowah County Commission,0,502 U.S. 491,1992-01-27,90-711,1991,1991-10,"Voting Rights Act of 1965, plus amendments",1991-11-12,1,3,6,"Robert A. Long, Jr.",0,loc,"https://www.oyez.org/cases/1991/90-711"
53968,504,181,1992,Wade v. United States,0,504 U.S. 181,1992-05-18,91-5771,1991,1991-10,"statutory construction of criminal laws: sentencing guidelines",1992-03-23,1,0,9,"Robert A. Long, Jr.",0,loc,"https://www.oyez.org/cases/1991/91-5771"
54083,506,80,1992,Republic Nat'l Bank of Miami v. United States,0,506 U.S. 80,1992-12-14,91-767,1992,1992-10,"judicial administration: Supreme Court jurisdiction or authority on appeal or writ of error, from federal district courts or courts of appeals (cf. 753)",1992-10-05,1,9,0,"Robert A. Long, Jr.",0,loc,"https://www.oyez.org/cases/1992/91-767"
54105,506,447,1993,"Spectrum Sports, Inc. v. McQuillan",0,506 U.S. 447,1993-01-25,91-10,1992,1992-10,antitrust (except in the context of mergers and union antitrust),1992-11-10,1,9,0,"Robert A. Long, Jr.",0,loc,"https://www.oyez.org/cases/1992/91-10"
54090,508,491,1993,United States Department of Treasury v. Fabe,0,508 U.S. 491,1993-06-11,91-1513,1992,1992-10,federal pre-emption of state legislation or regulation. cf. state regulation of business. rarely involves union activity. Does not involve constitutional interpretation unless the Court says it does.,1992-12-08,1,5,4,"Robert A. Long, Jr.",0,loc,"https://www.oyez.org/cases/1992/91-1513"
54143,508,286,1993,"Musick, Peeler & Garrett v. Employers Insurance of Wausau",0,508 U.S. 286,1993-06-01,92-34,1992,1992-10,federal or state regulation of securities,1993-03-01,1,3,6,"Robert A. Long, Jr.",0,loc,"https://www.oyez.org/cases/1992/92-34"
54414,516,264,1996,"Bank One Chicago, N.A. v. Midwest Bank & Trust Company",0,516 U.S. 264,1996-01-17,94-1175,1995,1995-10,"liability, other than as in sufficiency of evidence, election of remedies, punitive damages",1995-11-28,1,9,0,"Robert A. Long, Jr.",0,loc,"https://www.oyez.org/cases/1995/94-1175"
54822,530,238,2000,"Harris Trust & Savings Bank v. Salomon Smith Barney, Inc.",0,530 U.S. 238,2000-06-12,99-579,1999,1999-10,Employee Retirement Income Security Act (cf. union trust funds),2000-04-17,1,9,0,"Robert A. Long, Jr.",0,loc,"https://www.oyez.org/cases/1999/99-579"
55225,543,111,2004,"KP Permanent Make-Up, Inc. v. Lasting Impression I, Inc.",0,543 U.S. 111,2004-12-08,03-409,2004,2004-10,"patents and copyrights: trademark",2004-10-05,1,9,0,"Robert A. Long, Jr.",0,scotusBound,"https://www.oyez.org/cases/2004/03-409"
55262,545,546,2005,Exxon Corp v. Allapattah Services,0,545 U.S. 546,2005-06-23,04-70,2004,2004-10,"judicial administration: ancillary or pendent jurisdiction",2005-03-01,1,4,5,"Robert A. Long, Jr.",0,scotusBound,"https://www.oyez.org/cases/2004/04-70"
55306,547,843,2006,Samson v. California,0,547 U.S. 843,2006-06-19,04-9728,2005,2005-10,search and seizure (other than as pertains to vehicles or Crime Control Act),2006-02-22,1,3,6,"Robert A. Long, Jr.",0,scotusBound,"https://www.oyez.org/cases/2005/04-9728"
55453,549,47,2006,Lopez v. Gonzales,0,549 U.S. 47,2006-12-05,"05-547,05-7664",2006,2006-10,deportation (cf. immigration and naturalization),2006-10-03,1,8,1,"Robert A. Long, Jr.",0,scotusBound,"https://www.oyez.org/cases/2006/05-547"
55454,550,1,2007,"Watters v. Wachovia Bank, N.A.",0,550 U.S. 1,2007-04-17,05-1342,2006,2006-10,federal pre-emption of state legislation or regulation. cf. state regulation of business. rarely involves union activity. Does not involve constitutional interpretation unless the Court says it does.,2006-11-29,1,3,5,"Robert A. Long, Jr.",0,scotusBound,"https://www.oyez.org/cases/2006/05-1342"
55685,559,506,2010,Conkright v. Frommert,0,559 U.S. 506,2010-04-21,08-810,2009,2009-10,Employee Retirement Income Security Act (cf. union trust funds),2010-01-20,1,5,3,"Robert A. Long, Jr.",0,scotusBound,"https://www.oyez.org/cases/2009/08-810"
55690,560,272,2010,Robertson v. United States ex rel. Watson,0,560 U.S. 272,2010-05-24,08-6261,2009,2009-10,contempt of court or congress,2010-03-31,1,4,5,"Robert A. Long, Jr.",0,scotusBound,"https://www.oyez.org/cases/2009/08-6261"
55837,567,0,2012,National Federation of Independent Business v. Sebelius,0,567 U.S. ___,2012-06-28,"11-393,11-398,11-400",2011,2011-10,"national supremacy: miscellaneous","2012-03-26,2012-03-27,2012-03-28",3,4,5,"Robert A. Long, Jr.",0,scotusBound,"https://www.oyez.org/cases/2011/11-393"
55988,573,0,2014,Fifth Third Bancorp v. Dudenhoeffer,0,573 U.S. ___,2014-06-25,12-751,2013,2013-10,Employee Retirement Income Security Act (cf. union trust funds),2014-04-02,1,9,0,"Robert A. Long, Jr.",0,slipopinion/13,"https://www.oyez.org/cases/2013/12-751"
