oyezId,volume,page,year,caseTitle,oldCite,usCite,dateDecision,docket,term,termId,issue,datesArgued,daysArgument,votesPetitioner,votesRespondent,advocateName,advocateRole,pdfSource,urlOyez
53365,480,294,1987,United States v. Dunn,0,480 U.S. 294,1987-03-03,85-998,1986,1986-10,search and seizure (other than as pertains to vehicles or Crime Control Act),1987-01-20,1,7,2,"Roy T. Englert, Jr.",0,loc,"https://www.oyez.org/cases/1986/85-998"
53363,483,1,1987,Ricketts v. Adamson,0,483 U.S. 1,1987-06-22,86-6,1986,1986-10,double jeopardy,1987-04-01,1,5,4,"Roy T. Englert, Jr.",0,loc,"https://www.oyez.org/cases/1986/86-6"
53448,487,533,1988,Murray v. United States,0,487 U.S. 533,1988-06-27,86-995,1987,1987-10,search and seizure (other than as pertains to vehicles or Crime Control Act),1987-12-08,1,3,4,"Roy T. Englert, Jr.",0,loc,"https://www.oyez.org/cases/1987/86-995"
53465,487,99,1988,Braswell v. United States,0,487 U.S. 99,1988-06-22,87-3,1987,1987-10,self-incrimination (other than as pertains to Miranda or immunity from prosecution),1988-03-01,1,4,5,"Roy T. Englert, Jr.",0,loc,"https://www.oyez.org/cases/1987/87-3"
53440,487,879,1988,Bowen v. Massachusetts,0,487 U.S. 879,1988-06-29,87-712,1987,1987-10,"judicial administration: jurisdiction or authority of federal district courts or territorial courts",1988-04-20,1,3,6,"Roy T. Englert, Jr.",0,loc,"https://www.oyez.org/cases/1987/87-712"
53635,488,563,1989,United States v. Broce,0,488 U.S. 563,1989-01-23,87-1190,1988,1988-10,double jeopardy,1988-10-04,1,6,3,"Roy T. Englert, Jr.",0,loc,"https://www.oyez.org/cases/1988/87-1190"
53529,489,749,1989,Department of Justice v. Reporters Committee for Freedom of the Press,0,489 U.S. 749,1989-03-22,87-1379,1988,1988-10,Freedom of Information Act and related federal or state statutes or regulations,1988-12-07,1,9,0,"Roy T. Englert, Jr.",0,loc,"https://www.oyez.org/cases/1988/87-1379"
53561,490,93,1989,California v. ARC America Corporation,0,490 U.S. 93,1989-04-18,87-1862,1988,1988-10,federal pre-emption of state legislation or regulation. cf. state regulation of business. rarely involves union activity. Does not involve constitutional interpretation unless the Court says it does.,1989-02-27,1,7,0,"Roy T. Englert, Jr.",0,loc,"https://www.oyez.org/cases/1988/87-1862"
54039,505,247,1992,American National Red Cross v. S.G.,0,505 U.S. 247,1992-06-19,91-594,1991,1991-10,"judicial administration: jurisdiction or authority of federal district courts or territorial courts",1992-03-03,1,5,4,"Roy T. Englert, Jr.",0,loc,"https://www.oyez.org/cases/1991/91-594"
54738,526,434,1999,Bank of America v. 203 North LaSalle Partnership,0,526 U.S. 434,1999-05-03,97-1418,1998,1998-10,bankruptcy (except in the context of priority of federal fiscal claims),1998-11-02,1,8,1,"Roy T. Englert, Jr.",0,loc,"https://www.oyez.org/cases/1998/97-1418"
