oyezId,volume,page,year,caseTitle,oldCite,usCite,dateDecision,docket,term,termId,issue,datesArgued,daysArgument,votesPetitioner,votesRespondent,advocateName,advocateRole,pdfSource,urlOyez
54086,507,680,1993,Withrow v. Williams,0,507 U.S. 680,1993-04-21,91-1030,1992,1992-10,habeas corpus,1992-11-03,1,5,4,Seth P. Waxman,0,loc,"https://www.oyez.org/cases/1992/91-1030"
54542,519,202,1997,"Walters v. Metropolitan Educational Enterprises, Inc.",0,519 U.S. 202,1997-01-14,95-259,1996,1996-10,"employment discrimination: on basis of race, age, religion, illegitimacy, national origin, or working conditions.",1996-11-06,1,9,0,Seth P. Waxman,0,loc,"https://www.oyez.org/cases/1996/95-259"
54501,521,74,1997,Abrams v. Johnson,0,521 U.S. 74,1997-06-19,95-1425,1996,1996-10,"Voting Rights Act of 1965, plus amendments",1996-12-09,1,4,5,Seth P. Waxman,0,loc,"https://www.oyez.org/cases/1996/95-1425"
54533,520,259,1997,United States v. Lanier,0,520 U.S. 259,1997-03-31,95-1717,1996,1996-10,"statutory construction of criminal laws: assault",1997-01-07,1,9,0,Seth P. Waxman,0,loc,"https://www.oyez.org/cases/1996/95-1717"
54563,520,939,1997,Hughes Aircraft Company v. United States ex rel. Schumer,0,520 U.S. 939,1997-06-16,95-1340,1996,1996-10,"liability, other than as in sufficiency of evidence, election of remedies, punitive damages",1997-02-25,1,9,0,Seth P. Waxman,0,loc,"https://www.oyez.org/cases/1996/95-1340"
54510,521,844,1997,Reno v. ACLU,0,521 U.S. 844,1997-06-26,96-511,1996,1996-10,"obscenity, federal",1997-03-19,1,0,9,Seth P. Waxman,0,loc,"https://www.oyez.org/cases/1996/96-511"
54656,522,479,1998,National Credit Union Administration v. First National Bank & Trust Company,0,522 U.S. 479,1998-02-25,96-843,1997,1997-10,"federal or state consumer protection: typically under the Truth in Lending; Food, Drug and Cosmetic; and Consumer Protection Credit Acts",1997-10-06,1,4,5,Seth P. Waxman,0,loc,"https://www.oyez.org/cases/1997/96-843"
54567,522,262,1998,Lachance v. Erickson,0,522 U.S. 262,1998-01-21,96-1395,1997,1997-10,"due process: hearing, government employees",1997-12-02,1,9,0,Seth P. Waxman,0,loc,"https://www.oyez.org/cases/1997/96-1395"
54663,522,398,1998,Brogan v. United States,0,522 U.S. 398,1998-01-26,96-1579,1997,1997-10,"statutory construction of criminal laws: false statements (cf. statutory construction of criminal laws: perjury)",1997-12-02,1,2,7,Seth P. Waxman,0,loc,"https://www.oyez.org/cases/1997/96-1579"
54627,524,11,1998,Federal Election Commission v. Akins,0,524 U.S. 11,1998-06-01,96-1590,1997,1997-10,"standing to sue: statutory standing",1998-01-14,1,6,3,Seth P. Waxman,0,loc,"https://www.oyez.org/cases/1997/96-1590"
54653,524,569,1998,National Endowment for the Arts v. Finley,0,524 U.S. 569,1998-06-25,97-371,1997,1997-10,"First Amendment, miscellaneous (cf. comity: First Amendment)",1998-03-31,1,8,1,Seth P. Waxman,0,loc,"https://www.oyez.org/cases/1997/97-371"
54622,524,417,1998,Clinton v. City of New York,0,524 U.S. 417,1998-06-25,97-1374,1997,1997-10,miscellaneous,1998-04-27,1,3,6,Seth P. Waxman,0,loc,"https://www.oyez.org/cases/1997/97-1374"
54681,525,366,1999,AT&T Corporation v. Iowa Utilities Board,0,525 U.S. 366,1999-01-25,97-826,1998,1998-10,"federal and some few state regulations of public utilities regulation: telephone or telegraph company",1998-10-13,1,7,1,Seth P. Waxman,0,loc,"https://www.oyez.org/cases/1998/97-826"
54742,525,316,1999,Department of Commerce v. United States House of Representatives,0,525 U.S. 316,1999-01-25,98-404,1998,1998-10,miscellaneous,1998-11-30,1,3,6,Seth P. Waxman,0,loc,"https://www.oyez.org/cases/1998/98-404"
54739,526,489,1999,Saenz v. Roe,0,526 U.S. 489,1999-05-17,98-97,1998,1998-10,"residency requirements: durational, plus discrimination against nonresidents",1999-01-13,1,2,7,Seth P. Waxman,0,loc,"https://www.oyez.org/cases/1998/98-97"
54708,527,526,1999,Kolstad v. American Dental Association,0,527 U.S. 526,1999-06-22,98-208,1998,1998-10,"liability, civil rights acts (cf. liability, governmental and liability, nongovernmental; cruel and unusual punishment, non-death penalty)",1999-03-01,1,4,5,Seth P. Waxman,0,loc,"https://www.oyez.org/cases/1998/98-208"
54704,527,706,1999,Alden v. Maine,0,527 U.S. 706,1999-06-23,98-436,1998,1998-10,"national supremacy: miscellaneous",1999-03-31,1,4,5,Seth P. Waxman,0,loc,"https://www.oyez.org/cases/1998/98-436"
54696,527,666,1999,College Savings Bank v. Florida Prepaid Post-Secondary Education Expense Board,0,527 U.S. 666,1999-06-23,98-149,1998,1998-10,"national supremacy: miscellaneous",1999-04-20,1,4,5,Seth P. Waxman,0,loc,"https://www.oyez.org/cases/1998/98-149"
54672,527,627,1999,Florida Prepaid Post-Secondary Education Expense Board v. College Savings Bank,0,527 U.S. 627,1999-06-23,98-531,1998,1998-10,"national supremacy: miscellaneous",1999-04-20,1,5,4,Seth P. Waxman,0,loc,"https://www.oyez.org/cases/1998/98-531"
54809,528,377,2000,Nixon v. Shrink Missouri Government PAC,0,528 U.S. 377,2000-01-24,98-963,1999,1999-10,"campaign spending (cf. governmental corruption):",1999-10-05,1,6,3,Seth P. Waxman,0,loc,"https://www.oyez.org/cases/1999/98-963"
54807,528,141,2000,Reno v. Condon,0,528 U.S. 141,2000-01-12,98-1464,1999,1999-10,"national supremacy: miscellaneous",1999-11-10,1,9,0,Seth P. Waxman,0,loc,"https://www.oyez.org/cases/1999/98-1464"
54772,529,120,2000,Food and Drug Administration v. Brown & Williamson Tobacco Corporation,0,529 U.S. 120,2000-03-21,98-1152,1999,1999-10,"federal or state consumer protection: typically under the Truth in Lending; Food, Drug and Cosmetic; and Consumer Protection Credit Acts",1999-12-01,1,4,5,Seth P. Waxman,0,loc,"https://www.oyez.org/cases/1999/98-1152"
54819,529,598,2000,United States v. Morrison,0,529 U.S. 598,2000-05-15,99-5,1999,1999-10,"national supremacy: miscellaneous",2000-01-11,1,4,5,Seth P. Waxman,0,loc,"https://www.oyez.org/cases/1999/99-5"
54835,530,363,2000,Crosby v. National Foreign Trade Council,0,530 U.S. 363,2000-06-19,99-474,1999,1999-10,"national supremacy: commodities",2000-03-22,1,0,9,Seth P. Waxman,0,loc,"https://www.oyez.org/cases/1999/99-474"
54850,530,428,2000,Dickerson v. United States,0,530 U.S. 428,2000-06-26,99-5525,1999,1999-10,Miranda warnings,2000-04-19,1,7,2,Seth P. Waxman,0,loc,"https://www.oyez.org/cases/1999/99-5525"
54873,531,356,2001,Board of Trustees of University of Alabama v. Garrett,0,531 U.S. 356,2001-02-21,99-1240,2000,2000-10,"national supremacy: miscellaneous",2000-10-11,1,5,4,Seth P. Waxman,0,loc,"https://www.oyez.org/cases/2000/99-1240"
54906,531,457,2001,"Whitman v. American Trucking Associations, Inc.",0,531 U.S. 457,2001-02-27,"99-1257,99-1426",2000,2000-10,"natural resources - environmental protection (cf. national supremacy: natural resources, national supremacy: pollution)",2000-11-07,1,9,0,Seth P. Waxman,0,loc,"https://www.oyez.org/cases/2000/99-1257"
54941,532,514,2001,Bartnicki v. Vopper,0,532 U.S. 514,2001-05-21,99-1687,2000,2000-10,"libel, privacy: true and false light invasions of privacy",2000-12-05,1,3,6,Seth P. Waxman,0,loc,"https://www.oyez.org/cases/2000/99-1687"
54870,532,275,2001,Alexander v. Sandoval,0,532 U.S. 275,2001-04-24,99-1908,2000,2000-10,"standing to sue: private or implied cause of action",2001-01-16,1,5,4,Seth P. Waxman,0,loc,"https://www.oyez.org/cases/2000/99-1908"
55023,536,1,2002,Devlin v. Scardelletti,0,536 U.S. 1,2002-06-10,01-417,2001,2001-10,"Federal Rules of Civil Procedure including Supreme Court Rules, application of the Federal Rules of Evidence, Federal Rules of Appellate Procedure in civil litigation, Circuit Court Rules, and state rules and admiralty rules",2002-03-26,1,6,3,Seth P. Waxman,0,loc,"https://www.oyez.org/cases/2001/01-417"
55115,537,1,2002,Ford Motor Co. v. McCauley,0,537 U.S. 1,2002-10-15,01-896,2002,2002-10,"no merits: writ improvidently granted",2002-10-07,1,0,9,Seth P. Waxman,0,loc,"https://www.oyez.org/cases/2002/01-896"
55054,537,322,2003,Miller-El v. Cockrell,0,537 U.S. 322,2003-02-25,01-7662,2002,2002-10,habeas corpus,2002-10-16,1,8,1,Seth P. Waxman,0,loc,"https://www.oyez.org/cases/2002/01-7662"
55059,539,111,2003,Dow Chemical Company v. Stephenson,0,539 U.S. 111,2003-06-09,02-271,2002,2002-10,"judicial administration: jurisdiction or authority of federal courts of appeals",2003-02-26,1,8,0,Seth P. Waxman,0,loc,"https://www.oyez.org/cases/2002/02-271"
55045,539,1,2003,Beneficial National Bank v. Anderson,0,539 U.S. 1,2003-06-02,02-306,2002,2002-10,"judicial administration: jurisdiction or authority of federal district courts or territorial courts",2003-04-30,1,7,2,Seth P. Waxman,0,loc,"https://www.oyez.org/cases/2002/02-306"
56172,540,93,2003,McConnell v. Federal Election Commission,0,540 U.S. 93,2003-12-10,"02-1674,02-1675,02-1676,02-1702,02-1727,02-1733,02-1734,02-1740,02-1747,02-1753,02-1755,02-1756",2003,2003-10,"campaign spending (cf. governmental corruption):",2003-09-08,1,5,4,Seth P. Waxman,0,loc,"https://www.oyez.org/cases/2003/02-1674"
55187,540,519,2004,Fellers v. United States,0,540 U.S. 519,2004-01-26,02-6320,2003,2003-10,right to counsel (cf. indigents appointment of counsel or inadequate representation),2003-12-10,1,9,0,Seth P. Waxman,0,loc,"https://www.oyez.org/cases/2003/02-6320"
55175,541,246,2004,Engine Manufacturers' Association v. South Coast Air Quality Management District,0,541 U.S. 246,2004-04-28,02-1343,2003,2003-10,federal pre-emption of state legislation or regulation. cf. state regulation of business. rarely involves union activity. Does not involve constitutional interpretation unless the Court says it does.,2004-01-14,1,8,1,Seth P. Waxman,0,loc,"https://www.oyez.org/cases/2003/02-1343"
55177,541,232,2004,"Household Credit Services, Inc. v. Pfennig",0,541 U.S. 232,2004-04-21,02-857,2003,2003-10,"federal or state consumer protection: typically under the Truth in Lending; Food, Drug and Cosmetic; and Consumer Protection Credit Acts",2004-02-23,1,9,0,Seth P. Waxman,0,loc,"https://www.oyez.org/cases/2003/02-857"
55131,542,241,2004,"Intel Corporation v. Advanced Micro Devices, Inc.",0,542 U.S. 241,2004-06-21,02-572,2003,2003-10,Freedom of Information Act and related federal or state statutes or regulations,2004-04-20,1,1,8,Seth P. Waxman,0,loc,"https://www.oyez.org/cases/2003/02-572"
55266,543,551,2005,Roper v. Simmons,0,543 U.S. 551,2005-03-01,03-633,2004,2004-10,"cruel and unusual punishment, death penalty (cf. extra legal jury influence, death penalty)",2004-10-13,1,4,5,Seth P. Waxman,0,scotusBound,"https://www.oyez.org/cases/2004/03-633"
55283,545,0,2005,Miller-El v. Dretke,0,545 U.S. ___,2005-06-13,03-9659,2004,2004-10,habeas corpus,2004-12-06,1,6,3,Seth P. Waxman,0,scotusBound,"https://www.oyez.org/cases/2004/03-9659"
55244,544,431,2005,Bates v. Dow Agrosciences LLC,0,544 U.S. 431,2005-04-27,03-388,2004,2004-10,federal pre-emption of state court jurisdiction,2005-01-10,1,7,2,Seth P. Waxman,0,scotusBound,"https://www.oyez.org/cases/2004/03-388"
55235,544,113,2005,City of Rancho Palos Verdes v. Abrams,0,544 U.S. 113,2005-03-22,03-1601,2004,2004-10,"liability, civil rights acts (cf. liability, governmental and liability, nongovernmental; cruel and unusual punishment, non-death penalty)",2005-01-19,1,9,0,Seth P. Waxman,0,scotusBound,"https://www.oyez.org/cases/2004/03-1601"
55223,545,0,2005,"San Remo Hotel, L.P. v. City and County of San Francisco, California",0,545 U.S. ___,2005-06-20,04-340,2004,2004-10,"due process: takings clause, or other non-constitutional governmental taking of property",2005-03-28,1,0,9,Seth P. Waxman,0,scotusBound,"https://www.oyez.org/cases/2004/04-340"
55299,547,388,2006,"eBay Inc. v. MercExchange, L.L.C.",0,547 U.S. 388,2006-05-15,05-130,2005,2005-10,"patents and copyrights: patentability of computer processes",2006-03-29,1,9,0,Seth P. Waxman,0,scotusBound,"https://www.oyez.org/cases/2005/05-130"
55424,549,483,2007,Limtiaco v. Camacho,0,549 U.S. 483,2007-03-27,06-116,2006,2006-10,state or local government tax,2007-01-08,1,5,4,Seth P. Waxman,0,scotusBound,"https://www.oyez.org/cases/2006/06-116"
55409,550,437,2007,Microsoft Corp. v. AT&T Corp.,0,550 U.S. 437,2007-04-30,05-1056,2006,2006-10,"patents and copyrights: patentability of computer processes",2007-02-21,1,7,1,Seth P. Waxman,0,scotusBound,"https://www.oyez.org/cases/2006/05-1056"
55412,551,449,2007,"Federal Election Commission v. Wisconsin Right to Life, Inc.",0,551 U.S. 449,2007-06-25,"06-969,06-970",2006,2006-10,"campaign spending (cf. governmental corruption):",2007-04-25,1,4,5,Seth P. Waxman,0,scotusBound,"https://www.oyez.org/cases/2006/06-969"
55498,553,723,2008,Boumediene v. Bush,0,553 U.S. 723,2008-06-12,"06-1195,06-1196",2007,2007-10,habeas corpus,2007-12-05,1,5,4,Seth P. Waxman,0,scotusBound,"https://www.oyez.org/cases/2007/06-1195"
55472,554,84,2008,Meacham v. Knolls Atomic Power Laboratory,0,554 U.S. 84,2008-06-19,06-1505,2007,2007-10,"employment discrimination: on basis of race, age, religion, illegitimacy, national origin, or working conditions.",2008-04-23,1,7,1,Seth P. Waxman,0,scotusBound,"https://www.oyez.org/cases/2007/06-1505"
55586,555,0,2009,Wyeth v. Levine,0,555 U.S. ___,2009-03-04,06-1249,2008,2008-10,federal pre-emption of state legislation or regulation. cf. state regulation of business. rarely involves union activity. Does not involve constitutional interpretation unless the Court says it does.,2008-11-03,1,3,6,Seth P. Waxman,0,scotusBound,"https://www.oyez.org/cases/2008/06-1249"
55589,558,0,2010,Citizens United v. Federal Election Commission,0,558 U.S. ___,2010-01-21,08-205,2008,2008-10,"campaign spending (cf. governmental corruption):","2009-03-24,2009-09-09",2,5,4,Seth P. Waxman,0,scotusBound,"https://www.oyez.org/cases/2008/08-205"
55608,557,0,2009,"Cuomo v. Clearing House Assn., L. L. C.",0,557 U.S. ___,2009-06-29,08-453,2008,2008-10,federal pre-emption of state legislation or regulation. cf. state regulation of business. rarely involves union activity. Does not involve constitutional interpretation unless the Court says it does.,2009-04-28,1,5,4,Seth P. Waxman,0,scotusBound,"https://www.oyez.org/cases/2008/08-453"
55654,559,662,2010,Stolt-Nielsen v. Animalfeeds International Corp.,0,559 U.S. 662,2010-04-27,08-1198,2009,2009-10,arbitration (other than as pertains to labor-management or employer-employee relations (cf. union arbitration),2009-12-09,1,5,3,Seth P. Waxman,0,scotusBound,"https://www.oyez.org/cases/2009/08-1198"
55760,562,195,2011,Chase Bank USA v. McCoy,0,562 U.S. 195,2011-01-24,09-329,2010,2010-10,"federal or state consumer protection: typically under the Truth in Lending; Food, Drug and Cosmetic; and Consumer Protection Credit Acts",2010-12-08,1,9,0,Seth P. Waxman,0,scotusBound,"https://www.oyez.org/cases/2010/09-329"
55789,564,0,2011,Turner v. Rogers,0,564 U.S. ___,2011-06-20,10-10,2010,2010-10,contempt of court or congress,2011-03-23,1,5,4,Seth P. Waxman,0,scotusBound,"https://www.oyez.org/cases/2010/10-10"
55762,564,0,2011,Microsoft Corp. v. i4i Limited Partnership,0,564 U.S. ___,2011-06-09,10-290,2010,2010-10,"patents and copyrights: patentability of computer processes",2011-04-18,1,0,8,Seth P. Waxman,0,scotusBound,"https://www.oyez.org/cases/2010/10-290"
55855,565,0,2012,Martel v. Clair,0,565 U.S. ___,2012-03-05,10-1265,2011,2011-10,"indigents: appointment of counsel (cf. right to counsel)",2011-12-06,1,9,0,Seth P. Waxman,0,scotusBound,"https://www.oyez.org/cases/2011/10-1265"
55815,567,0,2012,FCC v. Fox Television Stations,0,567 U.S. ___,2012-06-21,10-1293,2011,2011-10,"due process: miscellaneous (cf. loyalty oath), the residual code",2012-01-10,1,0,8,Seth P. Waxman,0,scotusBound,"https://www.oyez.org/cases/2011/10-1293"
55907,568,455,2013,Amgen Inc. v. Connecticut Retirement Plans and Trust Funds,0,568 U.S. 455,2013-02-27,11-1085,2012,2012-10,federal or state regulation of securities,2012-11-05,1,3,6,Seth P. Waxman,0,slipopinion/12,"https://www.oyez.org/cases/2012/11-1085"
55896,568,216,2013,FTC v. Phoebe Putney Health System,0,568 U.S. 216,2013-02-19,11-1160,2012,2012-10,antitrust (except in the context of mergers and union antitrust),2012-11-26,1,9,0,Seth P. Waxman,0,slipopinion/12,"https://www.oyez.org/cases/2012/11-1160"
55944,569,278,2013,Bowman v. Monsanto,0,569 U.S. 278,2013-05-13,11-796,2012,2012-10,"patents and copyrights: patent",2013-02-19,1,0,9,Seth P. Waxman,0,slipopinion/12,"https://www.oyez.org/cases/2012/11-796"
55963,569,564,2013,Oxford Health Plans v. Sutter,0,569 U.S. 564,2013-06-10,12-135,2012,2012-10,arbitration (other than as pertains to labor-management or employer-employee relations (cf. union arbitration),2013-03-25,1,0,9,Seth P. Waxman,0,slipopinion/12,"https://www.oyez.org/cases/2012/12-135"
56000,571,0,2014,"Medtronic, Inc. v. Boston Scientific Corp.",0,571 U.S. ___,2014-01-22,12-1128,2013,2013-10,"patents and copyrights: patent",2013-11-05,1,9,0,Seth P. Waxman,0,slipopinion/13,"https://www.oyez.org/cases/2013/12-1128"
56033,572,0,2014,Hall v. Florida,0,572 U.S. ___,2014-05-27,12-10882,2013,2013-10,"cruel and unusual punishment, death penalty (cf. extra legal jury influence, death penalty)",2014-03-03,1,5,4,Seth P. Waxman,0,slipopinion/13,"https://www.oyez.org/cases/2013/12-10882"
62254,573,0,2014,"Pom Wonderful, LLC v. The Coca-Cola Company",0,573 U.S. ___,2014-06-12,12-761,2013,2013-10,"federal or state consumer protection: typically under the Truth in Lending; Food, Drug and Cosmetic; and Consumer Protection Credit Acts",2014-04-21,1,8,0,Seth P. Waxman,0,slipopinion/13,"https://www.oyez.org/cases/2013/12-761"
62255,572,0,2014,Limelight Networks v. Akamai Technologies,0,572 U.S. ___,2014-06-02,12-786,2013,2013-10,"patents and copyrights: patent",2014-04-30,1,9,0,Seth P. Waxman,0,slipopinion/13,"https://www.oyez.org/cases/2013/12-786"
