oyezId,volume,page,year,caseTitle,oldCite,usCite,dateDecision,docket,term,termId,issue,datesArgued,daysArgument,votesPetitioner,votesRespondent,advocateName,advocateRole,pdfSource,urlOyez
55629,560,305,2010,Samantar v. Yousuf,0,560 U.S. 305,2010-06-01,08-1555,2009,2009-10,"liability, other than as in sufficiency of evidence, election of remedies, punitive damages",2010-03-03,1,0,9,Shay Dvoretzky,0,scotusBound,"https://www.oyez.org/cases/2009/08-1555"
56154,575,0,2015,"Equal Employment Opportunity Commission v. Abercrombie & Fitch Stores, Inc.",0,575 U.S. ___,2015-06-01,14-86,2014,2014-10,"employment discrimination: on basis of race, age, religion, illegitimacy, national origin, or working conditions.",2015-02-25,1,8,1,Shay Dvoretzky,0,slipopinion/14,"https://www.oyez.org/cases/2014/14-86"
62619,578,0,2016,Husky Electronics v. Ritz,0,578 U.S. ___,2016-05-16,15-145,2015,2015-10,bankruptcy (except in the context of priority of federal fiscal claims),2016-03-01,1,7,1,Shay Dvoretzky,0,slipopinion/15,"https://www.oyez.org/cases/2015/15-145"
62721,580,0,2017,"National Labor Relations Board v. SW General, Inc.",0,580 U.S. ___,2017-03-21,15-1251,2016,2016-10,executive authority vis-a-vis congress or the states,2016-11-07,1,2,6,Shay Dvoretzky,0,slipopinion/16,"https://www.oyez.org/cases/2016/15-1251"
62800,581,0,2017,"Town of Chester v. Laroe Estates, Inc.",0,581 U.S. ___,2017-06-05,16-605,2016,2016-10,"standing to sue: miscellaneous",2017-04-17,1,9,0,Shay Dvoretzky,0,slipopinion/16,"https://www.oyez.org/cases/2016/16-605"
62922,585,0,2018,"Lozman v. City of Riviera Beach, Florida",0,585 U.S. ___,2018-06-18,17-21,2017,2017-10,"First Amendment, miscellaneous (cf. comity: First Amendment)",2018-02-27,1,8,1,Shay Dvoretzky,0,slipopinion/17,"https://www.oyez.org/cases/2017/17-21"
62930,584,0,2018,Sveen v. Melin,0,584 U.S. ___,2018-06-11,16-1432,2017,2017-10,"state or local government regulation, especially of business (cf. federal pre-emption of state court jurisdiction, federal pre-emption of state legislation or regulation)",2018-03-19,1,8,1,Shay Dvoretzky,0,slipopinion/17,"https://www.oyez.org/cases/2017/16-1432"
62993,0,0,0,Air and Liquid Systems Corp. v. Devries,0,___ U.S. ___,0,17-1104,2018,2018-10,0,2018-10-10,1,0,0,Shay Dvoretzky,0,slipopinion/18,"https://www.oyez.org/cases/2018/17-1104"
63017,0,0,0,Merck Sharp & Dohme Corp. v. Albrecht,0,___ U.S. ___,0,17-290,2018,2018-10,0,2019-01-07,1,0,0,Shay Dvoretzky,0,slipopinion/18,"https://www.oyez.org/cases/2018/17-290"
63031,0,0,0,Tennessee Wine and Spirits Retailers Association v. Blair,0,___ U.S. ___,0,18-96,2018,2018-10,0,2019-01-16,1,0,0,Shay Dvoretzky,0,slipopinion/18,"https://www.oyez.org/cases/2018/18-96"
63102,589,0,2019,Rotkiske v. Klemm,0,589 U.S. ___,2019-12-10,18-328,2019,2019-10,0,2019-10-16,1,0,0,Shay Dvoretzky,0,slipopinion/19,"https://www.oyez.org/cases/2019/18-328"
63154,590,0,2020,GE Energy Power Conversion France SAS v. Outokumpu Stainless USA LLC,0,590 U.S. ___,2020-06-01,18-1048,2019,2019-10,0,2020-01-21,1,0,0,Shay Dvoretzky,0,slipopinion/19,"https://www.oyez.org/cases/2019/18-1048"
63297,593,0,2021,Caniglia v. Strom,0,593 U.S. ___,2021-05-17,20-157,2020,2020-10,0,2021-03-24,1,0,0,Shay Dvoretzky,0,slipopinion/20,"https://www.oyez.org/cases/2020/20-157"
63428,596,0,2022,Southwest Airlines Co. v. Saxon,0,596 U.S. ___,2022-06-06,21-309,2021,2021-10,0,2022-03-28,1,0,0,Shay Dvoretzky,0,slipopinion/21,"https://www.oyez.org/cases/2021/21-309"
63504,598,0,2023,"Perez v. Sturgis Public Schools, et al.",0,598 U.S. ___,2023-03-21,21-887,2022,2022-10,0,2023-01-18,1,0,0,Shay Dvoretzky,0,slipopinion/22,"https://www.oyez.org/cases/2022/21-887"
63525,0,0,0,Arizona v. Navajo Nation,0,___ U.S. ___,2023-06-22,"21-1484,22-51",2022,2022-10,0,2023-03-20,1,0,0,Shay Dvoretzky,0,slipopinion/22,"https://www.oyez.org/cases/2022/21-1484"
63538,598,0,2023,Polselli v. Internal Revenue Service,0,598 U.S. ___,2023-05-18,21-1599,2022,2022-10,0,2023-03-29,1,0,0,Shay Dvoretzky,0,slipopinion/22,"https://www.oyez.org/cases/2022/21-1599"
63561,0,0,0,Pulsifer v. United States,0,___ U.S. ___,0,22-340,2023,2023-10,0,2023-10-02,1,0,0,Shay Dvoretzky,0,slipopinion/23,"https://www.oyez.org/cases/2023/22-340"
63578,0,0,0,Culley v. Marshall,0,___ U.S. ___,0,22-585,2023,2023-10,0,2023-10-30,1,0,0,Shay Dvoretzky,0,slipopinion/23,"https://www.oyez.org/cases/2023/22-585"
