oyezId,volume,page,year,caseTitle,oldCite,usCite,dateDecision,docket,term,termId,issue,datesArgued,daysArgument,votesPetitioner,votesRespondent,advocateName,advocateRole,pdfSource,urlOyez
55098,537,101,2003,Sattazahn v. Pennsylvania,0,537 U.S. 101,2003-01-14,01-7574,2002,2002-10,double jeopardy,2002-11-04,1,4,5,Sri Srinivasan,0,loc,"https://www.oyez.org/cases/2002/01-7574"
55095,538,500,2003,Massaro v. United States,0,538 U.S. 500,2003-04-23,01-1559,2002,2002-10,habeas corpus,2003-02-25,1,9,0,Sri Srinivasan,0,loc,"https://www.oyez.org/cases/2002/01-1559"
55172,540,366,2003,Maryland v. Pringle,0,540 U.S. 366,2003-12-15,02-809,2003,2003-10,"search and seizure, vehicles",2003-11-03,1,9,0,Sri Srinivasan,0,loc,"https://www.oyez.org/cases/2003/02-809"
55122,542,177,2004,"Hiibel v. Sixth Judicial District Court of Nevada, Humboldt County",0,542 U.S. 177,2004-06-21,03-5554,2003,2003-10,search and seizure (other than as pertains to vehicles or Crime Control Act),2004-03-22,1,4,5,Sri Srinivasan,0,loc,"https://www.oyez.org/cases/2003/03-5554"
55275,543,631,2005,Cherokee Nation of Oklahoma v. Leavitt,0,543 U.S. 631,2005-03-01,02-1472,2004,2004-10,"Indians, state jurisdiction over",2004-11-09,1,8,0,Sri Srinivasan,0,scotusBound,"https://www.oyez.org/cases/2004/02-1472"
55211,543,462,2005,Smith v. Massachusetts,0,543 U.S. 462,2005-02-22,03-8661,2004,2004-10,double jeopardy,2004-12-01,1,5,4,Sri Srinivasan,0,scotusBound,"https://www.oyez.org/cases/2004/03-8661"
55298,546,303,2006,"Wachovia Bank, N.A. v. Schmidt",0,546 U.S. 303,2006-01-17,04-1186,2005,2005-10,"judicial administration: jurisdiction or authority of federal district courts or territorial courts",2005-11-28,1,8,0,Sri Srinivasan,0,scotusBound,"https://www.oyez.org/cases/2005/04-1186"
55368,548,30,2006,Fernandez-Vargas v. Gonzales,0,548 U.S. 30,2006-06-22,04-1376,2005,2005-10,deportation (cf. immigration and naturalization),2006-03-22,1,1,8,Sri Srinivasan,0,scotusBound,"https://www.oyez.org/cases/2005/04-1376"
55367,547,677,2006,"Empire HealthChoice Assurance, Inc. v. McVeigh",0,547 U.S. 677,2006-06-15,05-200,2005,2005-10,"judicial administration: jurisdiction or authority of federal district courts or territorial courts",2006-04-25,1,4,5,Sri Srinivasan,0,scotusBound,"https://www.oyez.org/cases/2005/05-200"
55454,550,1,2007,"Watters v. Wachovia Bank, N.A.",0,550 U.S. 1,2007-04-17,05-1342,2006,2006-10,federal pre-emption of state legislation or regulation. cf. state regulation of business. rarely involves union activity. Does not involve constitutional interpretation unless the Court says it does.,2006-11-29,1,3,5,Sri Srinivasan,0,scotusBound,"https://www.oyez.org/cases/2006/05-1342"
55427,550,81,2007,Zuni Public School Dist. No. 89 v. Department of Education,0,550 U.S. 81,2007-04-17,05-1508,2006,2006-10,judicial review of administrative agency's or administrative official's actions and procedures,2007-01-10,1,4,5,Sri Srinivasan,0,scotusBound,"https://www.oyez.org/cases/2006/05-1508"
55408,551,193,2007,Permanent Mission of India to the United Nations v. City of New York,0,551 U.S. 193,2007-06-14,06-134,2006,2006-10,state or local government tax,2007-04-24,1,2,7,Sri Srinivasan,0,scotusBound,"https://www.oyez.org/cases/2006/06-134"
55603,556,816,2009,Abuelhawa v. United States,0,556 U.S. 816,2009-05-26,08-192,2008,2008-10,"statutory construction of criminal laws: narcotics includes regulation and prohibition of alcohol",2009-03-04,1,9,0,Sri Srinivasan,0,scotusBound,"https://www.oyez.org/cases/2008/08-192"
55555,557,0,2009,Horne v. Flores,0,557 U.S. ___,2009-06-25,08-289,2008,2008-10,"desegregation, schools",2009-04-20,1,5,4,Sri Srinivasan,0,scotusBound,"https://www.oyez.org/cases/2008/08-289"
55716,559,77,2010,Hertz Corp. v. Friend,0,559 U.S. 77,2010-02-23,08-1107,2009,2009-10,"miscellaneous judicial power, especially diversity jurisdiction",2009-11-10,1,9,0,Sri Srinivasan,0,scotusBound,"https://www.oyez.org/cases/2009/08-1107"
55710,561,358,2010,Skilling v. United States,0,561 U.S. 358,2010-06-24,08-1394,2009,2009-10,"statutory construction of criminal laws: fraud",2010-03-01,1,9,0,Sri Srinivasan,0,scotusBound,"https://www.oyez.org/cases/2009/08-1394"
55661,560,563,2010,Carachuri-Rosendo v. Holder,0,560 U.S. 563,2010-06-14,09-60,2009,2009-10,deportation (cf. immigration and naturalization),2010-03-31,1,9,0,Sri Srinivasan,0,scotusBound,"https://www.oyez.org/cases/2009/09-60"
55889,565,0,2012,Messerschmidt v. Millender,0,565 U.S. ___,2012-02-22,10-704,2011,2011-10,"liability, civil rights acts (cf. liability, governmental and liability, nongovernmental; cruel and unusual punishment, non-death penalty)",2011-12-05,1,6,3,Sri Srinivasan,0,scotusBound,"https://www.oyez.org/cases/2011/10-704"
55828,565,0,2012,Perry v. Perez,0,565 U.S. ___,2012-01-20,11-713,2011,2011-10,"reapportionment: other than plans governed by the Voting Rights Act",2012-01-09,1,9,0,Sri Srinivasan,0,scotusBound,"https://www.oyez.org/cases/2011/11-713"
55850,566,0,2012,Reichle v. Howards,0,566 U.S. ___,2012-06-04,11-262,2011,2011-10,"liability, civil rights acts (cf. liability, governmental and liability, nongovernmental; cruel and unusual punishment, non-death penalty)",2012-03-21,1,8,0,Sri Srinivasan,0,scotusBound,"https://www.oyez.org/cases/2011/11-262"
55905,568,0,2012,United States v. Bormes,0,568 U.S. ___,2012-11-13,11-192,2012,2012-10,"privacy (cf. libel, comity: privacy)",2012-10-02,1,9,0,Sri Srinivasan,0,slipopinion/12,"https://www.oyez.org/cases/2012/11-192"
55917,570,0,2013,Vance v. Ball State University,0,570 U.S. ___,2013-06-24,11-556,2012,2012-10,"liability, civil rights acts (cf. liability, governmental and liability, nongovernmental; cruel and unusual punishment, non-death penalty)",2012-11-26,1,4,5,Sri Srinivasan,0,slipopinion/12,"https://www.oyez.org/cases/2012/11-556"
55910,570,0,2013,Arizona v. Inter Tribal Council of Arizona,0,570 U.S. ___,2013-06-17,12-71,2012,2012-10,voting,2013-03-18,1,2,7,Sri Srinivasan,0,slipopinion/12,"https://www.oyez.org/cases/2012/12-71"
55916,570,0,2013,United States v. Windsor,0,570 U.S. ___,2013-06-26,12-307,2012,2012-10,"due process: miscellaneous (cf. loyalty oath), the residual code",2013-03-27,1,4,5,Sri Srinivasan,0,slipopinion/12,"https://www.oyez.org/cases/2012/12-307"
55926,570,0,2013,Agency for International Development v. Alliance for Open Society International,0,570 U.S. ___,2013-06-20,12-10,2012,2012-10,"First Amendment, miscellaneous (cf. comity: First Amendment)",2013-04-22,1,2,6,Sri Srinivasan,0,slipopinion/12,"https://www.oyez.org/cases/2012/12-10"
