oyezId,volume,page,year,caseTitle,oldCite,usCite,dateDecision,docket,term,termId,issue,datesArgued,daysArgument,votesPetitioner,votesRespondent,advocateName,advocateRole,pdfSource,urlOyez
51905,439,234,1978,Board of Governors of Federal Reserve System v. First Lincolnwood Corporation,0,439 U.S. 234,1978-12-11,77-832,1978,1978-10,mergers,1978-10-11,1,7,2,Stephen M. Shapiro,0,loc,"https://www.oyez.org/cases/1978/77-832"
51932,441,768,1979,United States v. Naftalin,0,441 U.S. 768,1979-05-21,78-561,1978,1978-10,federal or state regulation of securities,1979-03-26,1,8,0,Stephen M. Shapiro,0,loc,"https://www.oyez.org/cases/1978/78-561"
52110,444,37,1979,Perrin v. United States,0,444 U.S. 37,1979-11-27,78-959,1979,1979-10,"statutory construction of criminal laws: Travel Act, 18 USC 1952",1979-10-03,1,0,8,Stephen M. Shapiro,0,loc,"https://www.oyez.org/cases/1979/78-959"
52079,445,222,1980,Chiarella v. United States,0,445 U.S. 222,1980-03-18,78-1202,1979,1979-10,"statutory construction of criminal laws: financial (other than in fraud or internal revenue)",1979-11-05,1,6,3,Stephen M. Shapiro,0,loc,"https://www.oyez.org/cases/1979/78-1202"
52130,445,552,1980,Roberts v. United States,0,445 U.S. 552,1980-04-15,78-1793,1979,1979-10,self-incrimination (other than as pertains to Miranda or immunity from prosecution),"1980-01-14,1980-01-15",2,1,8,Stephen M. Shapiro,0,loc,"https://www.oyez.org/cases/1979/78-1793"
52151,447,1,1980,United States v. California,0,447 U.S. 1,1980-06-09,5 Orig.,1979,1979-10,Submerged Lands Act (cf. federal-state ownership dispute),1980-03-17,1,8,0,Stephen M. Shapiro,0,loc,"https://www.oyez.org/cases/1979/5_orig"
52275,450,46,1981,Board of Governors of the Federal Reserve System v. Investment Company Institute,0,450 U.S. 46,1981-02-24,79-927,1980,1980-10,federal or state regulation of securities,1980-10-15,1,6,0,Stephen M. Shapiro,0,loc,"https://www.oyez.org/cases/1980/79-927"
52255,449,424,1981,Rubin v. United States,0,449 U.S. 424,1981-01-21,79-1013,1980,1980-10,"statutory construction of criminal laws: false statements (cf. statutory construction of criminal laws: perjury)",1980-11-12,1,0,9,Stephen M. Shapiro,0,loc,"https://www.oyez.org/cases/1980/79-1013"
52370,453,367,1981,"CBS, Inc. v. Federal Communications Commission",0,453 U.S. 367,1981-07-01,80-207,1980,1980-10,"federal and some few state regulation of public utilities regulation: radio and television (cf. cable television)",1981-03-03,1,3,6,Stephen M. Shapiro,0,loc,"https://www.oyez.org/cases/1980/80-207"
52398,457,332,1982,Arizona v. Maricopa County Medical Society,0,457 U.S. 332,1982-06-18,80-419,1981,1981-10,antitrust (except in the context of mergers and union antitrust),1981-11-04,1,4,3,Stephen M. Shapiro,0,loc,"https://www.oyez.org/cases/1981/80-419"
52403,457,624,1982,Edgar v. MITE Corporation,0,457 U.S. 624,1982-06-23,80-1188,1981,1981-10,"state or local government regulation, especially of business (cf. federal pre-emption of state court jurisdiction, federal pre-emption of state legislation or regulation)",1981-11-30,1,3,6,Stephen M. Shapiro,0,loc,"https://www.oyez.org/cases/1981/80-1188"
52487,456,556,1982,"American Society of Mechanical Engineers, Inc. v. Hydrolevel Corporation",0,456 U.S. 556,1982-05-17,80-1765,1981,1981-10,antitrust (except in the context of mergers and union antitrust),1982-01-13,1,3,6,Stephen M. Shapiro,0,loc,"https://www.oyez.org/cases/1981/80-1765"
52529,458,141,1982,Fidelity Federal Savings & Loan Association v. De la Cuesta,0,458 U.S. 141,1982-06-28,81-750,1981,1981-10,federal pre-emption of state legislation or regulation. cf. state regulation of business. rarely involves union activity. Does not involve constitutional interpretation unless the Court says it does.,1982-04-28,1,6,2,Stephen M. Shapiro,0,loc,"https://www.oyez.org/cases/1981/81-750"
52670,460,428,1983,"Falls City Industries, Inc. v. Vanco Beverage, Inc.",0,460 U.S. 428,1983-03-22,81-1271,1982,1982-10,antitrust (except in the context of mergers and union antitrust),1982-10-13,1,9,0,Stephen M. Shapiro,0,loc,"https://www.oyez.org/cases/1982/81-1271"
52923,465,770,1984,"Keeton v. Hustler Magazine, Inc.",0,465 U.S. 770,1984-03-20,82-485,1983,1983-10,"due process: jurisdiction (jurisdiction over non-resident litigants)",1983-11-08,1,9,0,Stephen M. Shapiro,0,loc,"https://www.oyez.org/cases/1983/82-485"
53039,472,159,1985,"Northeast Bancorp, Inc. v. Board of Governors of the Federal Reserve System",0,472 U.S. 159,1985-06-10,84-363,1984,1984-10,mergers,1985-04-15,1,0,8,Stephen M. Shapiro,0,loc,"https://www.oyez.org/cases/1984/84-363"
53403,483,266,1987,"American Trucking Associations, Inc. v. Scheiner",0,483 U.S. 266,1987-06-23,86-357,1986,1986-10,state or local government tax,1987-04-28,1,5,4,Stephen M. Shapiro,0,loc,"https://www.oyez.org/cases/1986/86-357"
53904,501,1083,1991,"Virginia Bankshares, Inc.  v. Sandberg",0,501 U.S. 1083,1991-06-27,89-1448,1990,1990-10,federal or state regulation of securities,1990-10-09,1,5,4,Stephen M. Shapiro,0,loc,"https://www.oyez.org/cases/1990/89-1448"
54060,509,764,1993,Hartford Fire Insurance Company v. California,0,509 U.S. 764,1993-06-28,91-1111,1992,1992-10,antitrust (except in the context of mergers and union antitrust),1993-02-23,1,5,4,Stephen M. Shapiro,0,loc,"https://www.oyez.org/cases/1992/91-1111"
54504,521,591,1997,"Amchem Products, Inc. v. Windsor",0,521 U.S. 591,1997-06-25,96-270,1996,1996-10,"Federal Rules of Civil Procedure including Supreme Court Rules, application of the Federal Rules of Evidence, Federal Rules of Appellate Procedure in civil litigation, Circuit Court Rules, and state rules and admiralty rules",1997-02-18,1,2,6,Stephen M. Shapiro,0,loc,"https://www.oyez.org/cases/1996/96-270"
54954,536,73,2002,"Chevron U.S.A., Inc. v. Echazabal",0,536 U.S. 73,2002-06-10,00-1406,2001,2001-10,"handicapped, rights of: under Rehabilitation, Americans with Disabilities Act, and related statutes",2002-02-27,1,9,0,Stephen M. Shapiro,0,loc,"https://www.oyez.org/cases/2001/00-1406"
55096,537,51,2002,Sprietsma v. Mercury Marine,0,537 U.S. 51,2002-12-03,01-706,2002,2002-10,federal pre-emption of state court jurisdiction,2002-10-15,1,9,0,Stephen M. Shapiro,0,loc,"https://www.oyez.org/cases/2002/01-706"
55161,542,155,2004,"F. Hoffman-LaRoche, Ltd. v. Empagran S.A.",0,542 U.S. 155,2004-06-14,03-724,2003,2003-10,antitrust (except in the context of mergers and union antitrust),2004-04-26,1,8,0,Stephen M. Shapiro,0,loc,"https://www.oyez.org/cases/2003/03-724"
55245,544,40,2005,Ballard v. Commissioner of Internal Revenue,0,544 U.S. 40,2005-03-07,03-184,2004,2004-10,judicial review of administrative agency's or administrative official's actions and procedures,2004-12-07,1,7,2,Stephen M. Shapiro,0,scotusBound,"https://www.oyez.org/cases/2004/03-184"
55444,551,264,2007,Credit Suisse Securities (USA) LLC v. Billing,0,551 U.S. 264,2007-06-18,05-1157,2006,2006-10,antitrust (except in the context of mergers and union antitrust),2007-03-27,1,7,1,Stephen M. Shapiro,0,scotusBound,"https://www.oyez.org/cases/2006/05-1157"
55519,552,148,2008,"Stoneridge Investment Partners, LLC v. Scientific-Atlanta, Inc.",0,552 U.S. 148,2008-01-15,06-43,2007,2007-10,federal or state regulation of securities,2007-10-09,1,3,5,Stephen M. Shapiro,0,scotusBound,"https://www.oyez.org/cases/2007/06-43"
55577,556,0,2009,Philip Morris USA Inc. v. Williams,0,556 U.S. ___,2009-03-31,07-1216,2008,2008-10,"no merits: writ improvidently granted",2008-12-03,1,0,9,Stephen M. Shapiro,0,scotusBound,"https://www.oyez.org/cases/2008/07-1216"
55881,566,0,2012,"Mayo Collaborative Services v. Prometheus Laboratories, Inc.",0,566 U.S. ___,2012-03-20,10-1150,2011,2011-10,"patents and copyrights: patent",2011-12-07,1,9,0,Stephen M. Shapiro,0,scotusBound,"https://www.oyez.org/cases/2011/10-1150"
