oyezId,volume,page,year,caseTitle,oldCite,usCite,dateDecision,docket,term,termId,issue,datesArgued,daysArgument,votesPetitioner,votesRespondent,advocateName,advocateRole,pdfSource,urlOyez
51077,417,134,1974,Commissioner of Internal Revenue v. National Alfalfa Dehydrating & Milling Company,0,417 U.S. 134,1974-05-28,73-9,1973,1973-10,"federal taxation, typically under provisions of the Internal Revenue Code",1974-01-14,1,9,0,Stuart A. Smith,0,loc,"https://www.oyez.org/cases/1973/73-9"
51073,417,673,1974,Central Tablet Mfg. Company v. United States,0,417 U.S. 673,1974-06-19,73-593,1973,1973-10,"federal taxation, typically under provisions of the Internal Revenue Code","1974-03-25,1974-03-26",2,4,5,Stuart A. Smith,0,loc,"https://www.oyez.org/cases/1973/73-593"
51137,416,500,1974,Snow v. Commissioner of Internal Revenue,0,416 U.S. 500,1974-05-13,73-641,1973,1973-10,"federal taxation, typically under provisions of the Internal Revenue Code",1974-04-16,1,8,0,Stuart A. Smith,0,loc,"https://www.oyez.org/cases/1973/73-641"
51200,420,141,1975,United States v. Bisceglia,0,420 U.S. 141,1975-02-19,73-1245,1974,1974-10,"federal taxation, typically under provisions of the Internal Revenue Code","1974-11-11,1974-11-12",2,7,2,Stuart A. Smith,0,loc,"https://www.oyez.org/cases/1974/73-1245"
51324,423,161,1976,Laing v. United States,0,423 U.S. 161,1976-01-13,73-1808,1974,1974-10,"due process: hearing or notice (other than as pertains to government employees or prisoners' rights)","1975-01-21,1975-10-15",2,5,3,Stuart A. Smith,0,loc,"https://www.oyez.org/cases/1974/73-1808"
51219,421,599,1975,United States v. Tax Commission of Mississippi,0,421 U.S. 599,1975-06-02,74-548,1974,1974-10,"national supremacy: intergovernmental tax immunity",1975-04-22,1,7,2,Stuart A. Smith,0,loc,"https://www.oyez.org/cases/1974/74-548"
51494,429,32,1976,"United States v. Foster Lumber Company, Inc.",0,429 U.S. 32,1976-11-02,74-799,1975,1975-10,"federal taxation, typically under provisions of the Internal Revenue Code","1975-11-12,1976-10-05",2,5,4,Stuart A. Smith,0,loc,"https://www.oyez.org/cases/1975/74-799"
51435,426,26,1976,Simon v. Eastern Kentucky Welfare Rights Organization,0,426 U.S. 26,1976-06-01,74-1124,1975,1975-10,"standing to sue: direct injury",1975-12-10,1,8,0,Stuart A. Smith,0,loc,"https://www.oyez.org/cases/1975/74-1124"
51532,430,725,1977,United States v. Consumer Life Insurance Company,0,430 U.S. 725,1977-04-26,75-1221,1976,1976-10,"federal taxation, typically under provisions of the Internal Revenue Code",1976-12-06,1,2,7,Stuart A. Smith,0,loc,"https://www.oyez.org/cases/1976/75-1221"
51619,433,148,1977,Commissioner v. Standard Life & Accident Ins. Company,0,433 U.S. 148,1977-06-23,75-1771,1976,1976-10,"federal taxation, typically under provisions of the Internal Revenue Code",1977-03-30,1,8,0,Stuart A. Smith,0,loc,"https://www.oyez.org/cases/1976/75-1771"
51867,435,21,1978,Central Illinois Public Service Company v. United States,0,435 U.S. 21,1978-02-28,76-1058,1977,1977-10,"federal taxation of gifts, personal, business, or professional expenses",1977-10-12,1,9,0,Stuart A. Smith,0,loc,"https://www.oyez.org/cases/1977/76-1058"
