oyezId,volume,page,year,caseTitle,oldCite,usCite,dateDecision,docket,term,termId,issue,datesArgued,daysArgument,votesPetitioner,votesRespondent,advocateName,advocateRole,pdfSource,urlOyez
52783,469,528,1985,Garcia v. San Antonio Metro. Transit Authority,0,469 U.S. 528,1985-02-19,82-1913,1983,1983-10,Fair Labor Standards Act,"1984-03-19,1984-10-01",2,5,4,Theodore B. Olson,0,loc,"https://www.oyez.org/cases/1983/82-1913"
53153,475,813,1986,Aetna Life Insurance Company v. Lavoie,0,475 U.S. 813,1986-04-22,84-1601,1985,1985-10,"due process: impartial decision maker",1985-12-04,1,8,0,Theodore B. Olson,0,loc,"https://www.oyez.org/cases/1985/84-1601"
53404,479,272,1987,"California Federal Savings & Loan Assn. v. Guerra, Director, Department of Fair Employment and Housing",0,479 U.S. 272,1987-01-13,85-494,1986,1986-10,sex discrimination in employment (cf. sex discrimination),1986-10-08,1,3,6,Theodore B. Olson,0,loc,"https://www.oyez.org/cases/1986/85-494"
53443,486,71,1988,Bankers Life & Casualty Company v. Crenshaw,0,486 U.S. 71,1988-05-16,85-1765,1987,1987-10,"liability, other than as in sufficiency of evidence, election of remedies, punitive damages",1987-11-30,1,1,6,Theodore B. Olson,0,loc,"https://www.oyez.org/cases/1987/85-1765"
53561,490,93,1989,California v. ARC America Corporation,0,490 U.S. 93,1989-04-18,87-1862,1988,1988-10,federal pre-emption of state legislation or regulation. cf. state regulation of business. rarely involves union activity. Does not involve constitutional interpretation unless the Court says it does.,1989-02-27,1,7,0,Theodore B. Olson,0,loc,"https://www.oyez.org/cases/1988/87-1862"
53814,501,350,1991,"Lampf, Pleva, Lipkind, Prupis & Petigrow v. Gilbertson",0,501 U.S. 350,1991-06-20,90-333,1990,1990-10,federal or state regulation of securities,1991-02-19,1,5,4,Theodore B. Olson,0,loc,"https://www.oyez.org/cases/1990/90-333"
54143,508,286,1993,"Musick, Peeler & Garrett v. Employers Insurance of Wausau",0,508 U.S. 286,1993-06-01,92-34,1992,1992-10,federal or state regulation of securities,1993-03-01,1,3,6,Theodore B. Olson,0,loc,"https://www.oyez.org/cases/1992/92-34"
54288,514,211,1995,"Plaut v. Spendthrift Farm, Inc.",0,514 U.S. 211,1995-04-18,93-1121,1994,1994-10,miscellaneous,1994-11-30,1,2,7,Theodore B. Olson,0,loc,"https://www.oyez.org/cases/1994/93-1121"
54449,518,515,1996,United States v. Virginia,0,518 U.S. 515,1996-06-26,94-1941,1995,1995-10,sex discrimination (excluding sex discrimination in employment),1996-01-17,1,7,1,Theodore B. Olson,0,loc,"https://www.oyez.org/cases/1995/94-1941"
54438,518,81,1996,Koon v. United States,0,518 U.S. 81,1996-06-13,94-1664,1995,1995-10,"statutory construction of criminal laws: sentencing guidelines",1996-02-20,1,5,4,Theodore B. Olson,0,loc,"https://www.oyez.org/cases/1995/94-1664"
54409,518,415,1996,Gasperini v. Center for Humanities Inc.,0,518 U.S. 415,1996-06-24,95-719,1995,1995-10,"judicial administration: jurisdiction or authority of federal courts of appeals",1996-04-16,1,6,3,Theodore B. Olson,0,loc,"https://www.oyez.org/cases/1995/95-719"
54793,528,495,2000,Rice v. Cayetano,0,528 U.S. 495,2000-02-23,98-818,1999,1999-10,voting,1999-10-06,1,7,2,Theodore B. Olson,0,loc,"https://www.oyez.org/cases/1999/98-818"
54794,529,765,2000,Vermont Agency of Natural Resources v. United States ex rel. Stevens,0,529 U.S. 765,2000-05-22,98-1828,1999,1999-10,"standing to sue: direct injury",1999-11-29,1,9,0,Theodore B. Olson,0,loc,"https://www.oyez.org/cases/1999/98-1828"
54881,531,70,2000,Bush v. Palm Beach County Canvassing Board,0,531 U.S. 70,2000-12-04,00-836,2000,2000-10,"no merits: remand to determine basis of state or federal court decision (cf. judicial administration: state law)",2000-12-01,1,9,0,Theodore B. Olson,0,loc,"https://www.oyez.org/cases/2000/00-836"
54907,531,98,2000,Bush v. Gore,0,531 U.S. 98,2000-12-12,00-949,2000,2000-10,voting,2000-12-11,1,5,4,Theodore B. Olson,0,loc,"https://www.oyez.org/cases/2000/00-949"
55007,535,467,2002,"Verizon Communications, Inc. v. Federal Communications Commission",0,535 U.S. 467,2002-05-13,00-511,2001,2001-10,"federal and some few state regulations of public utilities regulation: telephone or telegraph company",2001-10-10,1,2,6,Theodore B. Olson,0,loc,"https://www.oyez.org/cases/2001/00-511"
54975,534,103,2001,"Adarand Constructors, Inc. v. Mineta",0,534 U.S. 103,2001-11-27,00-730,2001,2001-10,"no merits: writ improvidently granted",2001-10-31,1,0,9,Theodore B. Olson,0,loc,"https://www.oyez.org/cases/2001/00-730"
54994,535,564,2002,Ashcroft v. American Civil Liberties Union,0,535 U.S. 564,2002-05-13,00-1293,2001,2001-10,"obscenity, federal",2001-11-28,1,8,1,Theodore B. Olson,0,loc,"https://www.oyez.org/cases/2001/00-1293"
54993,535,302,2002,"Tahoe-Sierra Preservation Council, Inc. v. Tahoe Regional Planning Agency",0,535 U.S. 302,2002-04-23,00-1167,2001,2001-10,"due process: takings clause, or other non-constitutional governmental taking of property",2002-01-07,1,3,6,Theodore B. Olson,0,loc,"https://www.oyez.org/cases/2001/00-1167"
54953,536,639,2002,Zelman v. Simmons-Harris,0,536 U.S. 639,2002-06-27,00-1751,2001,2001-10,"parochiaid: government aid to religious schools, or religious requirements in public schools",2002-02-20,1,5,4,Theodore B. Olson,0,loc,"https://www.oyez.org/cases/2001/00-1751"
54960,536,403,2002,Christopher v. Harbury,0,536 U.S. 403,2002-06-20,01-394,2001,2001-10,"liability, governmental: tort or contract actions by or against government or governmental officials other than defense of criminal actions brought under a civil rights action.",2002-03-18,1,9,0,Theodore B. Olson,0,loc,"https://www.oyez.org/cases/2001/01-394"
55014,536,452,2002,Utah v. Evans,0,536 U.S. 452,2002-06-20,01-714,2001,2001-10,"reapportionment: other than plans governed by the Voting Rights Act",2002-03-27,1,4,5,Theodore B. Olson,0,loc,"https://www.oyez.org/cases/2001/01-714"
55018,536,622,2002,United States v. Ruiz,0,536 U.S. 622,2002-06-24,01-595,2001,2001-10,"plea bargaining: the constitutionality of and/or the circumstances of its exercise",2002-04-24,1,9,0,Theodore B. Olson,0,loc,"https://www.oyez.org/cases/2001/01-595"
55081,537,186,2003,Eldred v. Ashcroft,0,537 U.S. 186,2003-01-15,01-618,2002,2002-10,"patents and copyrights: copyright",2002-10-09,1,2,7,Theodore B. Olson,0,loc,"https://www.oyez.org/cases/2002/01-618"
