oyezId,volume,page,year,caseTitle,oldCite,usCite,dateDecision,docket,term,termId,issue,datesArgued,daysArgument,votesPetitioner,votesRespondent,advocateName,advocateRole,pdfSource,urlOyez
"54761",527,198,1999,"Cunningham v. Hamilton County","","527 U.S. 198","1999-06-14","98-727","1998","1998-10","judicial administration: review of non-final order","1999-04-19",1,0,9,"Thomas C. Goldstein","","loc","https://www.oyez.org/cases/1998/98-727"
"54768",528,32,1999,"Los Angeles Police Department v. United Reporting Publishing Corporation","","528 U.S. 32","1999-12-07","98-678","1999","1999-10","commercial speech, excluding attorneys","1999-10-13",1,7,2,"Thomas C. Goldstein","","loc","https://www.oyez.org/cases/1999/98-678"
"54769",529,344,2000,"Norfolk Southern Railway Company v. Shanklin","","529 U.S. 344","2000-04-17","99-312","1999","1999-10","federal pre-emption of state court jurisdiction","2000-03-01",1,7,2,"Thomas C. Goldstein","","loc","https://www.oyez.org/cases/1999/99-312"
"54859",532,141,2001,"Egelhoff v. Egelhoff","","532 U.S. 141","2001-03-21","99-1529","2000","2000-10","federal pre-emption of state legislation or regulation. cf. state regulation of business. rarely involves union activity. Does not involve constitutional interpretation unless the Court says it does.","2000-11-08",1,7,2,"Thomas C. Goldstein","","loc","https://www.oyez.org/cases/2000/99-1529"
"54941",532,514,2001,"Bartnicki v. Vopper","","532 U.S. 514","2001-05-21","99-1687","2000","2000-10","libel, privacy: true and false light invasions of privacy","2000-12-05",1,3,6,"Thomas C. Goldstein","","loc","https://www.oyez.org/cases/2000/99-1687"
"55023",536,1,2002,"Devlin v. Scardelletti","","536 U.S. 1","2002-06-10","01-417","2001","2001-10","Federal Rules of Civil Procedure including Supreme Court Rules, application of the Federal Rules of Evidence, Federal Rules of Appellate Procedure in civil litigation, Circuit Court Rules, and state rules and admiralty rules","2002-03-26",1,6,3,"Thomas C. Goldstein","","loc","https://www.oyez.org/cases/2001/01-417"
"55044",537,71,2002,"United States v. Bean","","537 U.S. 71","2002-12-10","01-704","2002","2002-10","judicial review of administrative agency's or administrative official's actions and procedures","2002-10-16",1,9,0,"Thomas C. Goldstein","","loc","https://www.oyez.org/cases/2002/01-704"
"55038",537,522,2003,"Clay v. United States","","537 U.S. 522","2003-03-04","01-1500","2002","2002-10","habeas corpus","2003-01-13",1,9,0,"Thomas C. Goldstein","","loc","https://www.oyez.org/cases/2002/01-1500"
"55136",540,526,2004,"Lamie v. United States Trustee","","540 U.S. 526","2004-01-26","02-693","2003","2003-10","attorneys' and governmental employees' or officials' fees or compensation or licenses","2003-11-10",1,0,9,"Thomas C. Goldstein","","loc","https://www.oyez.org/cases/2003/02-693"
"55187",540,519,2004,"Fellers v. United States","","540 U.S. 519","2004-01-26","02-6320","2003","2003-10","right to counsel (cf. indigents appointment of counsel or inadequate representation)","2003-12-10",1,9,0,"Thomas C. Goldstein","","loc","https://www.oyez.org/cases/2003/02-6320"
