oyezId,volume,page,year,caseTitle,oldCite,usCite,dateDecision,docket,term,termId,issue,datesArgued,daysArgument,votesPetitioner,votesRespondent,advocateName,advocateRole,pdfSource,urlOyez
54153,507,146,1993,Voinovich v. Quilter,0,507 U.S. 146,1993-02-24,91-1618,1992,1992-10,"reapportionment: other than plans governed by the Voting Rights Act",1992-12-08,1,9,0,Thomas G. Hungar,0,loc,"https://www.oyez.org/cases/1992/91-1618"
54121,507,529,1993,United States v. Texas,0,507 U.S. 529,1993-04-05,91-1729,1992,1992-10,miscellaneous federalism,1993-03-01,1,8,1,Thomas G. Hungar,0,loc,"https://www.oyez.org/cases/1992/91-1729"
54136,508,223,1993,Smith v. United States,0,508 U.S. 223,1993-05-24,91-8674,1992,1992-10,"statutory construction of criminal laws: firearms",1993-03-23,1,3,6,Thomas G. Hungar,0,loc,"https://www.oyez.org/cases/1992/91-8674"
54235,510,27,1993,Izumi Seimitsu Kogyo Kabushiki Kaisha v. U. S. Philips Corp.,0,510 U.S. 27,1993-11-30,92-1123,1993,1993-10,"no merits: writ improvidently granted",1993-10-12,1,2,7,Thomas G. Hungar,0,loc,"https://www.oyez.org/cases/1993/92-1123"
54225,510,540,1994,Liteky v. United States,0,510 U.S. 540,1994-03-07,92-6921,1993,1993-10,"due process: impartial decision maker",1993-11-03,1,0,9,Thomas G. Hungar,0,loc,"https://www.oyez.org/cases/1993/92-6921"
54257,511,39,1994,United States v. Granderson,0,511 U.S. 39,1994-03-22,92-1662,1993,1993-10,"statutory construction of criminal laws: miscellaneous",1994-01-10,1,2,7,Thomas G. Hungar,0,loc,"https://www.oyez.org/cases/1993/92-1662"
55174,540,461,2004,Alaska Dept. of Environmental Conserv. v. EPA,0,540 U.S. 461,2004-01-21,02-658,2003,2003-10,"natural resources - environmental protection (cf. national supremacy: natural resources, national supremacy: pollution)",2003-10-08,1,4,5,Thomas G. Hungar,0,loc,"https://www.oyez.org/cases/2003/02-658"
55176,542,88,2004,Hibbs v. Winn,0,542 U.S. 88,2004-06-14,02-1809,2003,2003-10,"national supremacy: state tax (cf. state tax)",2004-01-20,1,4,5,Thomas G. Hungar,0,loc,"https://www.oyez.org/cases/2003/02-1809"
55126,541,677,2004,Republic of Austria v. Altmann,0,541 U.S. 677,2004-06-07,03-13,2003,2003-10,retroactivity (of newly announced or newly enacted constitutional or statutory rights),2004-02-25,1,3,6,Thomas G. Hungar,0,loc,"https://www.oyez.org/cases/2003/03-13"
55251,543,14,2004,"Norfolk Southern Railway Company v. James N. Kirby, Proprietary Limited",0,543 U.S. 14,2004-11-09,02-1028,2004,2004-10,"liability, other than as in sufficiency of evidence, election of remedies, punitive damages",2004-10-06,1,9,0,Thomas G. Hungar,0,scotusBound,"https://www.oyez.org/cases/2004/02-1028"
55245,544,40,2005,Ballard v. Commissioner of Internal Revenue,0,544 U.S. 40,2005-03-07,03-184,2004,2004-10,judicial review of administrative agency's or administrative official's actions and procedures,2004-12-07,1,7,2,Thomas G. Hungar,0,scotusBound,"https://www.oyez.org/cases/2004/03-184"
55261,544,336,2005,"Dura Pharmaceuticals, Inc. v. Broudo",0,544 U.S. 336,2005-04-19,03-932,2004,2004-10,federal or state regulation of securities,2005-01-12,1,9,0,Thomas G. Hungar,0,scotusBound,"https://www.oyez.org/cases/2004/03-932"
55274,545,967,2005,National Cable & Telecommunications Assocation v. Brand X Internet Services,0,545 U.S. 967,2005-06-27,"04-277,04-281",2004,2004-10,judicial review of administrative agency's or administrative official's actions and procedures,2005-03-29,1,6,3,Thomas G. Hungar,0,scotusBound,"https://www.oyez.org/cases/2004/04-277"
55345,546,164,2006,"Volvo Trucks North America, Inc. v. Reeder-Simco GMC, Inc.",0,546 U.S. 164,2006-01-10,04-905,2005,2005-10,antitrust (except in the context of mergers and union antitrust),2005-10-31,1,7,2,Thomas G. Hungar,0,scotusBound,"https://www.oyez.org/cases/2005/04-905"
55354,547,28,2006,"Illinois Tool Works Inc. v. Independent Ink, Inc.",0,547 U.S. 28,2006-03-01,04-1329,2005,2005-10,antitrust (except in the context of mergers and union antitrust),2005-11-29,1,8,0,Thomas G. Hungar,0,scotusBound,"https://www.oyez.org/cases/2005/04-1329"
55296,547,71,2006,"Merrill Lynch, Pierce, Fenner & Smith, Inc. v. Dabit",0,547 U.S. 71,2006-03-21,04-1371,2005,2005-10,federal pre-emption of state legislation or regulation. cf. state regulation of business. rarely involves union activity. Does not involve constitutional interpretation unless the Court says it does.,2006-01-18,1,8,0,Thomas G. Hungar,0,scotusBound,"https://www.oyez.org/cases/2005/04-1371"
55335,548,124,2006,"Laboratory Corp. of America Holdings v. Metabolite Laboratories, Inc.",0,548 U.S. 124,2006-06-22,04-607,2005,2005-10,"no merits: writ improvidently granted",2006-03-21,1,3,5,Thomas G. Hungar,0,scotusBound,"https://www.oyez.org/cases/2005/04-607"
55421,549,561,2007,Environmental Defense v. Duke Energy Corp.,0,549 U.S. 561,2007-04-02,05-848,2006,2006-10,"natural resources - environmental protection (cf. national supremacy: natural resources, national supremacy: pollution)",2006-11-01,1,9,0,Thomas G. Hungar,0,scotusBound,"https://www.oyez.org/cases/2006/05-848"
55450,550,398,2007,KSR International Co. v. Teleflex Inc.,0,550 U.S. 398,2007-04-30,04-1350,2006,2006-10,"patents and copyrights: patent",2006-11-28,1,9,0,Thomas G. Hungar,0,scotusBound,"https://www.oyez.org/cases/2006/04-1350"
55406,551,877,2007,"Leegin Creative Leather Products, Inc. v. PSKS, Inc.",0,551 U.S. 877,2007-06-28,06-480,2006,2006-10,antitrust (except in the context of mergers and union antitrust),2007-03-26,1,5,4,Thomas G. Hungar,0,scotusBound,"https://www.oyez.org/cases/2006/06-480"
55402,551,128,2007,United States v. Atlantic Research Corp.,0,551 U.S. 128,2007-06-11,06-562,2006,2006-10,"natural resources - environmental protection (cf. national supremacy: natural resources, national supremacy: pollution)",2007-04-23,1,0,9,Thomas G. Hungar,0,scotusBound,"https://www.oyez.org/cases/2006/06-562"
55519,552,148,2008,"Stoneridge Investment Partners, LLC v. Scientific-Atlanta, Inc.",0,552 U.S. 148,2008-01-15,06-43,2007,2007-10,federal or state regulation of securities,2007-10-09,1,3,5,Thomas G. Hungar,0,scotusBound,"https://www.oyez.org/cases/2007/06-43"
