oyezId,volume,page,year,caseTitle,oldCite,usCite,dateDecision,docket,term,termId,issue,datesArgued,daysArgument,votesPetitioner,votesRespondent,advocateName,advocateRole,pdfSource,urlOyez
"59191",350,868,1955,"Walton v. California","","350 U.S. 868","1955-10-24","16","1955","1955-10","no merits: dismissed or affirmed for want of a substantial or properly presented federal question, or a nonsuit","1955-10-17",1,2,6,"Mr. Attorney General","","loc","https://www.oyez.org/cases/1955/16"
"59218",350,869,1955,"Nukk v. Shaughnessy","","350 U.S. 869","1955-10-24","29","1955","1955-10","standing to sue: justiciable question","1955-10-19",1,9,0,"Mr. Attorney General","","loc","https://www.oyez.org/cases/1955/29"
"59179",350,114,1955,"Arizona v. California","","350 U.S. 114","1955-12-08","10 Orig.","1955","1955-10","non-real property dispute between states","1955-12-08",1,3,5,"Mr. Attorney General","","loc","https://www.oyez.org/cases/1955/10_orig"
"59187",350,955,1956,"Wisconsin v. Tennessee","","350 U.S. 955","1956-01-30","13 Orig.","1955","1955-10","non-real property dispute between states","1956-01-23",1,0,8,"Mr. Attorney General","","loc","https://www.oyez.org/cases/1955/13-orig"
"59200",351,91,1956,"United States v. Zucca","","351 U.S. 91","1956-04-30","213","1955","1955-10","immigration and naturalization: loss of citizenship, denaturalization","1956-01-24,1956-01-25",2,3,5,"Mr. Attorney General","","loc","https://www.oyez.org/cases/1955/213"
"59190",351,40,1956,"Frozen Food Exp. v. United States","","351 U.S. 40","1956-04-23","158","1955","1955-10","judicial review of administrative agency's or administrative official's actions and procedures","1956-03-07",1,8,1,"Unknown Advocate","","loc","https://www.oyez.org/cases/1955/158"
"62271",351,916,1956,"Sugden et ux. v. United States","","351 U.S. 916","1956-04-30","555","1955","1955-10","statutory construction of criminal laws: immigration (cf. immigration and naturalization)","1956-04-25",1,3,6,"Mr. Attorney General","","loc","https://www.oyez.org/cases/1955/555"
"59270",351,470,1956,"Kinsella v. Krueger","","351 U.S. 470","1956-06-11","713","1955","1955-10","military: active duty","1956-05-03",1,5,3,"Unknown Advocate","","loc","https://www.oyez.org/cases/1955/713"
"59454",354,298,1957,"Yates v. United States","","354 U.S. 298","1957-06-17","6,7,8","1956","1956-10","federal or state internal security legislation: Smith, Internal Security, and related federal statutes","1956-10-08,1956-10-09",2,6,1,"Mr. Attorney General","","loc","https://www.oyez.org/cases/1956/6"
"59368",352,903,1956,"Holophane v. United States","","352 U.S. 903","1956-11-13","2","1956","1956-10","antitrust (except in the context of mergers and union antitrust)","1956-11-05",1,0,8,"Mr. Attorney General","","loc","https://www.oyez.org/cases/1956/2"
"59395",352,128,1956,"Massachusetts Bonding & Ins. Company v. United States","","352 U.S. 128","1956-12-10","31","1956","1956-10","liability, governmental: tort or contract actions by or against government or governmental officials other than defense of criminal actions brought under a civil rights action.","1956-11-08",1,5,4,"Unknown Advocate","","loc","https://www.oyez.org/cases/1956/31"
"59408",352,202,1957,"United States v. Plesha","","352 U.S. 202","1957-01-14","39","1956","1956-10","military: veteran","1956-11-08",1,3,6,"Unknown Advocate","","loc","https://www.oyez.org/cases/1956/39"
"59354",352,322,1957,"Prince v. United States","","352 U.S. 322","1957-02-25","132","1956","1956-10","statutory construction of criminal laws: bank robbery","1956-12-11",1,7,1,"Mr. Attorney General","","loc","https://www.oyez.org/cases/1956/132"
"59344",353,87,1957,"National Labor Relations Board v. Truck Drivers Local Union Warehousemen and Helpers of America, A.F.L.","","353 U.S. 87","1957-04-01","103","1956","1956-10","labor-management disputes: miscellaneous dispute","1957-01-17,1957-01-22",2,8,0,"Mr. Attorney General","","loc","https://www.oyez.org/cases/1956/103"
"59384",352,1020,1957,"United States v. American Freightways Co.","","352 U.S. 1020","1957-03-04","265","1956","1956-10","statutory construction of criminal laws: miscellaneous","1957-01-23",1,4,4,"Mr. Attorney General","","loc","https://www.oyez.org/cases/1956/265"
"59402",353,151,1957,"Alleghany Corporation v. Breswick & Company","","353 U.S. 151","1957-04-22","36","1956","1956-10","federal or state regulation of transportation regulation: railroad","1957-01-23,1957-01-24",2,5,3,"Mr. Attorney General","","loc","https://www.oyez.org/cases/1956/36"
"59459",353,583,1957,"Fowler v. Wilkinson","","353 U.S. 583","1957-06-03","620","1956","1956-10","military: active duty","1957-04-30",1,4,5,"Unknown Advocate","","loc","https://www.oyez.org/cases/1956/620"
"59557",355,484,1958,"United States v. Township of Muskegon","","355 U.S. 484","1958-03-03","37","1957","1957-10","state or local government tax","1957-11-14",1,2,7,"Unknown Advocate","","loc","https://www.oyez.org/cases/1957/37"
"59644",356,670,1958,"Maisenberg v. United States","","356 U.S. 670","1958-05-26","76","1957","1957-10","immigration and naturalization: loss of citizenship, denaturalization","1958-01-28",1,6,3,"Unknown Advocate","","loc","https://www.oyez.org/cases/1957/76"
"59487",356,30,1958,"Tank Truck Rentals, Inc. v. Commissioner of Internal Revenue","","356 U.S. 30","1958-03-17","109","1957","1957-10","federal taxation, typically under provisions of the Internal Revenue Code","1958-01-29,1958-01-30",2,0,9,"Unknown Advocate","","loc","https://www.oyez.org/cases/1957/109"
"59485",357,235,1958,"Hanson v. Denckla","","357 U.S. 235","1958-06-23","107","1957","1957-10","due process: jurisdiction (jurisdiction over non-resident litigants)","1958-03-10,1958-03-11",2,5,4,"Mr. Attorney General","","loc","https://www.oyez.org/cases/1957/107"
"59588",357,513,1958,"Speiser v. Randall","","357 U.S. 513","1958-06-30","483","1957","1957-10","loyalty oath or non-Communist affidavit (other than bar applicants, government employees, political party, or teacher)","1958-04-08,1958-04-09",2,7,1,"Mr. Attorney General","","loc","https://www.oyez.org/cases/1957/483"
"59568",356,412,1958,"County of Marin v. United States","","356 U.S. 412","1958-05-19","415","1957","1957-10","federal and some few state regulation of transportation regulation:truck, or motor carrier","1958-04-09",1,5,4,"Mr. Attorney General","","loc","https://www.oyez.org/cases/1957/415"
"59629",357,10,1958,"Lewis v. National Labor Relations Board","","357 U.S. 10","1958-06-09","684","1957","1957-10","judicial review of administrative agency's or administrative official's actions and procedures","1958-05-21",1,0,9,"Unknown Advocate","","loc","https://www.oyez.org/cases/1957/684"
"59691",358,522,1959,"Allied Stores Of Ohio v. Bowers","","358 U.S. 522","1959-02-24","10","1958","1958-10","state or local government tax","1958-11-12",1,0,8,"Unknown Advocate","","loc","https://www.oyez.org/cases/1958/10"
"59730",358,625,1959,"Kermarec v. Compagnie Generale Transatlantique","","358 U.S. 625","1959-02-24","22","1958","1958-10","election of remedies: legal remedies available to injured persons or things","1958-11-13",1,9,0,"Mr. Attorney General","","loc","https://www.oyez.org/cases/1958/22"
"59696",358,576,1959,"Williams v. Oklahoma","","358 U.S. 576","1959-02-24","124","1958","1958-10","double jeopardy","1959-01-21",1,1,8,"Mr. Attorney General","","loc","https://www.oyez.org/cases/1958/124"
"59744",359,360,1959,"Frank v. Maryland","","359 U.S. 360","1959-05-04","278","1958","1958-10","search and seizure (other than as pertains to vehicles or Crime Control Act)","1959-03-05",1,4,5,"Mr. Attorney General","","loc","https://www.oyez.org/cases/1958/278"
"59741",359,326,1959,"Felter v. Southern Pacific Company","","359 U.S. 326","1959-04-27","269","1958","1958-10","union or closed shop: includes agency shop litigation","1959-03-24",1,6,3,"Mr. Attorney General","","loc","https://www.oyez.org/cases/1958/269"
"59780",360,548,1959,"Pennsylvania R. Company v. Administrator","","360 U.S. 548","1959-06-29","397","1958","1958-10","election of remedies: legal remedies available to injured persons or things","1959-03-26",1,6,3,"Mr. Attorney General","","loc","https://www.oyez.org/cases/1958/397"
"59991",362,199,1960,"Thompson v. City of Louisville","","362 U.S. 199","1960-03-21","59","1959","1959-10","due process: miscellaneous (cf. loyalty oath), the residual code","1960-01-11,1960-01-12",2,9,0,"Mr. Attorney General","","loc","https://www.oyez.org/cases/1959/59"
"59997",362,17,1960,"United States v. Raines","","362 U.S. 17","1960-02-29","64","1959","1959-10","voting","1960-01-12",1,9,0,"Mr. Attorney General","","loc","https://www.oyez.org/cases/1959/64"
"60182",364,656,1961,"Radiant Burners, Inc. v. Peoples Gas Light & Coke Company","","364 U.S. 656","1961-01-16","73","1960","1960-10","antitrust (except in the context of mergers and union antitrust)","1960-12-07",1,9,0,"Mr. Attorney General","","loc","https://www.oyez.org/cases/1960/73"
"60249",368,146,1961,"Federal Land Bank of Wichita v. Board of County Commissioners of Kiowa County, Kansas","","368 U.S. 146","1961-12-11","25","1961","1961-10","national supremacy: intergovernmental tax immunity","1961-10-16",1,9,0,"Unknown Advocate","","loc","https://www.oyez.org/cases/1961/25"
"60294",370,195,1962,"Sinclair Refining Company v. Atkinson","","370 U.S. 195","1962-06-18","434","1961","1961-10","labor-management disputes: antistrike injunction","1962-04-18",1,3,5,"Unknown Advocate","","loc","https://www.oyez.org/cases/1961/434"
