oyezId,volume,page,year,caseTitle,oldCite,usCite,dateDecision,docket,term,termId,issue,datesArgued,daysArgument,votesPetitioner,votesRespondent,advocateName,advocateRole,pdfSource,urlOyez
51521,433,425,1977,Nixon v. Administrator of General Services,0,433 U.S. 425,1977-06-28,75-1605,1976,1976-10,"libel, privacy: true and false light invasions of privacy",1977-04-20,1,2,7,"Wade H. McCree, Jr.",0,loc,"https://www.oyez.org/cases/1976/75-1605"
51809,434,542,1978,Durst v. United States,0,434 U.S. 542,1978-02-22,76-5935,1977,1977-10,juveniles (cf. rights of illegitimates),1977-12-05,1,0,8,"Wade H. McCree, Jr.",0,loc,"https://www.oyez.org/cases/1977/76-5935"
51712,438,41,1978,United States v. Grayson,0,438 U.S. 41,1978-06-26,76-1572,1977,1977-10,"due process: miscellaneous (cf. loyalty oath), the residual code",1978-02-22,1,6,3,"Wade H. McCree, Jr.",0,loc,"https://www.oyez.org/cases/1977/76-1572"
51813,438,59,1978,"Duke Power Company v. Carolina Environmental Study Group, Inc.",0,438 U.S. 59,1978-06-26,77-262,1977,1977-10,"federal and some few state regulation of public utilities regulation: nuclear power",1978-03-20,1,6,3,"Wade H. McCree, Jr.",0,loc,"https://www.oyez.org/cases/1977/77-262"
51970,440,490,1979,National Labor Relations Board v. Catholic Bishop of Chicago,0,440 U.S. 490,1979-03-21,77-752,1978,1978-10,"labor-management disputes: bargaining",1978-10-30,1,4,5,"Wade H. McCree, Jr.",0,loc,"https://www.oyez.org/cases/1978/77-752"
52021,440,93,1979,Vance v. Bradley,0,440 U.S. 93,1979-02-22,77-1254,1978,1978-10,"employment discrimination: on basis of race, age, religion, illegitimacy, national origin, or working conditions.",1978-11-27,1,8,1,"Wade H. McCree, Jr.",0,loc,"https://www.oyez.org/cases/1978/77-1254"
52032,442,477,1979,United States v. Helstoski,0,442 U.S. 477,1979-06-18,78-349,1978,1978-10,"corruption, governmental or governmental regulation of other than as in campaign spending",1979-03-27,1,2,6,"Wade H. McCree, Jr.",0,loc,"https://www.oyez.org/cases/1978/78-349"
51893,442,544,1979,United States v. Rutherford,0,442 U.S. 544,1979-06-18,78-605,1978,1978-10,"federal or state consumer protection: typically under the Truth in Lending; Food, Drug and Cosmetic; and Consumer Protection Credit Acts",1979-04-25,1,9,0,"Wade H. McCree, Jr.",0,loc,"https://www.oyez.org/cases/1978/78-605"
52217,445,40,1980,Trammel v. United States,0,445 U.S. 40,1980-02-27,78-5705,1979,1979-10,"Federal Rules of Civil Procedure including Supreme Court Rules, application of the Federal Rules of Evidence, Federal Rules of Appellate Procedure in civil litigation, Circuit Court Rules, and state rules and admiralty rules","1979-10-29,1979-10-30",2,0,9,"Wade H. McCree, Jr.",0,loc,"https://www.oyez.org/cases/1979/78-5705"
52177,445,360,1980,United States v. Gillock,0,445 U.S. 360,1980-03-19,78-1455,1979,1979-10,"comity: criminal procedure",1979-12-04,1,7,2,"Wade H. McCree, Jr.",0,loc,"https://www.oyez.org/cases/1979/78-1455"
