oyezId,volume,page,year,caseTitle,oldCite,usCite,dateDecision,docket,term,termId,issue,datesArgued,daysArgument,votesPetitioner,votesRespondent,advocateName,advocateRole,pdfSource,urlOyez
53768,496,498,1990,Wilder v. Virginia Hospital Association,0,496 U.S. 498,1990-06-14,88-2043,1989,1989-10,"standing to sue: statutory standing",1990-01-09,1,4,5,"Walter E. Dellinger, III",0,loc,"https://www.oyez.org/cases/1989/88-2043"
54492,520,180,1997,"Turner Broadcasting System, Inc. v. Federal Communications Commission",0,520 U.S. 180,1997-03-31,95-992,1996,1996-10,"First Amendment, miscellaneous (cf. comity: First Amendment)",1996-10-07,1,4,5,"Walter E. Dellinger, III",0,loc,"https://www.oyez.org/cases/1996/95-992"
54560,519,357,1997,Schenck v. Pro-Choice Network of Western New York,0,519 U.S. 357,1997-02-19,95-1065,1996,1996-10,"abortion: including contraceptives",1996-10-16,1,3,6,"Walter E. Dellinger, III",0,loc,"https://www.oyez.org/cases/1996/95-1065"
54485,521,898,1997,Printz v. United States,0,521 U.S. 898,1997-06-27,95-1478,1996,1996-10,"national supremacy: miscellaneous",1996-12-03,1,5,4,"Walter E. Dellinger, III",0,loc,"https://www.oyez.org/cases/1996/95-1478"
54543,521,793,1997,Vacco v. Quill,0,521 U.S. 793,1997-06-26,95-1858,1996,1996-10,right to die,1997-01-08,1,9,0,"Walter E. Dellinger, III",0,loc,"https://www.oyez.org/cases/1996/95-1858"
54520,521,702,1997,Washington v. Glucksberg,0,521 U.S. 702,1997-06-26,96-110,1996,1996-10,right to die,1997-01-08,1,9,0,"Walter E. Dellinger, III",0,loc,"https://www.oyez.org/cases/1996/96-110"
54468,520,681,1997,Clinton v. Jones,0,520 U.S. 681,1997-05-27,95-1853,1996,1996-10,"liability, governmental: tort or contract actions by or against government or governmental officials other than defense of criminal actions brought under a civil rights action.",1997-01-13,1,0,9,"Walter E. Dellinger, III",0,loc,"https://www.oyez.org/cases/1996/95-1853"
54521,521,507,1997,City of Boerne v. Flores,0,521 U.S. 507,1997-06-25,95-2074,1996,1996-10,free exercise of religion,1997-02-19,1,6,2,"Walter E. Dellinger, III",0,loc,"https://www.oyez.org/cases/1996/95-2074"
54535,521,203,1997,Agostini v. Felton,0,521 U.S. 203,1997-06-23,96-552,1996,1996-10,"parochiaid: government aid to religious schools, or religious requirements in public schools",1997-04-15,1,5,4,"Walter E. Dellinger, III",0,loc,"https://www.oyez.org/cases/1996/96-552"
54479,521,811,1997,Raines v. Byrd,0,521 U.S. 811,1997-06-26,96-1671,1996,1996-10,"standing to sue: personal injury",1997-05-27,1,7,2,"Walter E. Dellinger, III",0,loc,"https://www.oyez.org/cases/1996/96-1671"
54728,526,541,1999,Hunt v. Cromartie,0,526 U.S. 541,1999-05-17,98-85,1998,1998-10,"reapportionment: other than plans governed by the Voting Rights Act",1999-01-20,1,9,0,"Walter E. Dellinger, III",0,loc,"https://www.oyez.org/cases/1998/98-85"
54863,532,234,2001,Hunt v. Cromartie,0,532 U.S. 234,2001-04-18,99-1864,2000,2000-10,"reapportionment: other than plans governed by the Voting Rights Act",2000-11-27,1,5,4,"Walter E. Dellinger, III",0,loc,"https://www.oyez.org/cases/2000/99-1864"
54931,531,497,2001,"Semtek International, Inc. v. Lockheed Martin Corporation",0,531 U.S. 497,2001-02-27,99-1551,2000,2000-10,"judicial administration: collateral estoppel or res judicata",2000-12-05,1,9,0,"Walter E. Dellinger, III",0,loc,"https://www.oyez.org/cases/2000/99-1551"
54948,535,391,2002,"US Airways, Inc. v. Barnett",0,535 U.S. 391,2002-04-29,00-1250,2001,2001-10,"handicapped, rights of: under Rehabilitation, Americans with Disabilities Act, and related statutes",2001-12-04,1,7,2,"Walter E. Dellinger, III",0,loc,"https://www.oyez.org/cases/2001/00-1250"
55026,535,685,2002,Bell v. Cone,0,535 U.S. 685,2002-05-28,01-400,2001,2001-10,habeas corpus,2002-03-25,1,8,1,"Walter E. Dellinger, III",0,loc,"https://www.oyez.org/cases/2001/01-400"
55014,536,452,2002,Utah v. Evans,0,536 U.S. 452,2002-06-20,01-714,2001,2001-10,"reapportionment: other than plans governed by the Voting Rights Act",2002-03-27,1,4,5,"Walter E. Dellinger, III",0,loc,"https://www.oyez.org/cases/2001/01-714"
55063,537,418,2003,"Moseley v. V Secret Catalogue, Inc.",0,537 U.S. 418,2003-03-04,01-1015,2002,2002-10,"patents and copyrights: trademark",2002-11-12,1,9,0,"Walter E. Dellinger, III",0,loc,"https://www.oyez.org/cases/2002/01-1015"
55062,538,216,2003,Brown v. Legal Foundation of Washington,0,538 U.S. 216,2003-03-26,01-1325,2002,2002-10,"due process: takings clause, or other non-constitutional governmental taking of property",2002-12-09,1,4,5,"Walter E. Dellinger, III",0,loc,"https://www.oyez.org/cases/2002/01-1325"
55249,544,167,2005,Jackson v. Birmingham Board of Education,0,544 U.S. 167,2005-03-29,02-1672,2004,2004-10,sex discrimination (excluding sex discrimination in employment),2004-11-30,1,5,4,"Walter E. Dellinger, III",0,scotusBound,"https://www.oyez.org/cases/2004/02-1672"
55532,554,527,2008,Morgan Stanley Capital Group Inc. v. Public Utility District No. 1 of Snohomish County,0,554 U.S. 527,2008-06-26,"06-1457,04-1462",2007,2007-10,"federal and some few state regulation of public utilities regulation: electric power",2008-02-19,1,5,2,"Walter E. Dellinger, III",0,scotusBound,"https://www.oyez.org/cases/2007/06-1457"
55487,554,471,2008,Exxon Shipping Co. v. Baker,0,554 U.S. 471,2008-06-25,07-219,2007,2007-10,"liability, punitive damages",2008-02-27,1,5,3,"Walter E. Dellinger, III",0,scotusBound,"https://www.oyez.org/cases/2007/07-219"
55490,554,570,2008,District of Columbia v. Heller,0,554 U.S. 570,2008-06-26,07-290,2007,2007-10,"miscellaneous criminal procedure (cf. due process, prisoners' rights, comity: criminal procedure)",2008-03-18,1,4,5,"Walter E. Dellinger, III",0,scotusBound,"https://www.oyez.org/cases/2007/07-290"
