oyezId,volume,page,year,caseTitle,oldCite,usCite,dateDecision,docket,term,termId,issue,datesArgued,daysArgument,votesPetitioner,votesRespondent,advocateName,advocateRole,pdfSource,urlOyez
52002,441,39,1979,Alexander v. United States Department of Housing and Urban Development,0,441 U.S. 39,1979-04-17,77-874,1978,1978-10,"poverty law, statutory: welfare benefits, typically under some Social Security Act provision.",1978-12-05,1,0,9,William C. Bryson,0,loc,"https://www.oyez.org/cases/1978/77-874"
51987,444,69,1979,"P. C. Pfeiffer Company, Inc. v. Ford",0,444 U.S. 69,1979-11-27,78-425,1978,1978-10,"liability, other than as in sufficiency of evidence, election of remedies, punitive damages","1979-03-20,1979-10-01",2,0,9,William C. Bryson,0,loc,"https://www.oyez.org/cases/1978/78-425"
52158,445,115,1980,United States v. Apfelbaum,0,445 U.S. 115,1980-03-03,78-972,1979,1979-10,"self-incrimination, immunity from prosecution",1979-12-03,1,9,0,William C. Bryson,0,loc,"https://www.oyez.org/cases/1979/78-972"
53381,479,314,1987,Griffith v. Kentucky,0,479 U.S. 314,1987-01-13,"85-5221,85-5731",1986,1986-10,retroactivity (of newly announced or newly enacted constitutional or statutory rights),1986-10-14,1,6,3,William C. Bryson,0,loc,"https://www.oyez.org/cases/1986/85-5221"
53386,481,787,1987,Young v. United States ex rel. Vuitton et Fils S. A.,0,481 U.S. 787,1987-05-26,85-1329,1986,1986-10,contempt of court or congress,1987-01-13,1,5,4,William C. Bryson,0,loc,"https://www.oyez.org/cases/1986/85-1329"
53411,481,736,1987,Ray v. United States,0,481 U.S. 736,1987-05-18,86-281,1986,1986-10,"subconstitutional fair procedure: miscellaneous",1987-04-28,1,9,0,William C. Bryson,0,loc,"https://www.oyez.org/cases/1986/86-281"
62215,484,554,1988,United States v. Owens,0,484 U.S. 554,1988-02-23,86-877,1987,1987-10,"confrontation (right to confront accuser, call and cross-examine witnesses)",1987-11-04,1,6,2,William C. Bryson,0,loc,"https://www.oyez.org/cases/1987/86-877"
62240,485,681,1988,Huddleston v. United States,0,485 U.S. 681,1988-05-02,87-6,1987,1987-10,Federal Rules of Criminal Procedure,1988-03-23,1,0,9,William C. Bryson,0,loc,"https://www.oyez.org/cases/1987/87-6"
62239,487,250,1988,Bank of Nova Scotia v. United States,0,487 U.S. 250,1988-06-22,87-578,1987,1987-10,"subconstitutional fair procedure: miscellaneous",1988-04-27,1,1,8,William C. Bryson,0,loc,"https://www.oyez.org/cases/1987/87-578"
62577,490,401,1989,Thornburgh v. Abbott,0,490 U.S. 401,1989-05-15,87-1344,1988,1988-10,"First Amendment, miscellaneous (cf. comity: First Amendment)",1988-11-08,1,6,3,William C. Bryson,0,loc,"https://www.oyez.org/cases/1988/87-1344"
53575,491,617,1989,"Caplin & Drysdale, Chartered v. United States",0,491 U.S. 617,1989-06-22,87-1729,1988,1988-10,right to counsel (cf. indigents appointment of counsel or inadequate representation),1989-03-21,1,4,5,William C. Bryson,0,loc,"https://www.oyez.org/cases/1988/87-1729"
53536,491,600,1989,United States v. Monsanto,0,491 U.S. 600,1989-06-22,88-454,1988,1988-10,right to counsel (cf. indigents appointment of counsel or inadequate representation),1989-03-21,1,5,4,William C. Bryson,0,loc,"https://www.oyez.org/cases/1988/88-454"
53731,495,711,1990,United States v. Montalvo-Murillo,0,495 U.S. 711,1990-05-29,89-163,1989,1989-10,"statutory construction of criminal laws: escape from custody",1990-01-09,1,6,3,William C. Bryson,0,loc,"https://www.oyez.org/cases/1989/89-163"
53783,495,385,1990,United States v. Munoz-Flores,0,495 U.S. 385,1990-05-21,88-1932,1989,1989-10,"miscellaneous federal taxation (cf. national supremacy: state tax)",1990-02-20,1,9,0,William C. Bryson,0,loc,"https://www.oyez.org/cases/1989/88-1932"
53745,495,257,1990,United States v. Ojeda Rios,0,495 U.S. 257,1990-04-30,89-61,1989,1989-10,"search and seizure, Crime Control Act",1990-02-28,1,6,3,William C. Bryson,0,loc,"https://www.oyez.org/cases/1989/89-61"
53714,497,805,1990,Idaho v. Wright,0,497 U.S. 805,1990-06-27,89-260,1989,1989-10,"confrontation (right to confront accuser, call and cross-examine witnesses)",1990-04-18,1,4,5,William C. Bryson,0,loc,"https://www.oyez.org/cases/1989/89-260"
53922,498,335,1991,United States v. France,0,498 U.S. 335,1991-01-22,89-1363,1990,1990-10,"subconstitutional fair procedure: miscellaneous",1990-10-02,1,4,4,William C. Bryson,0,loc,"https://www.oyez.org/cases/1990/89-1363"
53865,498,292,1991,"United States v. R. Enterprises, Inc.",0,498 U.S. 292,1991-01-22,89-1436,1990,1990-10,"discovery and inspection (in the context of criminal litigation only, otherwise Freedom of Information Act and related federal or state statutes or regulations)",1990-10-29,1,9,0,William C. Bryson,0,loc,"https://www.oyez.org/cases/1990/89-1436"
53827,501,294,1991,Wilson v. Seiter,0,501 U.S. 294,1991-06-17,89-7376,1990,1990-10,"cruel and unusual punishment, non-death penalty (cf. liability, civil rights acts)",1991-01-07,1,4,5,William C. Bryson,0,loc,"https://www.oyez.org/cases/1990/89-7376"
53833,501,923,1991,Peretz v. United States,0,501 U.S. 923,1991-06-27,90-615,1990,1990-10,"subconstitutional fair procedure: miscellaneous",1991-04-23,1,4,5,William C. Bryson,0,loc,"https://www.oyez.org/cases/1990/90-615"
54008,502,46,1991,Griffin v. United States,0,502 U.S. 46,1991-12-03,90-6352,1991,1991-10,"due process: miscellaneous (cf. loyalty oath), the residual code",1991-10-07,1,0,8,William C. Bryson,0,loc,"https://www.oyez.org/cases/1991/90-6352"
54059,505,647,1992,Doggett v. United States,0,505 U.S. 647,1992-06-24,90-857,1991,1991-10,speedy trial,"1991-10-09,1992-02-24",2,5,4,William C. Bryson,0,loc,"https://www.oyez.org/cases/1991/90-857"
53997,504,255,1992,Evans v. United States,0,504 U.S. 255,1992-05-26,90-6105,1991,1991-10,"corruption, governmental or governmental regulation of other than as in campaign spending",1991-12-09,1,3,6,William C. Bryson,0,loc,"https://www.oyez.org/cases/1991/90-6105"
53996,503,378,1992,United States v. Felix,0,503 U.S. 378,1992-03-25,90-1599,1991,1991-10,double jeopardy,1992-01-14,1,9,0,William C. Bryson,0,loc,"https://www.oyez.org/cases/1991/90-1599"
54114,506,19,1992,Hadley v. United States,0,506 U.S. 19,1992-11-16,91-6646,1992,1992-10,"no merits: writ improvidently granted",1992-11-04,1,0,9,William C. Bryson,0,loc,"https://www.oyez.org/cases/1992/91-6646"
54145,509,688,1993,United States v. Dixon,0,509 U.S. 688,1993-06-28,91-1231,1992,1992-10,double jeopardy,1992-12-02,1,4,5,William C. Bryson,0,loc,"https://www.oyez.org/cases/1992/91-1231"
54076,509,1,1993,Zobrest v. Catalina Foothills School District,0,509 U.S. 1,1993-06-18,92-94,1992,1992-10,"parochiaid: government aid to religious schools, or religious requirements in public schools",1993-02-24,1,5,4,William C. Bryson,0,loc,"https://www.oyez.org/cases/1992/92-94"
54065,508,77,1993,United States v. Padilla,0,508 U.S. 77,1993-05-03,92-207,1992,1992-10,"search and seizure, vehicles",1993-03-24,1,9,0,William C. Bryson,0,loc,"https://www.oyez.org/cases/1992/92-207"
54190,511,513,1994,"Posters 'N' Things, Ltd. v. United States",0,511 U.S. 513,1994-05-23,92-903,1993,1993-10,"statutory construction of criminal laws: narcotics includes regulation and prohibition of alcohol",1993-10-05,1,0,9,William C. Bryson,0,loc,"https://www.oyez.org/cases/1993/92-903"
62277,511,738,1994,Nichols v. United States,0,511 U.S. 738,1994-06-06,92-8556,1993,1993-10,right to counsel (cf. indigents appointment of counsel or inadequate representation),1994-01-10,1,3,6,William C. Bryson,0,loc,"https://www.oyez.org/cases/1993/92-8556"
54272,511,485,1994,Custis v. United States,0,511 U.S. 485,1994-05-23,93-5209,1993,1993-10,"statutory construction of criminal laws: miscellaneous",1994-02-28,1,3,6,William C. Bryson,0,loc,"https://www.oyez.org/cases/1993/93-5209"
