term,docket,usCite,caseTitle,dateArgument,dateRearg,audioExists,advocatesPetitioner,advocatesRespondent,advocatesOther,dateDecision,caseLink
1955,"196","350 U.S. 3","Chessman v. Teets","","",false,"","","","1955-10-17","https://www.oyez.org/cases/1955/196"
1955,"11 Orig.","350 U.S. 5","Mississippi v. Louisiana","1955-10-10","",true,"","","ashton_stewart,gerard_brandon,james_thomas","1955-10-17","https://www.oyez.org/cases/1955/11_orig"
1955,"20","350 U.S. 46","Corn Products Refining Company v. Commissioner of Internal Revenue","1955-10-18","",true,"","","charles_rice,jay_kramer,samuel_mccain","1955-11-07","https://www.oyez.org/cases/1955/20"
1955,"26","350 U.S. 55","United States v. Anderson, Clayton & Company","1955-10-20","",true,"","","brian_holland,john_white","1955-11-07","https://www.oyez.org/cases/1955/26"
1955,"8","350 U.S. 61","Indian Towing Company, Inc. v. United States","1955-02-10","1955-10-13",true,"","","lester_jayson,richard_montgomery","1955-11-21","https://www.oyez.org/cases/1955/8"
1955,"28","350 U.S. 77","Neese v. Southern Railway Company","1955-11-07","",true,"","","henry_hammer,sidney_alderman","1955-11-21","https://www.oyez.org/cases/1955/28"
1955,"71","350 U.S. 79","Affronti v. United States","1955-11-15","",true,"","","harry_murphy,john_lindsay","1955-12-05","https://www.oyez.org/cases/1955/71"
1955,"112","350 U.S. 85","Reece v. Georgia","1955-11-09","",true,"","","daniel_duke","1955-12-05","https://www.oyez.org/cases/1955/112"
1955,"32,36","350 U.S. 91","Michel v. Louisiana","1955-11-08,1955-11-09","",true,"","","adrian_duplantier,felicien_lozes,george_fust,gerard_schreiber,leon_hubert,rudolph_becker","1955-12-05","https://www.oyez.org/cases/1955/32"
1955,"27","350 U.S. 107","National Labor Relations Board v. Warren Company, Inc.","1955-10-20","",true,"","","david_findling,john_weekes","1955-12-12","https://www.oyez.org/cases/1955/27"
1955,"10 Orig.","350 U.S. 114","Arizona v. California","1955-12-08","",true,"","","hatfield_chilson,john_frank,northcutt_ely,unknown_advocate,w_mathews","1955-12-08","https://www.oyez.org/cases/1955/10_orig"
1955,"45","350 U.S. 116","Pennsylvania ex rel. Herman v. Claudy","1955-11-14","",true,"","","herbert_levy,marjorie_matson,wray_zelt","1956-01-09","https://www.oyez.org/cases/1955/45"
1955,"4","350 U.S. 124","Ryan Stevedoring Company, Inc. v. Pan-Atlantic Steamship Corporation","1955-03-03,1955-03-04","1955-10-11,1955-10-12",true,"","","edward_behrens,leavenworth_colby,sidney_schwartz","1956-01-09","https://www.oyez.org/cases/1955/4"
1955,"46","350 U.S. 148","Rex Trailer Company, Inc. v. United States","1955-12-05","",true,"","","gustave_dongus,melvin_richter","1956-01-09","https://www.oyez.org/cases/1955/46"
1955,"33","350 U.S. 155","Local Union No. 25 of the International Brotherhood of Teamsters, Chauffeurs, Warehousemen and Helpers of America v. New York, New Haven & Hartford Railroad Company","1955-11-10","",true,"","","herbert_burstein,stephen_darcy","1956-01-09","https://www.oyez.org/cases/1955/33"
1955,"6","350 U.S. 162","Secretary of Agriculture v. United States","1955-10-12","",true,"","","marvin_frankel,samuel_howell,william_zearfaus","1956-01-09","https://www.oyez.org/cases/1955/6"
1955,"35,47","350 U.S. 179","United States v. Minker","1955-11-14,1955-11-15","",true,"","","george_fay,jacob_kossman,marvin_frankel","1956-01-16","https://www.oyez.org/cases/1955/35"
1955,"49","350 U.S. 198","Bernhardt v. Polygraphic Company of America, Inc.","1955-12-05","",true,"","","eugene_clark,guy_page,joseph_mcnamara,manfred_ehrich","1956-01-16","https://www.oyez.org/cases/1955/49"
