Title,References,Include,Citation,Cites,ID,Date,Category,Issue,Legal Provision,Choper (2011)+S - DeBruyne,Farber (2013)+S - DeBruyne,Barnett (2013)+S - DeBruyne,Stone (2013)+S - DeBruyne,Sullivan (2013)+S - Eichenberger,Varat (2013?)+S - Eichenberger,Chemerinsky (2013)+S -Taylor,Rotunda (2012?)+S -Taylor,Funk -Taylor,Maggs-Taylor,Paulson (2013)+S - DeBruyne,Shanor (2009)+S - DeBruyne,Young-Eichenberger,Massey (2012)+S - DeBruyne,Weaver (2013)+S - DeBruyne,Brettschneider-Eichenberger,Epstein-Walker (Vol 1) (2013)+S - Eichenberger,Epstein-Walker (Vol 2) (2013)+S - Eichenberger,Fisher (Vol 1) 10e (2013) - Taylor,Fisher (Vol 2) 10e (2013) - Taylor,Murphy et al. (2013) - DeBruyne,Gillman et al. Vol 1 (2012) - DeBruyne,Gillman et al. Vol 2 (2012) - DeBruyne
Marbury v. Madison,21,,5 U.S. 137,,1803-005,1803-02-24,Judicial Power,judicial administration: Supreme Court's original jurisdiction,Infrequently litigated statutes: Infrequently litigated statutes (Judiciary Act of 1789),1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1
Griswold v. Connecticut,21,3A,381 U.S. 479,18736,1964-121,1965-06-07,Privacy,"privacy (cf. libel, comity: privacy)",Constitutional Amendment: Fourteenth Amendment (due process),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1
Roe v. Wade,21,,410 U.S. 113,21692,1972-048,1973-01-22,Privacy,abortion: including contraceptives,Constitutional Amendment: Fourteenth Amendment (due process),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1
Boerne v. Flores,21,,521 U.S. 507,,1996-087,1997-06-25,First Amendment,free exercise of religion,Constitutional Amendment: Fourteenth Amendment (enforcement clause),1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
Lochner v. New York,20,,198 U.S. 45,10753,1904-096,1905-04-17,Economic Activity,"state or local government regulation, especially of business (cf. federal pre-emption of state court jurisdiction, federal pre-emption of state legislation or regulation)",Infrequently litigated statutes: Infrequently litigated statutes (state 10 hour bakers' workday),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1
Immigration & Naturalization Serv. v. Chadha,20,,462 U.S. 919,,1982-130,1983-06-23,Miscellaneous,legislative veto,"Federal Statute: Immigration and Naturalization, Immigration, Nationality, or Illegal Immigration Reform and Immigrant Responsibility Acts, as amended",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0
Lawrence v. Texas,20,,539 U.S. 558,,2002-083,2003-06-26,Privacy,"privacy (cf. libel, comity: privacy)",Constitutional Amendment: Fourteenth Amendment (due process),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1
Gibbons v. Ogden,19,,22 U.S. 1,,1824-012,1824-03-02,Economic Activity,federal and some few state regulations of transportation regulation: boat,"Constitution: Article I, Section 8, Paragraph 3 (interstate commerce clause)",1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0
Youngstown Sheet & Tube Co. v. Sawyer,19,,343 U.S. 579,,1951-088,1952-06-02,Miscellaneous,miscellaneous,Other: Executive Order (NA),1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0
Brown v. Board of Education (I),19,,347 U.S. 483,23395,1953-069,1954-05-17,Civil Rights,"desegregation, schools",Constitutional Amendment: Fourteenth Amendment (equal protection),1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1
Buckley v. Valeo,19,,424 U.S. 1,8372,1975-033,1976-01-30,First Amendment,campaign spending (cf. governmental corruption):,"Constitution: Article II, Section 2, Paragraph 2 (appointments clause)",1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1
Ex parte McCardle,18,,74 U.S. 506,,1868-072,1869-04-12,Judicial Power,"judicial administration: Supreme Court jurisdiction or authority on appeal or writ of error, from federal district courts or courts of appeals (cf. 753)","Constitution: Article III, Section 2 (extent of judicial power)",1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0
United States v. Curtiss-Wright Export Corp.,18,,299 U.S. 304,,1936-038,1936-12-21,Miscellaneous,executive authority vis-a-vis congress or the states,"Constitution: Article I, Section 1 (delegation of powers)",1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0
United States v. Nixon,18,,418 U.S. 683,,1973-172,1974-07-24,Criminal Procedure,"discovery and inspection (in the context of criminal litigation only, otherwise Freedom of Information Act and related federal or state statutes or regulations)",,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0
Grutter v. Bollinger,18,,539 U.S. 306,,2002-078,2003-06-23,Civil Rights,affirmative action,Constitutional Amendment: Fourteenth Amendment (equal protection),1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,0,1
Citizens United v. Federal Electric Commission,18,,558 U.S. 310,,2009-012,2010-01-21,First Amendment,campaign spending (cf. governmental corruption):,"Constitutional Amendment: First Amendment (speech, press, and assembly) (NA)",1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,1,0,1
McCulloch v. Maryland,17,,17 U.S. 316,,1819-023,1819-03-06,Federalism,national supremacy: state tax (cf. state tax),"Constitution: Article I, Section 8, Paragraph 18 (necessary and proper clause)",1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,0
The Slaughter-House Cases,17,,83 U.S. 36,,1872-150,1873-04-14,Economic Activity,"state or local government regulation, especially of business (cf. federal pre-emption of state court jurisdiction, federal pre-emption of state legislation or regulation)",Constitutional Amendment: Fourteenth Amendment (privileges and immunities clause),0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1
Baker v. Carr,17,,369 U.S. 186,9835,1961-051,1962-03-26,Civil Rights,reapportionment: other than plans governed by the Voting Rights Act,,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0
Craig v. Boren,17,,429 U.S. 190,,1976-025,1976-12-20,Civil Rights,sex discrimination (excluding sex discrimination in employment),Constitutional Amendment: Fourteenth Amendment (equal protection),1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,0,0
Garcia v. San Antonio Metro. Transit Auth.,17,,469 U.S. 528,,1984-029,1985-02-19,Unions,Fair Labor Standards Act,Federal Statute: Fair Labor Standards,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0
Planned Parenthood of Southeastern Pennsylvania v. Casey,17,,505 U.S. 833,,1991-117,1992-06-29,Privacy,abortion: including contraceptives,Constitutional Amendment: Fourteenth Amendment (due process),1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1,0,1
United States v. Lopez,17,,514 U.S. 549,,1994-051,1995-04-26,Federalism,national supremacy: miscellaneous,Infrequently litigated statutes: Infrequently litigated statutes (18 U.S.C. § 922),0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0
Washington v. Glucksberg,17,,521 U.S. 702,,1996-091,1997-06-26,Privacy,right to die,Constitutional Amendment: Fourteenth Amendment (due process),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0
Bush v. Gore,17,,531 U.S. 98,,2000-009,2000-12-12,Civil Rights,voting,Infrequently litigated statutes: Infrequently litigated statutes (3 U.S.C. § 5),1,1,1,1,0,0,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,1
Hamdi v. Rumsfeld,17,,542 U.S. 507,,2003-086,2004-06-28,Due Process,due process: hearing or notice (other than as pertains to government employees or prisoners' rights),Constitutional Amendment: Fifth Amendment (due process),0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,0,1,1,1
Parents Involved in Community Schools v. Seattle School Dist. No. 1,17,,551 U.S. 701,,2006-073,2007-06-28,Civil Rights,"desegregation, schools",Constitutional Amendment: Fourteenth Amendment (equal protection) (NA),1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,0,1,1,0,1
