term,usCite,caseTitle,audioTitle,docket,dateArgument,dateDecision,url,file,urlOyez,notes
"1955","350 U.S. 5","Mississippi v. Louisiana","Oral Argument - October 10, 1955","11 Orig.","1955-10-10","1955-10-17","https://api.oyez.org/case_media/oral_argument_audio/12992","/sources/oyez/transcripts/_files/1955/11-orig_12992_argument.json","https://api.oyez.org/cases/1955/11_orig",""
"1955","352 U.S. 991","Texas v. New Mexico","Oral Argument - October 10, 1955 (Part 1)","9 Orig.","1955-10-10","1957-02-25","https://api.oyez.org/case_media/oral_argument_audio/23626","/sources/oyez/transcripts/_files/1955/9-orig_23626_argument.json","https://api.oyez.org/cases/1955/9-orig",""
"1955","352 U.S. 991","Texas v. New Mexico","Oral Argument - October 10, 1955 (Part 2)","9 Orig.","1955-10-10","1957-02-25","https://api.oyez.org/case_media/oral_argument_audio/23623","/sources/oyez/transcripts/_files/1955/9-orig_23623_argument.json","https://api.oyez.org/cases/1955/9-orig",""
"1955","350 U.S. 124","Ryan Stevedoring Company, Inc. v. Pan-Atlantic Steamship Corporation","Oral Reargument - October 11, 1955","4","1955-10-11","1956-01-09","https://api.oyez.org/case_media/oral_argument_audio/13096","/sources/oyez/transcripts/_files/1955/4_13096_argument.json","https://api.oyez.org/cases/1955/4",""
"1955","351 U.S. 377","United States v. E. I. du Pont de Nemours & Company","Oral Argument - October 11, 1955 (Part 1)","5","1955-10-11","1956-06-11","https://api.oyez.org/case_media/oral_argument_audio/13137","/sources/oyez/transcripts/_files/1955/5_13137_argument.json","https://api.oyez.org/cases/1955/5",""
"1955","351 U.S. 377","United States v. E. I. du Pont de Nemours & Company","Oral Argument - October 11, 1955 (Part 2)","5","1955-10-11","1956-06-11","https://api.oyez.org/case_media/oral_argument_audio/13034","/sources/oyez/transcripts/_files/1955/5_13034_argument.json","https://api.oyez.org/cases/1955/5",""
"1955","350 U.S. 124","Ryan Stevedoring Company, Inc. v. Pan-Atlantic Steamship Corporation","Oral Reargument - October 12, 1955","4","1955-10-12","1956-01-09","https://api.oyez.org/case_media/oral_argument_audio/13032","/sources/oyez/transcripts/_files/1955/4_13032_argument.json","https://api.oyez.org/cases/1955/4",""
"1955","350 U.S. 162","Secretary of Agriculture v. United States","Oral Argument - October 12, 1955 (Part 1)","6","1955-10-12","1956-01-09","https://api.oyez.org/case_media/oral_argument_audio/13037","/sources/oyez/transcripts/_files/1955/6_13037_argument.json","https://api.oyez.org/cases/1955/6",""
"1955","350 U.S. 162","Secretary of Agriculture v. United States","Oral Argument - October 12, 1955 (Part 2)","6","1955-10-12","1956-01-09","https://api.oyez.org/case_media/oral_argument_audio/13121","/sources/oyez/transcripts/_files/1955/6_13121_argument.json","https://api.oyez.org/cases/1955/6",""
"1955","350 U.S. 857","Williams v. United States","Oral Argument - October 13, 1955 (Part 2)","24","1955-10-13","1955-10-17","https://api.oyez.org/case_media/oral_argument_audio/13001","/sources/oyez/transcripts/_files/1955/24_13001_argument.json","https://api.oyez.org/cases/1955/24",""
