caseId,usCite,caseName,dateDecision,dayOfWeek
"1792-003","2 U.S. 402","THE STATE OF GEORGIA VERSUS BRAILSFORD, et al.","1792-08-11","Saturday"
"1792-004","2 U.S. 409","HAYBURN'S CASE","1792-08-11","Saturday"
"1795-006","3 U.S. 133","TALBOT, APPELLANT, VERSUS JANSON, APPELLEE, et al.","1795-08-22","Saturday"
"1796-006","3 U.S. 305","HUNTER VERSUS FAIRFAX'S DEVISEE","1796-08-06","Saturday"
"1797-002","3 U.S. 342","CLERKE, PLAINTIFF IN ERROR VERSUS HARWOOD","1797-02-11","Saturday"
"1800-002","4 U.S. 22","COURSE et al. VERSUS STEAD ET UX. et al.","1800-02-08","Saturday"
"1800-003","4 U.S. 22","BLAINE VERSUS SHIP CHARLES CARTER et al.","1800-02-08","Saturday"
"1803-008","5 U.S. 194","WILSON v. LENOX AND MAITLAND","1803-02-26","Saturday"
"1803-009","5 U.S. 282","THOMPSON v. JAMESON","1803-02-26","Saturday"
"1803-010","5 U.S. 290","MANDEVILLE AND JAMESON v. JOSEPH RIDDLE AND CO","1803-02-26","Saturday"
"1804-008","6 U.S. 127","HEAD &amp; AMORY v. THE PROVIDENCE INSURANCE COMPANY","1804-02-25","Saturday"
"1805-014","7 U.S. 140","HODGSON v. BUTTS","1805-03-02","Saturday"
"1805-015","7 U.S. 159","UNITED STATES v. BENJAMIN MORE","1805-03-02","Saturday"
"1805-016","7 U.S. 174","FAW v. ROBERDEAU'S EXECUTOR","1805-03-02","Saturday"
"1806-016","7 U.S. 337","THE UNITED STATES v. GRUNDY AND THORNBURGH","1806-02-22","Saturday"
"1806-019","7 U.S. 293","BUDDICUM v. KIRK","1806-03-01","Saturday"
"1807-005","8 U.S. 48","THE UNITED STATES v. WILLINGS AND FRANCIS","1807-02-14","Saturday"
"1807-006","8 U.S. 60","ONEALE v. LONG","1807-02-14","Saturday"
"1807-013","8 U.S. 164","HOPKIRK v. BELL","1807-02-28","Saturday"
"1807-014","8 U.S. 165","HICKS et al. v. ROGERS","1807-02-28","Saturday"
"1807-015","8 U.S. 167","THE UNITED STATES v. ZEBULON CANTRIL","1807-02-28","Saturday"
"1807-016","8 U.S. 169","STHRESHLEY AND OBANNON v. THE UNITED STATES","1807-02-28","Saturday"
"1807-017","8 U.S. 172","HUMPHREY MARSHALL AND WIFE, v. JAMES CURRIE","1807-02-28","Saturday"
"1807-018","8 U.S. 177","VIERS AND WIFE v. MONTGOMERY","1807-02-28","Saturday"
