usCite,caseName,dateDecision
"2 U.S. 401","West v. Barnes","1791-08-03"
"2 U.S. 401","Vanstophorst v. Maryland","1791-08-03"
"2 U.S. 401","Oswald v. New York","1792-02-14"
"2 U.S. 402","Oswald v. New York","1792-08-07"
"2 U.S. 402","Georgia v. Brailsford","1792-08-11"
"2 U.S. 409","Hayburn's Case","1792-08-11"
"2 U.S. 415","Oswald v. New York","1793-02-20"
"2 U.S. 415","Georgia v. Brailsford","1793-02-20"
"2 U.S. 419","Chisholm v. Georgia","1793-02-19"
"3 U.S. 1","Georgia v. Brailsford","1794-02-07"
"3 U.S. 6","Glass v. Sloop Betsey","1794-02-18"
"3 U.S. 17","United States v. Hamilton","1795-02-20"
"3 U.S. 19","Bingham v. Cabbot","1795-03-02"
"3 U.S. 42","United States v. Lawrence","1795-03-03"
"3 U.S. 54","Penhallow v. Doane's Administrators","1795-02-24"
"3 U.S. 121","United States v. Peters","1795-08-24"
"3 U.S. 133","Talbot v. Janson","1795-08-22"
"3 U.S. 171","Hylton v. United States","1796-03-08"
"3 U.S. 184","Hills v. Ross","1796-02-26"
"3 U.S. 188","McDonough v. Dannery","1796-02-17"
"3 U.S. 199","Ware v. Hylton","1796-03-07"
"3 U.S. 285","Geyer v. Michel","1796-03-14"
"3 U.S. 297","United States v. La Vengeance","1796-08-11"
"3 U.S. 302","Cotton v. Wallace","1796-08-09"
"3 U.S. 305","Hunter v. Fairfax's Devisee","1796-08-06"
"3 U.S. 306","Arcambel v. Wiseman","1796-08-12"
"3 U.S. 307","Moodie v. Ship Alfred","1796-08-09"
"3 U.S. 308","Olney v. Arnold","1796-08-11"
"3 U.S. 319","Moodie v. Ship Phoebe Anne","1796-08-09"
"3 U.S. 320","Grayson v. Virginia","1796-08-12"
"3 U.S. 321","Wisecart v. Dauchy","1796-08-12"
"3 U.S. 331","Hills v. Ross","1796-08-12"
"3 U.S. 333","Del Col v. Arnold","1796-08-11"
"3 U.S. 336","Jennings v. Brig Perseverance","1797-02-13"
"3 U.S. 339","Huger v. South Carolina","1797-02-10"
"3 U.S. 342","Clerke v. Harwood","1797-02-11"
"3 U.S. 344","Brown v. Van Braam","1797-02-13"
"3 U.S. 357","Fenemore v. United States","1797-08-07"
"3 U.S. 365","Brown v. Barry","1797-08-15"
"3 U.S. 369","Emory v. Grenough","1798-02-14"
"3 U.S. 371","Hamilton v. Moore","1797-08-15"
"3 U.S. 378","Hollingsworth v. Virginia","1798-02-14"
"3 U.S. 382","Bingham v. Cabot","1798-02-14"
"3 U.S. 384","Jones v. Le Tombe","1798-02-09"
"3 U.S. 386","Calder v. Bull","1798-08-08"
"3 U.S. 401","Wilson v. Daniel","1798-08-07"
"3 U.S. 409","Dewhurst v. Coulthard",""
"3 U.S. 410","Ex Parte Hollowell","1799-02-05"
"3 U.S. 411","Fowler v. Lindsey","1799-02-19"
"3 U.S. 415","Clarke v. Russel","1799-02-19"
"3 U.S. 425","Sims Lessee v. Irvine","1799-02-19"
"4 U.S. 1","New York v. Connecticut","1799-08-09"
"4 U.S. 3","New York v. Connecticut","1799-08-09"
"4 U.S. 6","New York v. Connecticut","1799-08-09"
"4 U.S. 6","Hazlehurst v. United States","1799-08-09"
"4 U.S. 7","Turner v. Enrille","1799-08-09"
"4 U.S. 8","Turner v. Bank of North-America","1799-08-09"
"4 U.S. 12","Mossman v. Higginson","1800-08-11"
"4 U.S. 14","Cooper v. Telfair","1800-02-13"
"4 U.S. 20","Williamson v. Kincaid","1800-02-13"
"4 U.S. 21","Blair v. Miller",""
"4 U.S. 22","Rutherford v. Fisher","1800-02-06"
"4 U.S. 22","Blaine v. Ship Charles Carter","1800-02-08"
"4 U.S. 22","Course v. Stead","1800-02-08"
"4 U.S. 28","Priestman v. U.S","1800-08-15"
"4 U.S. 34","Talbot v. Ship Amelia","1800-08-15"
"4 U.S. 37","Bas v. Tingy","1800-08-15"
"5 U.S. 1","Talbot v. Seeman","1801-08-11"
"5 U.S. 45","Wilson v. Mason","1801-12-15"
"5 U.S. 103","United States v. Schooner Peggy","1801-12-21"
"5 U.S. 110","Resler v. Shehee","1801-12-11"
"5 U.S. 117","Turner v. Fendall","1801-12-21"
"5 U.S. 137","Marbury v. Madison","1803-02-24"
"5 U.S. 181","Clark v. Robert Young & Co","1803-02-17"
"5 U.S. 194","Wilson v. Lenox","1803-02-26"
"5 U.S. 212","Clarke v. Bazadone","1803-02-17"
"5 U.S. 214","Hooe & Co. v. Groverman","1803-02-23"
"5 U.S. 239","Wood v. Owings","1803-03-01"
"5 U.S. 252","United States v. Simms","1803-02-23"
"5 U.S. 259","Fenwick v. Sears's Administrators","1803-02-25"
"5 U.S. 282","Thompson v. Jameson","1803-02-26"
"5 U.S. 290","Mandeville v. Joseph Riddle & Co","1803-02-26"
"5 U.S. 299","Stuart v. Laird","1803-03-02"
"5 U.S. 309","Hamilton v. Russel","1803-02-28"
"5 U.S. 318","United States v. Hooe","1803-02-25"
"5 U.S. 321","Hepburn v. Auld","1803-02-28"
"5 U.S. 332","Marine Ins. Co. of Alexandria v. Young","1803-03-01"
"5 U.S. 343","Abercrombie v. Dupuis","1803-02-28"
"5 U.S. 343","Lindo v. Gardner","1803-02-28"
"5 U.S. 345","Hodgson v. Dexter","1803-03-02"
"5 U.S. 365","Lloyd v. Alexander","1803-02-10"
"6 U.S. 9","Wood v. Wagnon","1804-02-09"
"6 U.S. 9","Williams v. Lyles","1804-02-09"
"6 U.S. 10","Faw v. Marsteller","1804-02-14"
"6 U.S. 33","Ogle v. Lee","1804-02-22"
"6 U.S. 33","Pennington v. Coxe","1804-02-22"
"6 U.S. 64","Murray v. Schooner Charming Betsy","1804-02-22"
"6 U.S. 126","Capron v. Van Noorden","1804-03-05"
"6 U.S. 127","Head & Amory v. Providence Ins. Co","1804-02-25"
"6 U.S. 170","Little v. Barreme","1804-02-27"
"6 U.S. 180","Dunlop & Co. v. Ball","1804-02-28"
"6 U.S. 185","Blakeney v. Evans","1804-02-29"
"6 U.S. 187","Church v. Hubbart","1804-03-05"
"6 U.S. 240","Mason v. Ship Blaireau","1804-03-06"
"6 U.S. 272","Ogden v. Blackledge","1804-03-06"
"6 U.S. 280","McIlvaine v. Coxe's Lessee","1805-03-06"
"6 U.S. 336","Adams v. Woods","1805-02-19"
"6 U.S. 342","Winchester v. Hackley","1805-03-04"
"6 U.S. 344","Reily v. Lamar","1805-02-19"
"6 U.S. 358","United States v. Fisher","1805-02-21"
"6 U.S. 406","United States v. Schooner Sally","1805-02-22"
"6 U.S. 406","Bailiff v. Tipping","1805-02-25"
"6 U.S. 407","Telfair v. Stead's Executors","1805-02-25"
"6 U.S. 419","Graves v. Boston Marine Ins. Co","1805-02-25"
"6 U.S. 445","Hepburn v. Ellzey","1805-02-25"
"7 U.S. 1","Huidekoper's Lessee v. Douglass","1805-02-27"
"7 U.S. 73","United States v. Hooe","1805-02-27"
"7 U.S. 92","Peyton v. Brooke","1805-02-27"
"7 U.S. 97","Lambert's Lessee v. Payne","1805-03-01"
"7 U.S. 140","Hodgson v. Butts","1805-03-02"
"7 U.S. 159","United States v. More","1805-03-02"
"7 U.S. 174","Faw v. Roberdeau's Executor","1805-03-02"
"7 U.S. 179","Ray v. Law","1805-03-05"
"7 U.S. 180","Levy v. Gadsby","1805-03-04"
"7 U.S. 187","Marine Ins. Co. of Alexandria v. Wilson","1805-03-05"
"7 U.S. 193","Wilson v. Codman's Executor","1805-03-06"
"7 U.S. 210","Hallet and Bowne v. Jenks","1805-03-06"
"7 U.S. 220","Milligan v. Milledge","1805-03-06"
"7 U.S. 229","Cooke v. Graham's Administrator","1805-03-06"
"7 U.S. 241","Dobynes & Morton v. United States","1806-02-10"
"7 U.S. 242","Hannay v. Eve","1806-02-13"
"7 U.S. 249","Montalet v. Murray","1806-02-10"
"7 U.S. 249","Silsby v. Young","1806-02-13"
"7 U.S. 267","Strawbridge v. Curtiss","1806-02-13"
"7 U.S. 268","Gordon v. Caldcleugh","1806-02-13"
"7 U.S. 270","McFerran v. Taylor","1806-02-14"
"7 U.S. 283","Wilson v. Speed","1806-02-14"
"7 U.S. 293","Buddicum v. Kirk","1806-03-01"
"7 U.S. 298","Douglas & Mandeville v. McAllister","1806-02-17"
"7 U.S. 300","Simms v. Slacum","1806-02-19"
"7 U.S. 311","Harris v. Johnston","1806-02-19"
"7 U.S. 319","Dixon's Executors v. Ramsay's Executors","1806-02-19"
"7 U.S. 324","Scott v. London","1806-02-19"
"7 U.S. 331","Wise v. Withers","1806-02-19"
"7 U.S. 337","United States v. Grundy","1806-02-22"
"7 U.S. 357","Marine Ins. Co. of Alexandria v. Tucker","1806-03-04"
"7 U.S. 399","United States v. Heth","1806-02-27"
"7 U.S. 415","Manella, Pujals, and Co. v. Barry","1806-02-26"
"7 U.S. 448","Ex Parte Burford","1806-03-04"
"7 U.S. 454","Hopkirk v. Bell","1806-03-04"
"7 U.S. 458","Maley v. Shattuck","1806-03-03"
"7 U.S. 492","Lawrason v. Mason","1806-03-04"
"7 U.S. 496","Knox v. Summers","1806-03-03"
"7 U.S. 499","Sands v. Knox","1806-03-04"
"7 U.S. 503","Randolph v. Ware","1806-03-05"
"7 U.S. 514","Field v. Milton","1806-02-19"
"7 U.S. 514","Winchester v. Jackson","1806-02-17"
"8 U.S. 1","United States v. Kid","1807-02-09"
"8 U.S. 2","Jennings v. Carson","1807-02-11"
"8 U.S. 29","Rhinelander v. Insurance Co. of Pa","1807-02-11"
"8 U.S. 46","Montalet v. Murray","1807-02-12"
"8 U.S. 48","United States v. Willings","1807-02-14"
"8 U.S. 60","Oneale v. Long","1807-02-14"
"8 U.S. 62","Smith v. Carrington","1807-02-16"
"8 U.S. 73","Pendleton v. Wambersie","1807-02-27"
"8 U.S. 75","Ex Parte Bollman","1807-02-20"
"8 U.S. 137","Skillern's Executors v. May's Executors","1807-02-26"
"8 U.S. 141","French's Executrix v. Bank of Columbia","1807-02-23"
"8 U.S. 164","Hopkirk v. Bell","1807-02-28"
"8 U.S. 165","Hicks v. Rogers","1807-02-28"
"8 U.S. 167","United States v. Cantril","1807-02-28"
"8 U.S. 169","Sthreshley v. United States","1807-02-28"
"8 U.S. 172","Marshall v. Currie","1807-02-28"
"8 U.S. 177","Viers v. Montgomery","1807-02-28"
"8 U.S. 179","Diggs v. Wolcott","1807-02-28"
"8 U.S. 180","Wood v. Lide","1807-02-19"
"8 U.S. 185","Fitzsimmons v. Newport Ins. Co","1808-02-08"
"8 U.S. 202","Marshall v. Delaware Ins. Co","1808-02-23"
"8 U.S. 209","McIlvaine v. Coxe's Lessee","1808-02-23"
"8 U.S. 216","United States v. Brig Union","1808-02-22"
"8 U.S. 219","Pawling v. United States","1808-02-27"
"8 U.S. 224","Grant v. Naylor","1808-02-29"
"8 U.S. 237","Woods v. Young","1808-02-29"
"8 U.S. 239","Young v. Preston","1808-02-29"
"8 U.S. 241","Rose v. Himely","1808-03-02"
"8 U.S. 293","Hudson v. Guestier","1808-03-02"
"8 U.S. 299","Alexander v. Harris","1808-03-02"
"8 U.S. 306","Chappedelaine v. Dechenaux","1808-03-04"
"8 U.S. 316","United States v. McDowell","1808-03-07"
"8 U.S. 317","Alexandria v. Patten","1808-03-07"
"8 U.S. 321","Dawson's Lessee v. Godfrey","1808-03-15"
"8 U.S. 324","Mountz v. Hodgson","1808-03-08"
"8 U.S. 328","Blaine v. Ship Charles Carter","1808-03-08"
"8 U.S. 333","United States v. Gurney","1808-03-08"
"8 U.S. 347","Peisch v. Ware","1808-03-09"
"8 U.S. 367","Shearman v. Irvine's Lessee","1808-03-09"
"8 U.S. 370","Morgan v. Callender","1808-03-15"
"8 U.S. 370","Alexander v. Baltimore Ins. Co","1808-03-11"
"8 U.S. 382","Matthews v. Zane","1808-03-12"
"8 U.S. 384","Young v. Bank of Alexandria","1808-03-12"
"8 U.S. 398","Spiers v. Willison","1808-03-14"
"8 U.S. 401","Ramsay v. Lee","1808-03-14"
"8 U.S. 403","Stead's Executors v. Course","1808-03-14"
"8 U.S. 415","Higginson v. Mein","1808-03-14"
"8 U.S. 421","Pollard v. Dwight","1808-03-15"
"8 U.S. 433","Ex Parte Lewis","1808-03-16"
"8 U.S. 434","Croudson v. Leonard","1808-03-15"
"8 U.S. 443","United States v. Schooner Betsey and Charlotte","1808-03-16"
"9 U.S. 1","United States v. Weeks","1809-02-06"
"9 U.S. 1","Alexander v. Alexandria","1809-02-08"
"9 U.S. 11","Henderson v. Moore","1809-02-08"
"9 U.S. 13","Cooke v. Woodrow","1809-02-09"
"9 U.S. 15","Mandeville v. Wilson","1809-02-09"
"9 U.S. 19","Fairfax's Executor v. Fairfax","1809-02-21"
"9 U.S. 22","McKeen v. Delancy's Lessee","1809-03-11"
"9 U.S. 34","Tucker v. Oxley","1809-02-15"
"9 U.S. 45","Young v. Bank of Alexandria","1809-03-10"
"9 U.S. 49","Yeaton v. Bank of Alexandria","1809-03-10"
"9 U.S. 57","Hope Ins. Co. of Providence v. Boardman","1809-03-15"
"9 U.S. 61","Bank of United States v. Deveaux","1809-03-15"
"9 U.S. 92","Matthews v. Zane's Lessee","1809-02-16"
"9 U.S. 100","Hodgson v. Marine Ins. Co. of Alexandria","1809-02-24"
"9 U.S. 115","United States v. Peters","1809-02-20"
"9 U.S. 142","Violett v. Patton","1809-02-23"
"9 U.S. 154","Pierce v. Turner","1809-03-13"
"9 U.S. 173","Kempe's Lessee v. Kennedy","1809-02-20"
"9 U.S. 187","Marine Ins. Co. of Alexandria v. Young","1809-02-28"
"9 U.S. 191","Bodley v. Taylor","1809-03-14"
"9 U.S. 234","Taylor v. Brown","1809-03-01"
"9 U.S. 257","United States v. Arthur","1809-02-24"
"9 U.S. 262","Hepburn v. Auld","1809-03-14"
"9 U.S. 280","United States v. Evans","1809-02-27"
"9 U.S. 281","Yeaton v. United States","1809-03-07"
"9 U.S. 284","United States v. Potts","1809-03-07"
"9 U.S. 287","Rush v. Parker","1809-03-15"
"9 U.S. 288","Logan v. Patrick","1809-03-06"
"9 U.S. 289","Rodford v. Craig","1809-03-06"
"9 U.S. 289","Harrison v. Sterry","1809-03-15"
"9 U.S. 303","Browne v. Strode","1809-03-09"
"9 U.S. 303","Hodgson and Thompson v. Bowerbank","1810-02-10"
